d51c3fd90533e5c249e7144369bcd246e295d8ce330405ebe26cc598395203d3,5f924fa8a78aac7f19d3d10e349912fccabbcc693b45ff1f6d2d16505238512f,f9a4515f3a91de30fc02222637cddb8b5ffeec73d2958646f6cb07c67079976d,243a62c3e83d706156b459efaff721abc44fa903627694dd25f89f7fea1cc907,a413a9348424724a01a07ef73886452e222910a1479ee95ccd0b88a88a061e1e,5463ffede9fec6495e2d19666071cf75cfb89f1bda001d99ae00b48d75e6cda7,c43cee500a501eb2f3c89bd8b0fda9d34b0f46e63257d333e9a82e1311c64655
"9999999","50","1","0","50","0","1"
"9999999","80","2","0","20","0","2"
"2000","30","3","0","70","0","3"
"5000","40","4","0","30","30","3"
"10000","40","5","20","0","40","3"
"15000","30","6","30","0","40","3"
"20000","25","7","35","0","40","3"
"25000","20","8","40","0","40","3"
"30000","15","9","45","0","40","3"
"35000","10","10","50","0","40","3"
"40000","10","11","55","0","35","3"
"45000","5","12","60","0","35","3"
"50000","5","13","65","0","30","3"
"55000","0","14","70","0","30","3"
"60000","0","15","75","0","25","3"
"65000","0","16","80","0","20","3"
"70000","0","17","85","0","15","3"
"75000","0","18","90","0","10","3"
"80000","0","19","95","0","5","3"
"9999999","0","20","100","0","0","3"
