c219c2be44072b79ce7bb0e7f2c20b26af8990118ac0d260407bf167496890db,ed7aeb6e4b4c0435ed70e45ff074d6f393d200d4f6fb50f69cfab73d310117b7,0bc621901680d30d50626687f64ebaeacfe769cedd60cc86aeb720b89d40f42a,1cb48d8b3cf0830aca563d4fea05ec93e7a56f05c8c070bc6ebcae021fa94097,56eb29d72085ce38fee9d24636cff6eeb02fca4a602d683f0e16b971d50a2278
"1","1","26999","0","ひよっこ"
"2","1","26999","0","未熟者"
"3","1","26999","0","稚魚"
"4","3","26999","0","ビギナーランナー"
"5","1","26999","0","赤ちゃん"
"6","1","26999","0","ベイビー"
"7","1","26999","0","小物"
"8","1","26999","0","へっぽこ"
"9","1","26999","0","素人"
"10","1","33999","27000","小魚"
"11","1","33999","27000","初心者"
"12","3","33999","27000","エンジョイランナー"
"13","1","33999","27000","若輩者"
"14","1","33999","27000","ルーキー"
"15","1","33999","27000","ガール"
"16","1","33999","27000","注目株"
"17","1","33999","27000","原石"
"18","2","33999","27000","ニューホープ"
"19","1","50399","34000","探究者"
"20","1","50399","34000","暴れん坊"
"21","1","50399","34000","申し子"
"22","1","50399","34000","奇才"
"23","1","50399","34000","大物"
"24","1","50399","34000","麒麟児"
"25","1","50399","34000","ホープ"
"26","1","50399","34000","新星"
"27","1","50399","34000","逸材"
"28","1","59999","50400","マーメイド"
"29","1","59999","50400","先輩"
"30","1","59999","50400","中級者"
"31","3","59999","50400","ビーチフラッガー"
"32","1","59999","50400","魚"
"33","1","59999","50400","チーフ"
"34","1","59999","50400","キャプテン"
"35","1","59999","50400","一人前"
"36","1","59999","50400","セミプロ"
"37","1","59999","50400","大型新人"
"38","1","69999","60000","流れ星"
"39","1","69999","60000","先生"
"40","1","69999","60000","ドルフィン"
"41","1","69999","60000","職人"
"42","1","69999","60000","レーサー"
"43","1","69999","60000","トゥンヌス"
"44","1","69999","60000","中の中"
"45","2","69999","60000","ビッグネーム"
"46","1","69999","60000","異才"
"47","1","69999","60000","エリート"
"48","1","69999","60000","仕事人"
"49","1","69999","60000","玄人"
"50","1","83999","70000","オルカ"
"51","1","83999","70000","名人"
"52","1","83999","70000","魔術師"
"53","1","83999","70000","師匠"
"54","1","83999","70000","サブマリン"
"55","2","83999","70000","スプリンター"
"56","1","83999","70000","名手"
"57","2","83999","70000","エースランナー"
"58","1","83999","70000","プロ"
"59","1","83999","70000","看板選手"
"60","1","83999","70000","第一人者"
"61","1","83999","70000","ドン"
"62","2","99999","84000","スピードスター"
"63","1","99999","84000","豪傑"
"64","1","99999","84000","プリンセス"
"65","1","99999","84000","女神"
"66","1","99999","84000","マスター"
"67","2","99999","84000","ナンバーワン"
"68","1","99999","84000","寵児"
"69","3","99999","84000","ワイルドグリフォン"
"70","1","99999","84000","ワイバーン"
"71","2","99999","84000","エキスパート"
"72","2","99999","84000","トップランナー"
"73","1","119999","100000","韋駄天"
"74","1","119999","100000","クイーン"
"75","2","119999","100000","チャンピオン"
"76","2","119999","100000","天才ランナー"
"77","3","119999","100000","レコードホルダー"
"78","1","119999","100000","極致"
"79","2","119999","100000","ネプテリオン"
"80","2","119999","100000","シードレイク"
"81","1","119999","100000","女傑"
"82","1","119999","100000","革命家"
"83","2","119999","100000","ビッグスター"
"84","2","999999","120000","ファンタジスタ"
"85","2","999999","120000","スーパースター"
"86","3","999999","120000","ワールドチャンプ"
"87","1","999999","120000","レジェンド"
"88","1","999999","120000","超人"
"89","1","999999","120000","トルペドン"
"90","1","999999","120000","カルキノス"
"91","2","999999","120000","アクアリオス"
"92","1","999999","120000","至宝"
"93","3","999999","120000","グランドマスター"
"94","1","999999","120000","英雄"
"95","1","999999","120000","天下取り"
