e4f013e1b8a0fdf637b55b17667096c4c6e43dc56fb09b023b428d0d7ede8534,89b8aff45f82330e5ec2cf440a1f030f26186b69402c831f842495eefa432ea3,386c529528fecbbd9ea195217d15c437b4d5ac8695e66c45cdb0cb913e18c884,88277f9a588ad89f42ba045124dba337cf9fb1c2e1f1a513bfd9379c098869ae,2d928a782ad111c2f8140d6ef39b7d0047114b7082512b109a5614d7dda9e006,ca0780905ad19b40055d7077737f402ed252670324e409f814ded46f01be5471,1624c6ba89e7430409c31606ea63ebf58399bef281066ac44e39d950da18bbf6,cffbfe2eb6691dace526587444d5dc34d649ad4b48df04e14d177db478ea74d0,423766144de2c312a2663442ae49f331cb292f6769e5c8c05e23b5d7e020c9c7,ad41e77581386dd91e8fc5e96bec0344282fa845f9897cb04b3e8168279fb83e,1108445c27f96cddcd3733387aa2850ee94e3647b26df306d895fdbacd1695db,1123b67f81190df58341e3810f7d5650081dcf67469d704fe65da7f95c7d00b2,97960f49aa6244d5eb7e505f7bd5e9ce924da0c4b9006cfb9a659b02fb4fced9,f027d6af1159771cb6333ab4984820655a1a2c88a06d5d55b5ec5b7baf2ccfe5,502bfb0314049fc897c86e516993148549b6ea01e307c6524a7c99f988717d08,7186232de1b809aeb29bbf8578537daa059a87658df82c2b70a4006284df7919,38fb850485c154249f111d3884d0c0873905195e1cd0bea62a532301c9dc5299,491423cc06b3787fd20a6893ade44d7ca6d9f74720ef680540275f76ad9bbaf9,c8886b2a446e3a814aba9cd32638bec466dbcc0f38dd9c09ef8bc5ec95dbb079,35f4f9a478f8d5b76fd7e408d5da0677e1c61b2c43a94b8de9a751565ffc0163,e16a4a79359f4da8978e47ac74c52bcbb7b1f7c00971e2cd2248bba541fe38c1
"EnemyA","JumpOverTrap","0","NONE","2500","0","1000","1000","1800","NONE","NONE","AccelBoardA","EnemyD","0","NONE","3100","0","NONE","SpeedTerritoryA","0","600"
"EnemyC","AccelBoardA","0","NONE","2000","0","800","1001","1300","NONE","NONE","AccelBoardA","SpeedTerritoryA","0","NONE","3000","0","NONE","WholeCake","0","500"
"Balloon","TrapA_NoCall","0","NONE","1600","0","1000","1002","1300","NONE","NONE","EnemyA_NoColl","SpeedTerritoryA_NoColl","0","NONE","2000","0","NONE","EnemyB_NoColl","0","400"
"JumpOverTrap","AccelBoardA","0","NONE","3000","0","1500","1003","2300","NONE","NONE","AccelBoardA","EnemyB","0","NONE","3300","0","NONE","JumpOverTrap","0","700"
"JumpOverTrap","NONE","0","NONE","2700","0","1300","1004","1900","NONE","NONE","EnemyA","JumpOverTrap","0","NONE","0","0","NONE","SpeedTerritoryA","0","800"
"JumpBoard","EnemyC","0","NONE","2600","0","1500","1005","2000","NONE","NONE","JumpOverEnemyC","SpeedTerritoryA","0","NONE","3300","0","NONE","AccelBoardA","0","300"
"EnemyA","AccelBoardA","3700","NONE","2500","0","1300","1006","1800","TrapA","NONE","TrapA","TrapA","0","NONE","3000","0","NONE","JumpOverTrap","0","700"
"AccelBoardA","JumpOverTrap","0","NONE","2400","0","1300","1007","1800","NONE","NONE","EnemyC","JumpOverTrap","0","NONE","3100","0","NONE","EnemyC","0","500"
"AccelBoardA","JumpOverTrap","3700","NONE","2700","0","1100","1008","2300","EnemyC","NONE","JumpBoard","EnemyC","0","NONE","3400","0","NONE","AccelBoardA","0","500"
"Balloon","JumpOverTrap","3700","NONE","2900","0","1000","1009","2000","SpeedTerritoryA","NONE","TrapA_NoCall","EnemyA_NoColl","0","NONE","3300","0","NONE","JumpOverTrap","0","400"
