29ae7e904c8e75ff266586c72b5ed85bfb81f5e21855c8a923da80f1130c80d4,b1059bd1da78b0e25dd3b074a0384a76726956cc2d34f1e91d6707a9e5be99a4,c5c96a6731e7b2ced4a2c44e12f62097e0f3e7ef19c17666868da15adab7e06d,e7d38bea891bc6fa093cd914e88172d7b18c885da2f0bcd204898a17ed62c382,e662887d97883a9a5d96119c08ebfdb970c67156e69a2bcd780778aa4e7eab7b,4841a62efedba38d71c764b3df0b56099968f484de50809dfc478040027e456b,59d6deb73450e55e44caa829d81824fa4e287640a330eba3d1953608efa6e350,b39cea779d1317c8c8ff2e73fc047ac440850724bb3a0908930e9a0629f638de,5c1640f6bd53b0820a5507b8fd40301ab06bdbd7b8f8c6501f5de8fd9b2afc1e,ec302d7f366210c6f231cb3e03411010319bc1577341807e295cd161d679e196
"パグ","0","1","2110001","0","0","バグ","ハグ","0","バク"
"手首","0","1","2110003","0","0","テクノロジー","テイク","0","テクニック"
"ゆきやけ","0","1","2110005","0","0","なだれ","じひびき","0","ふぶき"
"大理石","0","1","2110006","0","0","磁石","黒曜石","0","化石"
"ミスト","0","1","2110007","0","0","オーシャン","ガルフ","0","リバー"
"カットマーク","0","1","2110008","0","0","アットマーク","バットマーク","0","ラットマーク"
"建物の中の場所","0","1","2110010","0","0","太陽の日があたる場所","いつもすずしい場所","0","太陽があたらない場所"
"バレンタインデート","0","1","2110011","0","0","アップデート","ハッピーデート","0","ダブルデート"
"バリケード","0","1","2110012","0","0","ブリザード","オブリガード","0","ブルドーザー"
"火星","0","1","2110014","0","0","太陽","地球","0","月"
"新幹線","0","1","2110016","0","0","地平線","電話線","0","放物線"
"青歴史","0","1","2110018","0","0","黒歴史","赤歴史","0","白歴史"
"みそ","0","1","2110019","0","0","しょうゆ","お酢","0","みりん"
"顔","0","1","2110021","0","0","背中","手のひら","0","お腹"
"看板","0","1","2110022","0","0","鉄板","ベニヤ板","0","ガラス板"
"エンコード","0","1","2110023","0","0","ドレスコード","バーコード","0","プレスコード"
"まくおとし","0","1","2110024","0","0","こけらおとし","やくおとし","0","だるまおとし"
"ライン","0","1","2110025","0","0","コイン","ライス","0","コイル"
"パラソル","0","1","2110026","0","0","アパレル","ナチュラル","0","パラレル"
"薄塗り","0","1","2110028","0","0","透かし","上塗り","0","ぼかし"
"胃薬","0","1","2110031","0","0","目薬","塗り薬","0","風邪薬"
"石の上","0","1","2110032","0","0","ぬか","馬の耳","0","のれん"
"豆腐","0","1","2110034","0","0","金棒","カナブン","0","なみだ"
"サイダー","0","1","2110035","0","0","水","コーラ","0","レモネード"
"四度","0","1","2110036","0","0","三度","二度","0","一度"
"メガネ","0","1","2110037","0","0","たんこぶ","手ぬぐい","0","髪の毛"
"天国","0","1","2110038","0","0","闇","極楽","0","光"
