d9b279ab93efb49cf27a7160c2b9ff42ab0925727583d21d5f80f8355588ed7e,428056ad74069ef37db55848be458d10d5da377925ca3f5669aad49296c4c564,438c92a515512408b06c09a1f3ce7754a66f68c8cc921aa8af44c4b7af17a781,71ab4c784b0eb001165e78ea3a31a85d36a9d4640e9e665c9a3e288952d9a560,30f5e17557faae504c31344575f12442417065d1a3bcb0ff787af25d293903c5,714be0704113a322868c205fe416c7504165ef4613b146b48fa3b2236ebbe502
"1","3000","0","2999180","0","100111"
"1","10000","0","2999101","0","100112"
"1","10000","0","2999167","0","100121"
"1","10000","0","2999168","0","100122"
"1","10000","0","2999169","0","100123"
"1","10000","0","2999170","0","100124"
"1","10000","0","2999171","0","100125"
"1","5000","0","2999172","0","100131"
"1","5000","0","2999173","0","100132"
"1","5000","0","2999174","0","100133"
"1","5000","0","2999175","0","100134"
"1","5000","0","2999176","0","100135"
"1","10000","0","2999182","0","100211"
"1","100000","0","2999102","0","100221"
"1","40000","0","2999103","0","100231"
"1","100000","0","2999102","0","100232"
"1","10000","0","2999184","0","100311"
"1","200000","0","2999183","0","100321"
"1","1000000","0","2999185","0","100331"
"1","50000","0","2999186","0","100332"
"1","50000","0","2999187","0","100333"
"1","50000","0","2999188","0","100334"
"1","50000","0","2999189","0","100335"
"1","3000","0","2999104","0","100411"
"1","110","0","2999177","0","100412"
"1","5000","0","2999105","0","100421"
"1","130","0","2999178","0","100422"
"1","7000","0","2999106","0","100431"
"1","160","0","2999179","0","100432"
"1","3300","0","2999190","0","100511"
"1","20000","0","2999107","0","100521"
"1","20000","0","2999108","0","100522"
"1","20000","0","2999109","0","100523"
"1","20000","0","2999110","0","100524"
"1","20000","0","2999111","0","100525"
"1","20000","0","2999112","0","100531"
"1","20000","0","2999113","0","100532"
"1","20000","0","2999114","0","100533"
"1","20000","0","2999115","0","100534"
"1","20000","0","2999116","0","100535"
"14","5","0","14","0","110011"
"1","10000","0","2999117","0","110021"
"1","10000","0","2999120","0","110031"
"14","2","0","16","0","110041"
"1","1000","0","2999101","0","110051"
"14","2000","0","105","0","120011"
"1","5000","0","2999121","0","120021"
"1","5000","0","2999124","0","120031"
"1","1000","0","2999127","0","120041"
"1","1000","0","2999128","0","120051"
"1","1000","0","2999129","0","130011"
"14","1000","0","100","0","130021"
"14","1000","0","101","0","130022"
"14","3000","0","107","0","130031"
"14","1000","0","6","0","130041"
"14","1000","0","7","0","130042"
"14","10","0","9","0","130051"
"14","3000","0","108","0","140011"
"1","5000","0","2999132","0","140021"
"1","5000","0","2999133","0","140031"
"14","2000","0","2","0","140041"
"14","2000","0","4","0","140042"
"14","1000","0","3","0","140051"
"14","1000","0","5","0","140052"
"14","1000","0","110","0","150011"
"14","1000","0","1","0","150021"
"1","50000","0","2999134","0","150031"
"1","50000","0","2999135","0","150032"
"1","50000","0","2999136","0","150033"
"1","50000","0","2999137","0","150034"
"1","50000","0","2999138","0","150035"
"1","50000","0","2999149","0","150041"
"1","50000","0","2999150","0","150042"
"1","50000","0","2999151","0","150043"
"1","50000","0","2999152","0","150044"
"1","50000","0","2999153","0","150045"
"1","5000","0","2999164","0","150051"
"14","10","0","14","0","210011"
"1","20000","0","2999118","0","210021"
"1","20000","0","2999120","0","210031"
"14","4","0","16","0","210041"
"1","2000","0","2999101","0","210051"
"14","4000","0","105","0","220011"
"1","10000","0","2999122","0","220021"
"1","10000","0","2999125","0","220031"
"1","2000","0","2999127","0","220041"
"1","2000","0","2999128","0","220051"
"1","2000","0","2999129","0","230011"
"14","2000","0","100","0","230021"
"14","2000","0","101","0","230022"
"14","6000","0","107","0","230031"
"14","2000","0","6","0","230041"
"14","2000","0","7","0","230042"
"14","20","0","9","0","230051"
"14","6000","0","108","0","240011"
"1","10000","0","2999132","0","240021"
"1","10000","0","2999133","0","240031"
"14","4000","0","2","0","240041"
"14","4000","0","4","0","240042"
"14","2000","0","3","0","240051"
"14","2000","0","5","0","240052"
"14","2000","0","110","0","250011"
"14","2000","0","1","0","250021"
"1","100000","0","2999139","0","250031"
"1","100000","0","2999140","0","250032"
"1","100000","0","2999141","0","250033"
"1","100000","0","2999142","0","250034"
"1","100000","0","2999143","0","250035"
"1","100000","0","2999154","0","250041"
"1","100000","0","2999155","0","250042"
"1","100000","0","2999156","0","250043"
"1","100000","0","2999157","0","250044"
"1","100000","0","2999158","0","250045"
"1","10000","0","2999165","0","250051"
"14","10000","0","104","0","300011"
