a98ee98bfc1127a6ab0f9d70fe9905fba2296453d231c101104c033b932467d0,5a503f02d732046fcbe8e76339e7461ff718eba2bd5c246fcb405d3fbcb598c3,6a75b538b98a3973ca04c6414cbb70186f066ff1116987bc2b8b45c41932a431,246983459ffdb92dd92321700cd8d9e678dcad06013611f48a17caaad72b0fb2
"1000","91002","8","100"
"2000","23003","2","500"
"3000","25011","2","5000"
"4000","25012","2","5000"
"5000","25013","2","5000"
"6000","25014","2","5000"
"7000","25015","2","5000"
"8000","25021","2","2500"
"9000","91002","8","100"
"10000","21953","2","1"
"12000","90005","2","50"
"14000","23003","2","500"
"16000","25011","2","5000"
"18000","25012","2","5000"
"20000","25013","2","5000"
"23000","25014","2","5000"
"26000","25015","2","5000"
"29000","25021","2","2500"
"32000","91002","8","100"
"35000","41000","2","1"
"39000","90005","2","50"
"43000","23003","2","500"
"47000","25011","2","5000"
"51000","25012","2","5000"
"55000","25013","2","5000"
"60000","25014","2","5000"
"65000","25015","2","5000"
"70000","25021","2","2500"
"75000","91002","8","100"
"80000","26203","2","1"
"90000","90005","2","50"
"100000","23003","2","500"
"150000","25011","2","5000"
"200000","25012","2","5000"
"250000","25013","2","5000"
"300000","25014","2","5000"
"350000","25015","2","5000"
"400000","25021","2","2500"
"450000","91002","8","100"
"500000","21953","2","1"
"550000","90005","2","50"
"600000","23003","2","500"
"650000","25011","2","5000"
"700000","25012","2","5000"
"750000","25013","2","5000"
"800000","25014","2","5000"
"850000","25015","2","5000"
"900000","25021","2","2500"
"950000","91002","8","100"
"1000000","25101","2","1"
"1050000","90005","2","50"
"1100000","23003","2","500"
"1150000","25011","2","5000"
"1200000","25012","2","5000"
"1250000","25013","2","5000"
"1300000","25014","2","5000"
"1350000","25015","2","5000"
"1400000","25021","2","2500"
"1450000","91002","8","100"
"1500000","26203","2","1"
"1550000","90005","2","50"
"1600000","23003","2","500"
"1650000","25011","2","5000"
"1700000","25012","2","5000"
"1750000","25013","2","5000"
"1800000","25014","2","5000"
"1850000","25015","2","5000"
"1900000","25021","2","2500"
"1950000","91002","8","100"
"2000000","41000","2","1"
"2050000","90005","2","50"
"2100000","23003","2","500"
"2150000","25011","2","5000"
"2200000","25012","2","5000"
"2250000","25013","2","5000"
"2300000","25014","2","5000"
"2350000","25015","2","5000"
"2400000","25021","2","2500"
"2450000","91002","8","100"
"2500000","26203","2","1"
"2550000","90005","2","50"
"2600000","23003","2","500"
"2650000","25011","2","10000"
"2700000","25012","2","10000"
"2750000","25013","2","10000"
"2800000","25014","2","10000"
"2850000","25015","2","10000"
"2900000","25021","2","5000"
"2950000","91002","8","100"
"3000000","21953","2","1"
"3050000","90005","2","50"
"3100000","23003","2","500"
"3150000","25011","2","10000"
"3200000","25012","2","10000"
"3250000","25013","2","10000"
"3300000","25014","2","10000"
"3350000","25015","2","10000"
"3400000","25021","2","5000"
"3450000","91002","8","100"
"3500000","26203","2","1"
"3550000","90005","2","50"
"3600000","23003","2","500"
"3650000","25011","2","10000"
"3700000","25012","2","10000"
"3750000","25013","2","10000"
"3800000","25014","2","10000"
"3850000","25015","2","10000"
"3900000","25021","2","5000"
"3950000","91002","8","100"
"4000000","41000","2","1"
"4050000","90005","2","50"
"4100000","23003","2","500"
"4150000","25011","2","10000"
"4200000","25012","2","10000"
"4250000","25013","2","10000"
"4300000","25014","2","10000"
"4350000","25015","2","10000"
"4400000","25021","2","5000"
"4450000","91002","8","100"
"4500000","26203","2","1"
"4550000","90005","2","50"
"4600000","23003","2","500"
"4650000","25011","2","10000"
"4700000","25012","2","10000"
"4750000","25013","2","10000"
"4800000","25014","2","10000"
"4850000","25015","2","10000"
"4900000","25021","2","5000"
"4950000","91002","8","100"
"5000000","25101","2","1"
