6b6777e6a70e46fc4b3353d3e90d9f3dd443b3b5bf7d00d27af2f7d392f98461,7d7e434797118206f0fb36cae443e434c66ca1a539f4cb37feeb5eb68df3d165,226edcf5b8c5c76245a928f5732362f5d4af321e248c6fa853b4f69a8840bd14,1505dff4b23ed6dcf8242575e8dcd7eae24388b51d4be19e0737863316e20a0d,c7de1e96b86979cd4d5f4c33733bca0fdc777ef180306abe05e954ac8763a952,77902ca91309f3e1fb6d827ca87a57ed85b4269fb25b7c08d0a591d13c058db3,d780684962cfc934e552b531f92cc81e634cc67fbab0c7252aac4e32177b343d,f138599fe914899d0f082099cc1230483fb90c0be38006ab1e144e47d7efaa06,07fa269f6e14421eb04a1a20355b786845d18305b4620bed31aaac8d3eb4f64b,4661a1b57f61f428cd6146540e141d053613b28e4cabaea142b27e97599058a0,787d4e193743d72cffd4fd806908a94f39d1d27f9a4cf43c26960d8cb237e071
"1","282001001","2","25021","8","2","25012","31","0","0","0"
"2","282001002","2","25021","8","2","25012","31","0","0","0"
"3","282001003","2","25021","8","2","25012","32","0","0","0"
"4","282001004","2","25021","8","2","25012","32","0","0","0"
"5","282001005","2","25021","8","2","25012","33","0","0","0"
"6","282001006","2","25021","9","2","25012","33","0","0","0"
"7","282001007","2","25021","9","2","25012","34","0","0","0"
"8","282001008","2","25021","9","2","25012","35","0","0","0"
"9","282001009","2","25021","9","2","25012","35","0","0","0"
"10","282001010","2","25021","10","2","25012","37","0","0","0"
"11","282001011","2","25021","10","2","25012","41","0","0","0"
"12","282001012","2","25021","11","2","25012","43","0","0","0"
"13","282001013","2","25021","11","2","25012","46","0","0","0"
"14","282001014","2","25021","12","2","25012","48","0","0","0"
"15","282001015","2","25021","12","2","25012","50","0","0","0"
"16","282001016","2","25021","13","2","25012","53","0","0","0"
"17","282001017","2","25021","14","2","25012","55","0","0","0"
"18","282001018","2","25021","14","2","25012","58","0","0","0"
"19","282001019","2","25021","15","2","25012","60","0","0","0"
"20","282001020","2","25021","15","2","25012","62","0","0","0"
"21","282001021","2","25021","16","2","25012","68","0","0","0"
"22","282001022","2","25021","16","2","25012","70","0","0","0"
"23","282001023","2","25021","16","2","25012","72","0","0","0"
"24","282001024","2","25021","17","2","25012","75","0","0","0"
"25","282001025","2","25021","18","2","25012","77","0","0","0"
"26","282001026","2","25021","18","2","25012","79","0","0","0"
"27","282001027","2","25021","19","2","25012","82","0","0","0"
"28","282001028","2","25021","19","2","25012","84","0","0","0"
"29","282001029","2","25021","19","2","25012","86","0","0","0"
"30","282001030","2","25021","20","2","25012","89","0","0","0"
