4a8716f3cb8fb775118a60949a1e983c0109c26fdbd86300e95d706b6e94b578,369a779b3fbdb901c179b1a3c481c39edbd98b71cb5566d28177124b296d048a,9ff7ac913efdc9ca84c1d42618eadc2451945ffefe4fb14005a9587ac6c01e6c,61a2b29b9e4d31dea5b8e89ad6aa0e98f7cc7017ad7f39ae8b850c1649a726f0,2a31396d0f22ce039365525017abe52e889599477a11db77a4e69e41aca66e7b
"12","94002","1010101","10101011","2000000"
"2","23003","1010102","10101021","250"
"2","25021","1010103","10101031","3500"
"8","91002","1010104","10101041","100"
"2","90005","1010105","10101051","10"
"2","31063","1010106","10101061","20"
"8","91002","1010107","10101071","100"
"8","91002","1010108","10101081","150"
"2","41000","1010109","10101091","1"
"2","90008","1010109","10101092","2000"
"2","21953","1010110","10101101","1"
"2","90008","1010110","10101102","2000"
"12","94002","1010201","10102011","2000000"
"2","23003","1010202","10102021","250"
"2","25021","1010203","10102031","3500"
"8","91002","1010204","10102041","100"
"2","90005","1010205","10102051","10"
"2","21953","1010206","10102061","1"
"8","91002","1010207","10102071","100"
"8","91002","1010208","10102081","150"
"2","41000","1010209","10102091","1"
"2","90008","1010209","10102092","2000"
"2","31094","1010210","10102101","20"
"2","90008","1010210","10102102","2000"
"12","94002","1010301","10103011","2000000"
"2","23003","1010302","10103021","250"
"2","25021","1010303","10103031","3500"
"8","91002","1010304","10103041","100"
"2","90005","1010305","10103051","10"
"2","21953","1010306","10103061","1"
"8","91002","1010307","10103071","100"
"8","91002","1010308","10103081","150"
"2","41000","1010309","10103091","1"
"2","90008","1010309","10103092","2000"
"2","31093","1010310","10103101","20"
"2","90008","1010310","10103102","2000"
