e2a423e5db6561a5befbf5ed0577d33221dd2a363cd234998171ab5ef5154973,1067e702a8f0bf7515ae36d8152e7a70c39b89f684ad52409da0ec33cdb14ee8,12210c274f68b77db55fdf7c6be00a584543e9fccb5f57968a0c5b0db4a5fbed,1d74934f614a946c176ee06686e04ee19488c7ba70c4bfb799b901f841da3ec4
"毒/猛毒ダメージアップ","1","poison_damage_up","バトル中、「毒」「猛毒」のダメージが大幅にアップする。"
"火傷ダメージアップ","2","burn_damage_up","バトル中、「火傷」のダメージが大幅にアップする。"
"呪い/呪詛ダメージアップ","3","curse_damage_up","バトル中、「呪い」「呪詛」のダメージが大幅にアップする。"
"麻痺効果時間増加","4","paralysis_time_extension","バトル中、「麻痺」の効果時間が増加する。"
"凍結効果時間増加","5","frozen_time_extension","バトル中、「凍結」の効果時間が増加する。"
"束縛効果時間増加","6","bind_time_extension","バトル中、「束縛」の効果時間が増加する。"
"スタン効果時間増加","7","stun_time_extension","バトル中、「スタン」の効果時間が増加する。"
"毒/猛毒効果時間増加","8","poison_time_extension","バトル中、「毒」「猛毒」の効果時間が増加する。"
"火傷効果時間増加","9","burn_time_extension","バトル中、「火傷」の効果時間が増加する。"
"呪い/呪詛効果時間増加","10","curse_time_extension","バトル中、「呪い」「呪詛」の効果時間が増加する。"
"誘惑効果時間増加","11","temptation_time_extension","バトル中、「誘惑」の効果時間が増加する。"
"混乱効果時間増加","12","confusion_time_extension","バトル中、「混乱」の効果時間が増加する。"
"物理攻撃力アップ","13","attack_up","バトル中、物理攻撃力が大幅にアップする。"
"魔法攻撃力アップ","14","magic_str_up","バトル中、魔法攻撃力が大幅にアップする。"
"物理防御力アップ","15","defense_up","バトル中、物理防御力が大幅にアップする。"
"魔法防御力アップ","16","magic_def_up","バトル中、魔法防御力が大幅にアップする。"
"物理クリティカルアップ","17","physical_critical_up","バトル中、物理クリティカルが大幅にアップする。"
"魔法クリティカルアップ","18","magic_critical_up","バトル中、魔法クリティカルが大幅にアップする。"
"ＴＰ上昇アップ","19","energy_recovery_rate_up","バトル中、ＴＰ上昇が大幅にアップする。"
"バトル開始時ＴＰ特大回復","20","energy_recovery","バトル開始時、ＴＰが特大回復する。"
"麻痺確定付与","22","paralysis_hit_absolute","バトル中、「麻痺」を必ず付与できる状態になる。"
"凍結確定付与","23","frozen_hit_absolute","バトル中、「凍結」を必ず付与できる状態になる。"
"束縛確定付与","24","bind_hit_absolute","バトル中、「束縛」を必ず付与できる状態になる。"
"スタン確定付与","25","stun_hit_absolute","バトル中、「スタン」を必ず付与できる状態になる。"
"毒/猛毒確定付与","26","poison_hit_absolute","バトル中、「毒」「猛毒」を必ず付与できる状態になる。"
"火傷確定付与","27","burn_hit_absolute","バトル中、「火傷」を必ず付与できる状態になる。"
"呪い/呪詛確定付与","28","curse_hit_absolute","バトル中、「呪い」「呪詛」を必ず付与できる状態になる。"
"誘惑確定付与","29","temptation_hit_absolute","バトル中、「誘惑」を必ず付与できる状態になる。"
"混乱確定付与","30","confusion_hit_absolute","バトル中、「混乱」を必ず付与できる状態になる。"
