b1c0257d5e46dc550e5315b549c6a642678a73ac1144cab5d1936aa6377374d0,ac2cfe4cb5ffbb3df56a59f23f55e1aae20bf4d18bd80bc4073b01fdd3f045c6,a31e5816c7e56263d40199155739bc033db693b81c751f6f81d258d0644187ce,1f9cb530b5e2679ae3ae3e4fa17151ff1cad82839bb6f3c213541ba9d71b8ca9,75aa26205b29bde4bc755af78729d564e9a2ded11928dd5f3605ce7b3ee80090,00ed846d959f1cd5b9c419ee665af85851a72794ce67fe14093712d3cb87e285,b1b6f92f5985dd6fb2a54a410b335b7301d9818db32060d19b8a9c07eecb0bde,d51c13e14466e624eb0e713c936919535aef93febf23be82b42b9dca4e3532cd,c262b12d9a3f9af700457890ef00bf5e23bbec165e5cf3b2248956a67e88bd44,7faae1aa6e1c1948e24dc50e57d636b684a002d5b6b98dcfac26d21cc833336b,64103662522e9421fa0154307cba58e0532fcc95a2724f074fb342dba2f34e25,3b0dd9935a3e313f7a5fbf242bf5a5079cbd57307df76e106388b5166155de98,8b751937d5a012038df2eacf34c32aa560cf04a17e36560e0eeeb20e42b61aad,b81e3cb8ce3e7eb5186e5b4ecdf184ee4a4f95bafd40748598df8bde3f582f96,f50655e82840744eb27239251e05da939c8ee7bdfd7ccb4e414ad0aa0aec7b66,8b48483bdf9d5bb7fd2a07e31a7a34cd40ec9c5686b5764b2bf7f142e0e68474,76b35b318efed3edc190f1410f3f4452d0435cd641253f30507d35ad1f6dc187,cdfdf4821bcc58ec50f4bb77035b82c99be3aeb2725923d90cffe4b547309aa4,a0330f2933ca0da0c45304090057bc5a1ba63357cf8b5eb5f4ca55ba8edb5e4d,dec345fdcce157cd884c76efdc3a00c1c29f023cfd2046d64d20c74b050c63bf,335c5fc67fc6f109d9a0a09b7ccf4b55b051c44663079f3a7d8b8384ecf1457a,3a20712c29ea0a7512f7b7729e5c010f840a474a216375abc5b0b42738b2dc1b
"10010101","bgm_M64","101001","0.6","-30","1","0.8","10","101001","1","1","1001","210","0","1","-30","0.7","-480","250","1","0","-120"
"10010102","bgm_M64","101001","0.75","0","1","1.2","10","101001","1","1","1001","200","0","2","-30","1","-260","0","2","0","-120"
"10010103","bgm_M64","101001","0.75","-10","1","1.1","0","101001","1","1","1001","200","-50","3","-30","1","-40","100","3","0","0"
"10010104","bgm_M64","101001","0.7","0","1","1","0","101001","1","1","1001","200","0","4","-30","1","240","0","4","0","-50"
"10010105","bgm_M55","101011","1.2","0","1","1.3","0","101011","1","1","1001","250","0","5","-30","1","480","200","5","0","-40"
"10020101","bgm_M64","101021","0.6","-30","1","0.8","10","101001","1","1","1002","210","0","1","-30","0.7","-480","250","1","0","-155"
"10020102","bgm_M64","101021","0.75","0","1","1.2","10","101001","1","1","1002","200","0","2","-30","1","-265","250","2","0","-120"
"10020103","bgm_M64","101021","0.9","-10","1","1.4","0","101001","1","1","1002","200","-30","3","-30","1","-30","100","3","-15","30"
"10020104","bgm_M64","101021","1","0","1","1.5","0","101001","1","1","1002","200","-30","4","-30","1.25","220","100","4","0","-90"
"10020105","bgm_M55","101031","1.4","0","1","1.8","0","101011","1","1","1002","250","0","5","-30","1.6","440","200","5","0","0"
"10030101","bgm_M64","101041","0.6","-30","1","0.8","10","101041","1","1","1003","210","0","1","-30","0.7","-470","250","1","0","-155"
"10030102","bgm_M64","101041","0.75","0","1","1.2","10","101041","1","1","1003","200","0","2","-30","1","-210","250","2","0","-95"
"10030103","bgm_M64","101041","0.75","-10","1","1.1","0","101041","1","1","1003","200","-50","3","-30","1","50","100","3","0","-120"
"10030104","bgm_M64","101041","0.8","0","1","1.5","0","101041","1","1","1003","200","-30","4","-30","1.2","195","100","4","0","35"
"10030105","bgm_M55","101042","1.1","0","1","1.8","0","101042","1","1","1003","210","-50","5","-30","1.35","450","150","5","0","-55"
"10040101","bgm_M64","101161","0.6","-30","1","0.8","10","101161","1","1","1004","210","0","1","-30","0.7","-480","250","1","0","-120"
"10040102","bgm_M64","101161","0.75","0","1","1.2","10","101161","1","1","1004","200","0","2","-30","1","-260","0","2","0","-120"
"10040103","bgm_M64","101161","0.9","-10","1","1.4","0","101161","1","1","1004","200","-30","3","-30","1","-20","100","3","-15","55"
"10040104","bgm_M64","101161","0.9","0","1","1.3","0","101161","1","1","1004","200","-30","4","-30","1","180","0","4","0","-30"
"10040105","bgm_M55","101162","0.9","-30","1","1.2","0","101162","1","1","1004","250","-50","5","-30","0.9","470","200","5","-40","-60"
"10050101","bgm_M64","101171","0.6","-30","1","0.8","10","101161","1","1","1005","210","0","1","-30","0.7","-480","250","1","0","-120"
"10050102","bgm_M64","101171","0.75","0","1","1.2","10","101161","1","1","1005","200","0","2","-30","1","-260","0","2","0","-120"
"10050103","bgm_M64","101171","0.9","-10","1","1.4","0","101161","1","1","1005","200","-30","3","-30","1","-20","100","3","-15","45"
"10050104","bgm_M64","101171","0.7","0","1","1","0","101161","1","1","1005","200","0","4","-30","1","190","0","4","0","-70"
"10050105","bgm_M55","101172","1","0","1","1.3","0","101162","1","1","1005","240","-30","5","-30","1","445","200","5","-40","-25"
"10060101","bgm_M64","101191","0.6","-30","1","0.8","10","101161","1","1","1006","210","0","1","-30","0.7","-480","250","1","0","-120"
"10060102","bgm_M64","101191","0.75","0","1","1.2","10","101161","1","1","1006","200","0","2","-30","1","-260","0","2","0","-100"
"10060103","bgm_M64","101191","0.8","-10","1","1.1","0","101161","1","1","1006","200","0","3","-30","1","-10","100","3","-15","65"
"10060104","bgm_M64","101191","0.8","0","1","1.2","0","101161","1","1","1006","200","0","4","-30","1","190","0","4","0","-110"
"10060105","bgm_M55","101192","0.9","-45","1","1.15","-10","101162","1","1","1006","280","-50","5","-30","1","485","270","5","0","-70"
"10070101","bgm_M64","101201","0.6","-30","1","0.8","10","101161","1","1","1007","210","0","1","-30","0.7","-480","250","1","0","-120"
"10070102","bgm_M64","101201","0.9","0","1","1.2","10","101161","1","1","1007","240","0","2","-30","1","-260","120","2","0","-120"
"10070103","bgm_M64","101201","0.8","-10","1","1.1","0","101161","1","1","1007","200","0","3","-30","1","-10","100","3","-15","65"
"10070104","bgm_M64","101201","0.9","0","1","1.2","0","101161","1","1","1007","200","0","4","-30","1","190","100","4","0","-110"
"10070105","bgm_M55","101202","1","-45","1","1.45","10","101162","1","1","1007","250","-50","5","-30","1","475","270","5","-20","-30"
"10080101","bgm_M64","101291","0.6","-30","1","0.8","10","101161","1","1","1008","210","0","1","-30","0.7","-480","250","1","0","-120"
"10080102","bgm_M64","101291","0.9","0","1","1.2","10","101161","1","1","1008","240","0","2","-30","1","-260","120","2","0","-120"
"10080103","bgm_M64","101291","0.8","-10","1","1.1","0","101161","1","1","1008","200","0","3","-30","1","-40","100","3","-15","65"
"10080104","bgm_M64","101291","0.9","0","1","1.3","0","101161","1","1","1008","200","0","4","-30","1.3","150","100","4","0","-110"
"10080105","bgm_M55","101292","1.1","30","1","1.45","30","101162","1","1","1008","230","15","5","-30","1.3","490","45","5","-20","-15"
"10090101","bgm_M64","101301","0.6","-30","1","0.8","10","101161","1","1","1009","210","0","1","-30","0.7","-480","250","1","0","-120"
"10090102","bgm_M64","101301","0.75","0","1","1.2","10","101161","1","1","1009","200","0","2","-30","1","-260","120","2","0","-120"
"10090103","bgm_M64","101301","1.55","-10","1","2.3","0","101161","1","1","1009","200","0","3","-30","2.2","-50","100","3","-15","100"
"10090104","bgm_M64","101301","1","0","1","1.3","0","101161","1","1","1009","200","15","4","-30","1.3","180","100","4","0","-100"
"10090105","bgm_M55","101302","1","-30","1","1.2","10","101162","1","1","1009","270","-15","5","-30","1.1","470","200","5","-20","-55"
"10100101","bgm_M64","101441","0.575","-30","1","1","10","101161","1","1","1010","210","-25","1","-30","0.9","-450","170","1","0","-130"
"10100102","bgm_M64","101441","0.75","0","1","1.2","10","101161","1","1","1010","200","0","2","-30","1","-250","120","2","0","-120"
"10100103","bgm_M64","101441","0.8","-10","1","1.1","0","101161","1","1","1010","200","0","3","-30","1","-10","100","3","-15","50"
"10100104","bgm_M64","101441","0.9","0","1","1.3","0","101161","1","1","1010","200","-30","4","-30","1","180","0","4","0","-100"
"10100105","bgm_M55","101442","0.95","-30","1","1.2","10","101162","1","1","1010","270","-35","5","-30","1.1","470","200","5","-20","-70"
"10110101","bgm_M64","101451","0.575","-30","1","1","10","101451","1","1","1011","210","-25","1","-30","0.9","-450","170","1","0","-130"
"10110102","bgm_M64","101451","0.75","0","1","1.2","10","101451","1","1","1011","200","0","2","-30","1","-250","120","2","0","-120"
