0a852245a9ac8e4e0d772d6ee49866566ca11b0e09db679646e427dd23fedea7,37cb20c8911901fcd29db83ef31a8ebb0f6a1b770573c9694aa9c3a347bc2c5f,e1fa10be2dc7fa9c87ae805487a044337d62e4fc516f41fd68f572e4c5984287,47156a00bd01ce0c7df3e5b4215c9cd1319cb948caa1eca6d3a1f877d732f1be,da171db660cec7cfd877e527bc7efbbf64826febe51c11299df233e211e6b0e7,35245b8e463274724addda83140983f7aabb0542009dd5aaf5a7a678e9d74fac,32e871ce4945e0b758e0de6560c2dcd0268e4d5ebc22dac7193a4731212c68a2,a2df62cea47526470d2427ceb2a8334904a62a1f165650894bdef0f7bb15230a,693fe3db707e671e581a8849dd69e8336d77973ff76b253d5a7e914ef641d76e,a297dfa98441765f25346b0bd0e01216d0c22743336a27804a52dee8e7cca2ff,9c154e115e9996a3bd647730574b4f23e2bf6a8eee542f6bfd9d6f23c081487c
"10011","2","1001","1","pt","0","0","0","1","0","10011105"
"10015","2","1002","1","m","1","0","0","2","0","10015103"
"10021","2","1003","1","pt","0","0","5021700","3","0","10021108"
"10027","3","1004","1","pt","0","0","5027700","4","0","5027007"
"10040","2","1005","1","pt","0","0","5040700","5","0","10040105"
"10046","1","1006","1","pt","0","1","0","6","5046006","5046006"
"10072","3","1007","1","pt","0","3","0","7","5072006","5072006"
"10080","3","1008","0","pt","0","3","5080700","8","5080000","5080007"
"0","0","1009","0","pt","0","0","9004201","9","0","0"
"10096","1","1010","1","pt","0","3","5096700","10","5096007","5096007"
"10126","2","1012","1","pt","0","3","0","11","5126000","10126107"
"10142","3","1013","1","pt","0","1","5142700","12","5142000","5142007"
"10156","3","1014","1","pt","0","1","5156700","13","5156000","5156007"
