f76b706117a253bc41c22017b637e49f8659ed4386e20f516b88bc5170eae37e,b0d7e120fa041602d7135985f5a7e143c8045c67d36dc72e5cb38be29512b2fa,2700e8a5d9b1c8fa4f7614784f04df86dda510da40d97484ec14251b4d4308e0,8292db861c588237caa82f6c455ca1cf39d92982c46a9969bd935e680f78f3b4,181e0e805a21ac13443d6190d1a845ab2f3430d245ae13999948d1871df68ece,b7883b4788d6ff052398e610c21fd9456e6a503a5be1796864462f5d427f6615,c989225c1b5de3292fd07ae48348c3d262b7202894f2e09bf8522ae0eb1f393e,9dcf379c6f387c6abace8b973ee287f865ab8060b5f273e63c2fc46584acfd63,5a7942e8202b6d6c655b8ab8c716c42de2e83ee3c02a8483c91e4b9f2a4a4a7e,30bf7d4e359e339ca2a180e4646e9a56e107f242bdf38d702265ab63519505eb,96cd2ad31fe8cc947f2aa9fe355da4282619b3a6e698ee72dea0e4746f2dbba1,0b364a0719a7cd0124dba48504a85ee85b69ceb57824f1150672e922d8214c97,fefe0cd0860bd2712c11cd0becc45c10b7bf10e1f44d3a38a8a7f68d4184fd4d
"0","1","vo_minigame_1012_correct_107","0","8","8","11120101","0","1","0","0","1201","それでいいのよ！"
"0","1","vo_minigame_1012_correct_108","0","8","8","11120102","0","1","0","0","1201","うん、OK！"
"0","1","vo_minigame_1012_correct_109","0","1","1","11120103","0","1","0","0","1201","いい調子ね！"
"-1","1","vo_minigame_1012_correct_115","0","1","1","11120201","13333","1","0","0","1202","じっくりでいいわ！"
"-1","1","vo_minigame_1012_correct_117","0","9","9","11120202","13333","1","0","0","1202","正解すりゃいいのよ！"
"0","1","vo_minigame_1012_correct_118","0","1","1","11120301","0","1","0","0","1203","すごいわね！"
"0","1","vo_minigame_1012_correct_119","8","5","5","11120302","0","1","0.01","0","1203","これ分かるの！？"
"0","1","vo_minigame_1012_correct_125","0","1","1","11120401","0","1","0","0","1204","これは大丈夫ね！"
"0","1","vo_minigame_1012_correct_123","4","7","7","11120501","0","1","0.01","0","1205","復習バッチリね！"
"-1","1","vo_minigame_1012_correct_128","0","8","8","11120601","3","1","0","0","1206","連続で正解よ！"
"-1","1","vo_minigame_1012_correct_131","0","2","2","11120701","3","1","0","0","1207","巻き返すわよ！"
"0","1","vo_minigame_1012_incorrect_107","0","2","2","11130101","0","1","0","0","1301","切り替えて！"
"0","1","vo_minigame_1012_incorrect_108","0","9","9","11130102","0","1","0","0","1301","こんなこともあるわ！"
"0","1","vo_minigame_1012_incorrect_109","0","4","4","11130103","0","1","0","0","1301","それじゃダメよ！"
