0f4e3c20520c68d6d51b1e5fcbfe040a5e499872f070ec8e836366394af29f23,1bda5a8fbf780639bc869e739e443c73d67f003c580f733390b4786931253a0d,8e6722ca5195383681a02beb61053039ae81ca3d4550da878666dee9c668a9f4,632b151cdf19b77cf9c4de3fa55c7efa6b97c4225c5ac90dbe3a86e0c0e6224a,23387ae50978e62cee919a95e95c40f1cc465b073d7e2de421a181cafd605649,aa88030074c0ae03a6c03a86da14e7216242e8b9d00867b2192ec782f79303a0,ac2a7fe23559e23772f763c4ce8d0a05f4e2f26a88b2f96d1bf3fad84a955190,3c8d53eee96a1daff7877ef84069571a7776c2974bf056ff9e56f5c427391302,389fe261e44e2fe9fc76e4c4bd15b4cd8992d142e6ed5f63b75d7fd52afadbf3,9c4dd305f839b9689fb472fdff4fb6c6c8bfcc9f2a4235e2ed685dcff1439198,006730a3b3437a743f6622370809e9684f6c27c67d15a74945873d60e84869b3
"0","-230","101001","cgg_idle_normal","160","5","1","100","101","1","-420"
"1","-230","101002","cgg_idle_def","1.6","1","1","100","101","105811","375"
"1","-230","101003","cgg_idle_def","1.6","1","1","101","101","106011","490"
"0","1","101004","","0.1","6","1","1","101","1","1"
"0","1","101005","","0.1","6","105811","1","101","1","1"
"0","1","101006","","0.1","6","106011","1","101","1","1"
"","","101007","","","93","0.2","","101","0",""
"","","101008","","","21","vo_minigame_1007","0","101","vo_minigame_1007_top_talk_1_001","0"
"0","0","101009","0","0","11","105811","7","101","見てください\nキャルちゃん♪\nカルミナのグッズが\nいっぱいですよ☆","0"
"","","101010","","0.2","3","1","1","101","cgg_idle_surprise1",""
"0","1","101011","","0.2","3","105811","0","101","cgg_surprise_kira","cgg_talk_surprise_kira"
"","","101012","","","93","2.1","","101","0",""
"","","101013","","0.2","3","1","1","101","cgg_idle_surprise3",""
"","","101014","","0.2","3","105811","1","101","cgg_talk_joy1",""
"","","101015","","","91","101009","","101","",""
"","","101016","","0.2","3","105811","1","101","cgg_idle_def",""
"","","101017","","","21","vo_minigame_1007","0","101","vo_minigame_1007_top_talk_1_002","0"
"0","0","101018","0","0","11","106011","6","101","こんなにあるのね…\nこういうのってつい\n全部集めたく\nなっちゃうのよね","0"
"","","101019","","0.2","3","1","1","101","cgg_idle_reaction1",""
"","","101020","","0.2","3","106011","1","101","cgg_talk_surprise1",""
"","","101021","","","93","2.1","","101","0",""
"","","101022","","0.2","3","1","1","101","cgg_idle_nod",""
"","","101023","","0.2","3","106011","1","101","cgg_talk_bitter",""
"","","101024","","","91","101018","","101","",""
"","","101025","","","93","0.5","","101","0",""
"","","101026","","0.2","3","1","1","101","cgg_idle_normal",""
"","","101027","","0.2","3","106011","1","101","cgg_idle_def",""
"","","101028","","0.2","3","105811","1","101","cgg_idle_joy2",""
"","","101029","","0.2","12","105811","1.4","101","10",""
"","","101030","","","93","3","","101","0",""
"","","101031","","0.2","3","105811","1","101","cgg_idle_def",""
"","","101032","","0.2","3","106011","1","101","cgg_talk_surprise_dere",""
"","","101033","","0.2","12","106011","1.4","101","8",""
"","","101034","","","93","3","","101","0",""
"","","101035","","0.2","3","106011","1","101","cgg_idle_def",""
"0","1","101036","","0.2","3","1","0","101","cgg_surprise1","cgg_idle_surprise1"
"","","101037","","0.2","12","1","1.4","101","4",""
"","","101038","","","93","3","","101","0",""
"","","101039","","","101","101026","","101","0",""
"","","101040","","","22","0","","101","0.5",""
"0","0","101041","","0.1","6","1","1","101","1","1"
"0","0","101042","","0.1","6","105811","1","101","1","1"
"0","0","101043","","0.1","6","106011","1","101","1","1"
"","","101044","","","93","0.1","","101","0",""
"","","101045","","0","3","1","1","101","cgg_idle_normal",""
"","","101046","","0","3","105811","1","101","cgg_idle_def",""
"","","101047","","0","3","106011","1","101","cgg_idle_def",""
"0","-230","102001","cgg_idle_normal","160","5","1","100","102","1","-420"
"1","-230","102002","cgg_idle_def","1.6","1","1","100","102","105911","375"
"1","-230","102003","cgg_idle_def","1.6","1","1","101","102","106411","490"
"0","1","102004","","0.1","6","1","1","102","1","1"
"0","1","102005","","0.1","6","105911","1","102","1","1"
"0","1","102006","","0.1","6","106411","1","102","1","1"
"","","102007","","","93","0.2","","102","0",""
"","","102008","","","21","vo_minigame_1007","0","102","vo_minigame_1007_top_talk_2_003","0"
"0","0","102009","0","0","11","105911","5","102","ライブ会場に到着です\n随分と大きくて\n開放的ですね…","0"
"","","102010","","0.2","3","1","1","102","cgg_idle_surprise1",""
"","","102011","","0.2","3","105911","0","102","cgg_lookup",""
"","","102012","","","93","2.6","","102","0",""
"","","102013","","0.2","3","105911","1","102","cgg_talk_wish_surprise",""
"","","102014","","","91","102009","","102","",""
