13d574097a50c9369c20a2f8171b004fd38811adec9b9855e6162ab9072ada0b,1a082b44d8fb7a25ece5724ee6537012c7dd453eba0e247ab53066086760eb00,8b6cb5f34301134b3354f055a610846e981fb512c5a8f256d92633fb58b9c805,246aa4f840c6298fd555f22f036ecc0617d4568584aea7739ea50afb8e9df7cc,f2068ff3c9ca6dead009ad8d2022272ac94df54f1ff5c0f7f7f6e94325ff4229,ccc5a65d01ce90f697c5b6b80c4d47de0c784a137bf02a067df78810ae32ff41
"1","1","15","1001","99001001","11001001"
"10","2","8","0","99001001","91002"
"1","3","15","1001","99001002","11001002"
"10","4","8","0","99001002","91002"
"1","5","15","1002","99001003","11001003"
"20","6","8","0","99001003","91002"
"1","7","15","1003","99001004","11001004"
"30","8","8","0","99001004","91002"
"1","9","15","1001","99001005","11001005"
"10","10","8","0","99001005","91002"
"1","11","15","1001","99001006","11001006"
"10","12","8","0","99001006","91002"
"1","13","15","1002","99001007","11001007"
"20","14","8","0","99001007","91002"
"1","15","15","1003","99001008","11001008"
"30","16","8","0","99001008","91002"
"1","17","15","1001","99001009","11001009"
"10","18","8","0","99001009","91002"
"1","19","15","1001","99001010","11001010"
"10","20","8","0","99001010","91002"
"1","21","15","1002","99001011","11001011"
"20","22","8","0","99001011","91002"
"1","23","15","1003","99001012","11001012"
"30","24","8","0","99001012","91002"
"1","33","15","1001","99001017","11001017"
"30","34","8","0","99001017","91002"
"1","35","15","1001","99001018","11001018"
"30","36","8","0","99001018","91002"
"1","37","15","1002","99001019","11001019"
"30","38","8","0","99001019","91002"
"1","39","15","1003","99001020","11001020"
"30","40","8","0","99001020","91002"
"0","41","15","1001","99001021","11001021"
"0","42","15","1002","99001022","11001022"
"1","43","15","1001","99001023","11001023"
"30","44","8","0","99001023","91002"
"1","45","15","1001","99001024","11001024"
"30","46","8","0","99001024","91002"
"1","47","15","1002","99001025","11001025"
"30","48","8","0","99001025","91002"
"1","49","15","1003","99001026","11001026"
"30","50","8","0","99001026","91002"
"1","51","15","1001","99001027","11001027"
"30","52","8","0","99001027","91002"
"1","53","15","1001","99001028","11001028"
"30","54","8","0","99001028","91002"
"1","55","15","1002","99001029","11001029"
"30","56","8","0","99001029","91002"
"1","57","15","1003","99001030","11001030"
"30","58","8","0","99001030","91002"
"1","59","15","1001","99001031","11001031"
"30","60","8","0","99001031","91002"
"1","61","15","1001","99001032","11001032"
"30","62","8","0","99001032","91002"
"1","63","15","1002","99001033","11001033"
"30","64","8","0","99001033","91002"
"1","65","15","1003","99001034","11001034"
"30","66","8","0","99001034","91002"
"0","75","15","1001","99001039","11001039"
"0","76","15","1002","99001040","11001040"
"0","77","15","1003","99001041","11001041"
"1","78","15","1001","99001042","11001042"
"30","79","8","0","99001042","91002"
"1","80","15","1001","99001043","11001043"
"30","81","8","0","99001043","91002"
"1","82","15","1002","99001044","11001044"
"30","83","8","0","99001044","91002"
"1","84","15","1003","99001045","11001045"
"30","85","8","0","99001045","91002"
"1","86","15","1001","99001046","11001046"
"1","87","15","1001","99001046","11001050"
"30","88","8","0","99001046","91002"
"1","89","15","1001","99001047","11001047"
"30","90","8","0","99001047","91002"
"1","91","15","1002","99001048","11001048"
"30","92","8","0","99001048","91002"
"1","93","15","1003","99001049","11001049"
"30","94","8","0","99001049","91002"
"1","95","15","1001","99001051","11001051"
"30","96","8","0","99001051","91002"
"1","97","15","1001","99001052","11001052"
"30","98","8","0","99001052","91002"
"1","99","15","1002","99001053","11001053"
"30","100","8","0","99001053","91002"
"1","101","15","1003","99001054","11001054"
"30","102","8","0","99001054","91002"
"1","103","15","1001","99001055","11001055"
"30","104","8","0","99001055","91002"
"1","105","15","1001","99001056","11001056"
"30","106","8","0","99001056","91002"
"1","107","15","1002","99001057","11001057"
"30","108","8","0","99001057","91002"
"1","109","15","1003","99001058","11001058"
"30","110","8","0","99001058","91002"
"1","111","15","1001","99001059","11001059"
"30","112","8","0","99001059","91002"
"1","113","15","1001","99001060","11001060"
"30","114","8","0","99001060","91002"
"1","115","15","1002","99001061","11001061"
"30","116","8","0","99001061","91002"
"1","117","15","1003","99001062","11001062"
"30","118","8","0","99001062","91002"
"1","119","15","1001","99001063","11001063"
"30","120","8","0","99001063","91002"
"1","121","15","1001","99001064","11001064"
"30","122","8","0","99001064","91002"
"1","123","15","1002","99001065","11001065"
"30","124","8","0","99001065","91002"
"1","125","15","1003","99001066","11001066"
"30","126","8","0","99001066","91002"
"1","127","15","1001","99001067","11001067"
"30","128","8","0","99001067","91002"
"1","129","15","1001","99001068","11001068"
"30","130","8","0","99001068","91002"
"1","131","15","1002","99001069","11001069"
"30","132","8","0","99001069","91002"
"1","133","15","1003","99001070","11001070"
"30","134","8","0","99001070","91002"
"0","135","15","1001","99001071","11001071"
"0","136","15","1002","99001072","11001072"
"0","137","15","1003","99001073","11001073"
"1","138","15","1001","99001074","11001074"
"30","139","8","0","99001074","91002"
"1","140","15","1001","99001075","11001075"
"30","141","8","0","99001075","91002"
"1","142","15","1002","99001076","11001076"
"30","143","8","0","99001076","91002"
"1","144","15","1003","99001077","11001077"
"30","145","8","0","99001077","91002"
"1","146","15","1001","99001078","11001078"
"30","147","8","0","99001078","91002"
"1","148","15","1001","99001079","11001079"
"30","149","8","0","99001079","91002"
"1","150","15","1002","99001080","11001080"
"30","151","8","0","99001080","91002"
"1","152","15","1003","99001081","11001081"
"30","153","8","0","99001081","91002"
"1","154","15","1001","99001082","11001082"
"30","155","8","0","99001082","91002"
