fab572554b05c4196dcebcb6f97fe7aed3c7da4e9ef85fd78b6fdacbfde3d3f0,64d97e02d57cd2f69889ad0fab14638d85234cc479038b9067f9e2a68d039815,0dcc416200c7a494124b5ec3c473e7693abed2862b552e1967adcc269d5e24d6,77077cbf3bc48fecb2a4a34200ee630025acf30df390004f324e32edca2e3b42,5cba4d98ca5d17350eed38343ddb23f933543bc819cc39bdd0fef2635c607984,84a7860d01ba3851dd35bd598f2b9909a3c13d07a47a96c8b5181d7f9f382774,a0ef59b80cea7680a3bd493bc8d35571b551ae50982fac9bbebdc27a6472784d,dccacd1eb2d55a35930ef101c565290a4ef7f4e2616f021314678b420ae8a05d,a8fdf5b7caefbb30e6da6b61f1faa51c3a1f3cd2100369c7cb1d4848e7f1c94c,75aac721adb2b32394ee68554bd7bcf9eff22294ed3911928a978fa986fc85e0,e4ce0872d6ff09a3415656fac0f72e180af8a4082d2eda50af6af7f1edc1d5c4
"5","102611","ttk_idle_def","1","100","-120","1","1","850","1010001","1"
"31","2","","2","0","1","","1","0","1010002","1"
"31","1","","1","-120","1","","1","-80","1010003","1"
"93","","","1","","","","","","1010004","1"
"21","vo_minigame_1005_top_000","","vo_minigame_1005","0","","","","0","1010005","1"
"3","ttk_doya","","102611","ttk_idle_doya","1","0.3","0.3","0","1010006","1"
"11","任された仕事は\nきちんとやるよ","","102611","","","0","0","8","1010007","1"
"91","","","0","","","","","","1010008","1"
"5","102611","ttk_idle_def","1","100","-120","1","1","850","1020001","2"
"31","2","","2","0","1","","1","0","1020002","2"
"31","1","","1","-120","1","","1","-80","1020003","2"
"93","","","1","","","","","","1020004","2"
"21","vo_minigame_1005_top_001","","vo_minigame_1005","0","","","","0","1020005","2"
"3","ttk_idle_smile","","102611","ttk_idle_def","1","0.3","0.3","0","1020006","2"
"11","あたしの前に\n現れたこと\n後悔させてあげる","","102611","","","0","0","8","1020007","2"
"91","","","0","","","","","","1020008","2"
"5","102611","ttk_idle_def","1","100","-120","1","1","850","1030001","3"
"31","2","","2","0","1","","1","0","1030002","3"
"31","1","","1","-120","1","","1","-80","1030003","3"
"93","","","1","","","","","","1030004","3"
"21","vo_minigame_1005_top_002","","vo_minigame_1005","0","","","","0","1030005","3"
"3","ttk_joy","","102611","ttk_idle_joy","1","0.3","0.1","0","1030006","3"
"11","コツをつかめば\n結構楽しいかも\nいや、労働は労働か…","","102611","","","0","0","8","1030007","3"
"93","","","2.2","","","","","","1030008","3"
"3","ttk_talk_sad","","102611","","","0.3","0.3","1","1030009","3"
"93","","","3","","","","","","1030010","3"
"3","ttk_idle_def","","102611","","","0.3","0.3","1","1030011","3"
"91","","","0","","","","","","1030012","3"
"5","102611","ttk_idle_def","1","100","-120","1","1","850","1040001","4"
"31","2","","2","0","1","","1","0","1040002","4"
"31","1","","1","-120","1","","1","-80","1040003","4"
"93","","","1","","","","","","1040004","4"
"21","vo_minigame_1005_top_003","","vo_minigame_1005","0","","","","0","1040005","4"
"3","ttk_shock","","102611","ttk_idle_shock","1","0.3","0.3","0","1040006","4"
"11","ねずみのことなんか\n知りたくないよ\nはぁ…めんどくさい","","102611","","","0","0","8","1040007","4"
"93","","","5","","","","","","1040008","4"
"3","ttk_idle_def","","102611","","","0.3","0.3","1","1040009","4"
"93","","","0.7","","","","","","1040010","4"
"5","102611","ttk_idle_def","1","100","-120","1","1","850","1050001","5"
"31","2","","2","0","1","","1","0","1050002","5"
"31","1","","1","-120","1","","1","-80","1050003","5"
"93","","","1","","","","","","1050004","5"
"21","vo_minigame_1005_top_004","","vo_minigame_1005","0","","","","0","1050005","5"
"3","ttk_surprise","","102611","","","0.3","0.3","0","1050006","5"
"11","うわっ！？\nこっちこないでよ！\nはぁ…チマチマ\n追い払うのは大変だ…","","102611","","","0","0","8","1050007","5"
"93","","","0.9","","","","","","1050008","5"
"3","ttk_talk_anger","","102611","","","0.3","0.3","1","1050009","5"
"93","","","0.8","","","","","","1050010","5"
"3","ttk_sad","","102611","ttk_talk_sad","1","0.3","0.3","0","1050011","5"
"93","","","5","","","","","","1050012","5"
"3","ttk_idle_def","","102611","","","0.3","0.3","1","1050013","5"
"91","","","0","","","","","","1050014","5"
"5","102611","ttk_idle_def","1","100","-120","1","1","850","1060001","6"
"31","2","","2","0","1","","1","0","1060002","6"
"31","1","","1","-120","1","","1","-80","1060003","6"
"93","","","1","","","","","","1060004","6"
"21","vo_minigame_1005_top_005","","vo_minigame_1005","0","","","","0","1060005","6"
"3","ttk_idle_worry","","102611","","","0.3","0.3","1","1060006","6"
"11","こんなことに\n慣れたくないよ…\nでも牧場のためには\nやるしかないか","","102611","","","0","0","8","1060007","6"
"93","","","7","","","","","","1060008","6"
"3","ttk_amz","","102611","ttk_idle_def","1","0.3","0.3","0","1060009","6"
"91","","","0","","","","","","1060010","6"
