f6564313056f8d98aad652baa30cb677c3813d6e2c21c5f6c08d29caf19f2818,abd2d4a35a256cb0d74df4a3a016f502ce1811b9bb4e1822f076c75feeab12d8,7932101f71e0c9b5a90a4e948f24949ba1909dfecb0dad1e4736371b0cea3476,9c02e45f512dfd63d90fd54ad00d7061f6b03c31f2a800ca64205fbed8fb0458
"22","53001","1","1"
"21","99007","2","500"
"21","99008","3","1"
"21","99007","4","800"
"21","99007","5","2000"
"21","99007","6","1000"
"22","53001","7","2"
"21","99008","8","2"
"21","99008","9","3"
"22","53002","10","1"
"22","53001","11","3"
"22","53002","12","3"
