d98df469d77a2ae4bb295f13e2579dbbc4a51a691788bf39ba6e5455883d22a7,bd9c8acf152193e7b8a27a15ed499c350a7324d53188d31975b84264b100592e,dcfbb93211a888f100d2549be64640efaa88ac03a10cfdad7f4f7b304e4ba0af,17c327117043b4df26a8bd7c8aff48fb518274a3351e44fcfe5459d71401cb55,3898e90078ce8037b09dced558691f4b891ca76ee032c916eae3a6b5c2f26380,4d8c8ff92d2ba4271d3f839ae77cc01e322b9b4c7703d9ae00bef9c2b39667a9,c9084b9459f5e23c60154603232cad1647e7ec4749d7a1cb008916eb8ae48ec4,ce8676148d31d309870baa096a4a1121f16b9ea0b0731a7a0f574c6db6b1bc17,3982931f659928e652dc036a2622bb7b1a5d258c2efc2513bbe39e0980879b2b,8399f2fb0fa6e0cfb87e2e5af5381387753f82df35fff1d77ae705d502498722,c8a2bbe30ec718bcef570c1e0c7cf454b4754e95e31a921b7906e8ae638e7fb3,ba54e9ec150fe85580cc1a20c46b4c21bd5fbad56c8f1fc2eb23cbc7665dba10,118938e947957b3367868d6689117d54d5adc59d785c99c0aef48fbbe8a48d2d,eb2a1c857f6d1931b791ef692a2add07bb7f947d5c3ef211f4d456e17f7e6cf4,2fbb9bc14c84ac44a688ca28b6326b307a92449641e03ef04d99578f835f6d21,36ed123888bf7291ca3653c783d6eb8791111b8b0e4920170c18c669013a7103,a0d76e6f37ec5255d11a2a57ef0be3183b576fcfdd510bdcd85bc1ad2b460c11,c883bee899b2874a950ee6c56fe5f4258d68cdcc25306aef983c1cb9df7f466b,5e2ade782bf6d1bff8975be48f9cc72eca97d7e3de0608a96c15938652a5ba54,2c71f015b95d56704298aac20c7b927a5183f4a294747cc30fe7f442e6cfd956,7e47a94b8ff739eae73b06ce627b5bdfd330f6468c693ad147a4addd8b25c476
"1","1","2.4","1","敵単体に{0}の物理ダメージ","1","0","0","0","0","-1","30","1","0","単体物理ダメージ+{0}","0","3","0","30","100100101","1"
"99","1","500","1","","1","0","0","0","0","-1","50","3","0","","0","3","0","0","100100102","3"
"99","1","1.08","2","範囲内の敵に{0}の物理ダメージ","1","0","0","0","0","400","13.5","1","0","範囲物理ダメージ+{0}","0","3","0","13.5","100100103","1"
"1","1","1.6","1","敵単体に{0}の物理ダメージ","1","0","0","0","0","-1","20","1","0","物理ダメージ+{0}","0","3","0","20","100100201","1"
"1","1","0.6","1","敵単体に{0}の物理ダメージ","1","0","0","0","0","0","8","1","0","物理ダメージ+{0}","0","1","0","8","100100301","1"
"1","2","11","1","自分の物理攻撃力を{0}アップ","1","1","0","12","0","0","1","10","1","物理攻撃力アップ+{0}","0","7","0","11","100100302","10"
"1","1","4.8","1","敵単体に{0}の物理ダメージ","1","0","0","0","0","-1","60","1","0","単体物理ダメージ+{0}","0","3","0","60","100101101","1"
"99","1","3.6","2","範囲内の敵に{0}の物理ダメージ","1","0","0","0","0","600","45","1","0","範囲物理ダメージ+{0}","0","3","0","45","100101102","1"
"1","1","1.6","1","敵単体に{0}の物理ダメージ","1","0","0","0","0","-1","20","1","0","単体物理ダメージ+{0}","0","3","0","20","100101201","1"
"99","1","0.72","2","範囲内の敵に{0}の物理ダメージ","1","0","0","0","0","400","9","1","0","範囲物理ダメージ+{0}","0","3","0","9","100101202","1"
"0","0","15","0","自分の物理攻撃力を{0}アップ","1","0","0","1","0","0","1","2","0","物理攻撃力アップ+{0}","0","0","0","15","100150101","90"
"0","0","15","0","自分の物理攻撃力を{0}アップ","1","0","0","1","0","0","1","2","0","物理攻撃力アップ+{0}","0","0","0","240","100151101","90"
