64a2283171ed3d1763d52bf44fa6254bc510eeeb4f63e0c5f66dda9eb0b88e8d,22431302a5db62e90cc3d33db81fadebc4b795e349b0d74f43d86f75624f8525,b476b597dd39ea300acf819b71ccc9ae72e2fba575512803f2dd622b0ee86075,5e46018092c7bab7b2c603656e53f95052d813d2151263ffe8b58eaf4976f0a8
"1","ＨＰ","1","10000"
"2","物理攻撃力","1","10000"
"3","物理防御力","1","10000"
"4","魔法攻撃力","1","10000"
"5","魔法防御力","1","10000"
"6","物理クリティカル","1","10000"
"7","魔法クリティカル","1","10000"
"8","回避","0","1"
"9","ＨＰ吸収","0","1"
"10","ＨＰ自動回復","0","1"
"11","ＴＰ自動回復","0","1"
"12","物理貫通ダメージ","0","1"
"13","魔法貫通ダメージ","0","1"
"14","ＴＰ上昇","0","1"
"15","回復量上昇","0","1"
"16","ＴＰ消費軽減","0","1"
"17","命中","0","1"
"100","物理クリティカルダメージ","1","100"
"101","魔法クリティカルダメージ","1","100"
"102","物理与ダメージ","1","100"
"103","魔法与ダメージ","1","100"
"104","属性ボーナス","1","10000"
