af7c95f119ff3b2eb425bb7762d5fdea7dedee046b1b33fecfa5bc5c6ab640da,470c6615a5f94f0f4cb64d60c2ab38fcaa1271f73d0c30be631a451e7c06aa4d,6716432583611c45ea47137c64823e6c1d527d525bf538ab6eb0db9ce35e8bf3
"1","0","1"
"1","1","1"
"1","2","1"
"1","5","1"
"1","0","2"
"1","1","2"
"1","2","2"
"1","5","2"
"1","0","3"
"1","1","3"
"1","2","3"
"1","5","3"
"1","0","4"
"1","1","4"
"1","2","4"
"1","5","4"
"1","0","5"
"1","1","5"
"1","2","5"
"1","5","5"
"1","0","6"
"1","1","6"
"1","2","6"
"1","5","6"
"1","0","7"
"1","1","7"
"1","2","7"
"1","5","7"
"1","0","8"
"1","1","8"
"1","2","8"
"1","5","8"
"1","0","9"
"1","1","9"
"1","2","9"
"1","5","9"
"1","0","10"
"1","1","10"
"1","2","10"
"1","5","10"
"1","0","11"
"1","1","11"
"1","2","11"
"1","5","11"
