b3ff81f9938ed116d77d8b022a3882f81ce9634507be68992355d023e3edcdd0,14776f98f38de99926705ba290fcd02c7d04b786b13bd29a950fce9ec6ad8ba8,dbb2a93d74df96da36a0731adab0406dc951fcabe21fd3758995603cef110ad8,51bf4c1411bace320a6cc6057162767489b09827a9c176ae5af9fe21612df202,9fd837045c8482ee5248d334088865e1426da3a25fb8919c7e1ffabcdeb8e7d6,2426e6be5a08e6ee609ceedc6299a8519a076bac976b983043ffde9dc068559a,3088528144e3aeb2ea55391454afded272ab93c6e4223e6630f8602d780b9f8f,867def26196981e5e5778cb97812ea0b68922eec98425e7ce3c82e369bbd2939
"3","2","104","200","4","5","1","111"
"3","2","14","2","4","5","1","211"
"3","2","103","2","4","5","1","311"
"3","2","102","2","4","5","1","411"
"3","2","104","200","4","5","1","511"
"3","2","1","250","4","5","1","611"
"3","2","101","3","4","5","1","711"
"3","2","100","3","4","5","1","811"
"3","2","104","200","4","5","1","911"
"3","2","1","250","4","5","1","1011"
"3","2","3","250","4","5","1","1111"
"3","2","5","250","4","5","1","1112"
"3","2","6","150","4","5","1","1211"
"3","2","7","150","4","5","1","1212"
"3","2","104","200","4","5","1","1311"
"3","2","103","2","4","5","1","1411"
"3","2","102","2","4","5","1","1511"
"3","2","1","250","4","5","1","1611"
"3","2","104","200","4","5","1","1711"
"3","2","2","500","4","5","1","1811"
"3","2","4","500","4","5","1","1812"
"3","2","101","3","4","5","1","1911"
"3","2","100","3","4","5","1","2011"
"3","2","104","200","4","5","1","2111"
"3","2","1","250","4","5","1","2211"
"3","2","100","3","4","5","1","2311"
"3","2","101","3","4","5","1","2411"
"3","2","104","200","4","5","1","2511"
"3","2","2","500","4","5","1","2611"
"3","2","4","500","4","5","1","2612"
"3","2","6","150","4","5","1","2711"
"3","2","7","150","4","5","1","2712"
"3","2","2","500","4","5","1","2811"
"3","2","4","500","4","5","1","2812"
"3","2","104","200","4","5","1","2911"
"3","2","3","250","4","5","1","3011"
"3","2","5","250","4","5","1","3012"
"3","2","100","3","4","5","1","3111"
"3","2","101","3","4","5","1","3211"
"3","2","104","200","4","5","1","3311"
"3","2","100","2","4","5","1","3411"
"3","2","104","200","4","5","1","3511"
"3","2","103","1","4","5","1","3611"
"3","2","102","1","4","5","1","3711"
"3","2","2","250","4","5","1","3811"
"3","2","4","250","4","5","1","3812"
"3","2","102","1","4","5","1","3911"
"3","2","104","200","4","5","1","4011"
"3","2","100","2","4","5","1","4111"
"3","2","6","150","4","5","1","4211"
"3","2","7","150","4","5","1","4212"
"3","2","104","200","4","5","1","4311"
"3","2","103","1","4","5","1","4411"
"3","2","104","200","4","5","1","4511"
"3","2","101","2","4","5","1","4611"
"3","2","102","1","4","5","1","4711"
"3","2","104","200","4","5","1","4811"
"3","2","103","1","4","5","1","4911"
"3","2","104","200","4","5","1","5011"
"3","2","101","2","4","5","1","5111"
"3","2","102","1","4","5","1","5211"
"3","2","104","200","4","5","1","5311"
"3","2","6","150","4","5","1","5411"
"3","2","7","150","4","5","1","5412"
"3","2","103","1","4","5","1","5511"
"3","2","104","200","4","5","1","5611"
"3","2","100","2","4","5","1","5711"
"3","2","101","2","4","5","1","5811"
"3","2","103","1","4","5","1","5911"
"3","2","104","200","4","5","1","6011"
"3","2","102","1","4","5","1","6111"
"3","2","2","250","4","5","1","6211"
"3","2","4","250","4","5","1","6212"
"3","2","104","200","4","5","1","6311"
"3","2","103","1","4","5","1","6411"
"3","2","102","1","4","5","1","6511"
"3","2","104","200","4","5","1","6611"
"3","2","6","150","4","5","1","6711"
"3","2","7","150","4","5","1","6712"
"3","2","102","1","4","5","1","6811"
"3","2","104","200","4","5","1","6911"
"3","2","103","1","4","5","1","7011"
"3","2","101","2","4","5","1","7111"
"3","2","100","2","4","5","1","7211"
"3","2","104","200","4","5","1","7311"
"3","2","103","1","4","5","1","7411"
"3","2","102","1","4","5","1","7511"
"3","2","2","250","4","5","1","7611"
"3","2","4","250","4","5","1","7612"
"3","2","104","200","4","5","1","7711"
"3","2","101","2","4","5","1","7811"
"3","2","100","2","4","5","1","7911"
"3","2","104","200","4","5","1","8011"
"3","2","6","150","4","5","1","8111"
"3","2","7","150","4","5","1","8112"
"3","2","101","2","4","5","1","8211"
"3","2","2","250","4","5","1","8311"
"3","2","4","250","4","5","1","8312"
"3","2","103","1","4","5","1","8411"
"3","2","104","200","4","5","1","8511"
"3","2","100","2","4","5","1","8611"
"3","2","102","1","4","5","1","8711"
"3","2","103","1","4","5","1","8811"
"3","2","104","200","4","5","1","8911"
"3","2","102","1","4","5","1","9011"
"3","2","104","200","4","5","1","9111"
"3","2","2","250","4","5","1","9211"
"3","2","4","250","4","5","1","9212"
"3","2","104","200","4","5","1","9311"
"3","2","102","1","4","5","1","9411"
"3","2","103","1","4","5","1","9511"
"3","2","104","200","4","5","1","9611"
