6f3cc17cf6802c666e2c5863f2de007aac3f80208f6c5f405d6abfbfa833e09a,a92a1968f275ca3305a919b1df7b9ecd3d9bff6dcde2d86c4a39fe1df2cfee89,e84a18b081e70bb1ad49837fd6c9fb854a685cbfb02acb6eefab87fa74d02427,39e82d044c709fe5a749307d9417df5025739f5dfa63bca77f68b204bc5f9306,30c4b8db051f111d90b472db3ce68b1c2e498680286a6e4abe5556c810da6288,d72c0ac5df112f31eed8a0c4735e04db69bcb5baccee299704fc0da41201cc45,85b72f647858a9bed9f4c607759132154b8897e61a1bcef538fc5cc4c27ededa,0a8e8532f9cb2d2b5a6bf46862825d3c715e8365c1beb54b780aa104f643a97d,a9498f7b4186ce9c13d510e2d24538cd2321b89a408ed13fe9d13843c13d5758,edc0aa9a354ac803477b936b5d80fe90af26eb679b842d2faf4ea720d6f04eee,d30762d6cce25b354d5c584669a27a798fd4609a6add8bde302fbbce36dc53c2
"25012","2","91002","25021","2","10","282001001","31","8","8","1"
"25012","2","91002","25021","2","10","282001002","31","8","8","2"
"25012","2","91002","25021","2","10","282001003","32","8","8","3"
"25012","2","91002","25021","2","10","282001004","32","8","8","4"
"25012","2","91002","25021","2","10","282001005","33","8","8","5"
"25012","2","91002","25021","2","10","282001006","33","9","8","6"
"25012","2","91002","25021","2","10","282001007","34","9","8","7"
"25012","2","91002","25021","2","10","282001008","35","9","8","8"
"25012","2","91002","25021","2","10","282001009","35","9","8","9"
"25012","2","91002","25021","2","30","282001010","37","10","8","10"
"25012","2","91002","25021","2","10","282001011","41","10","8","11"
"25012","2","91002","25021","2","10","282001012","43","11","8","12"
"25012","2","91002","25021","2","10","282001013","46","11","8","13"
"25012","2","91002","25021","2","10","282001014","48","12","8","14"
"25012","2","91002","25021","2","10","282001015","50","12","8","15"
"25012","2","91002","25021","2","10","282001016","53","13","8","16"
"25012","2","91002","25021","2","10","282001017","55","14","8","17"
"25012","2","91002","25021","2","10","282001018","58","14","8","18"
"25012","2","91002","25021","2","10","282001019","60","15","8","19"
"25012","2","91002","25021","2","30","282001020","62","15","8","20"
"25012","2","91002","25021","2","10","282001021","68","16","8","21"
"25012","2","91002","25021","2","10","282001022","70","16","8","22"
"25012","2","91002","25021","2","10","282001023","72","16","8","23"
"25012","2","91002","25021","2","10","282001024","75","17","8","24"
"25012","2","91002","25021","2","10","282001025","77","18","8","25"
"25012","2","91002","25021","2","10","282001026","79","18","8","26"
"25012","2","91002","25021","2","10","282001027","82","19","8","27"
"25012","2","91002","25021","2","10","282001028","84","19","8","28"
"25012","2","91002","25021","2","10","282001029","86","19","8","29"
"25012","2","91002","25021","2","30","282001030","89","20","8","30"
"25012","2","91002","25021","2","10","282001031","94","20","8","31"
"25012","2","91002","25021","2","10","282001032","96","21","8","32"
"25012","2","91002","25021","2","10","282001033","99","21","8","33"
"25012","2","91002","25021","2","10","282001034","101","22","8","34"
"25012","2","91002","25021","2","10","282001035","103","22","8","35"
"25012","2","91002","25021","2","10","282001036","106","23","8","36"
"25012","2","91002","25021","2","10","282001037","108","23","8","37"
"25012","2","91002","25021","2","10","282001038","111","24","8","38"
"25012","2","91002","25021","2","10","282001039","113","25","8","39"
"25012","2","91002","25021","2","30","282001040","115","25","8","40"
"25012","2","91002","25021","2","10","282001041","121","26","8","41"
"25012","2","91002","25021","2","10","282001042","123","27","8","42"
"25012","2","91002","25021","2","10","282001043","125","28","8","43"
"25012","2","91002","25021","2","10","282001044","128","28","8","44"
"25012","2","91002","25021","2","10","282001045","130","29","8","45"
"25012","2","91002","25021","2","10","282001046","132","30","8","46"
"25012","2","91002","25021","2","10","282001047","135","30","8","47"
"25012","2","91002","25021","2","10","282001048","137","31","8","48"
"25012","2","91002","25021","2","10","282001049","139","31","8","49"
"25012","2","91002","25021","2","30","282001050","142","31","8","50"
"25012","2","91002","25021","2","10","282001051","144","32","8","51"
"25012","2","91002","25021","2","10","282001052","146","32","8","52"
"25012","2","91002","25021","2","10","282001053","149","32","8","53"
"25012","2","91002","25021","2","10","282001054","152","33","8","54"
"25012","2","91002","25021","2","10","282001055","155","33","8","55"
"25012","2","91002","25021","2","10","282001056","157","33","8","56"
"25012","2","91002","25021","2","10","282001057","160","34","8","57"
"25012","2","91002","25021","2","10","282001058","163","34","8","58"
"25012","2","91002","25021","2","10","282001059","166","34","8","59"
"25012","2","91002","25021","2","30","282001060","169","35","8","60"
"25012","2","91002","25021","2","10","282001061","171","35","8","61"
"25012","2","91002","25021","2","10","282001062","174","35","8","62"
"25012","2","91002","25021","2","10","282001063","177","36","8","63"
"25012","2","91002","25021","2","10","282001064","180","36","8","64"
"25012","2","91002","25021","2","10","282001065","182","36","8","65"
"25012","2","91002","25021","2","10","282001066","185","37","8","66"
"25012","2","91002","25021","2","10","282001067","187","37","8","67"
"25012","2","91002","25021","2","10","282001068","190","37","8","68"
"25012","2","91002","25021","2","10","282001069","193","38","8","69"
"25012","2","91002","25021","2","30","282001070","196","38","8","70"
