6e689289ada2c437f303261d68a61cc39d10afbc0fab8113393011b429f0074e,f11e1375d8c4ed11291de55383451199299acb316996e91e2b9716d37bcbd4ba,4eb5a1fa20e32bac6f652b4e2cecf9f4794965c20f286c63561b9e9b6f1a5170,13af456d7c13f6c2a092c32947bd9969e410b24b63e4a70529455ef385c9fc0c,db402c32a0d723c58f7b32632d8e869c0b4a60cb1adc32e215a0083127deb634,762a475142c1d5c09837ba28c7a7ac376108f3b273c102d5ee48bcbdd7a5f9d7,3965460428fab3396d8e0cdcdcd52760eedbd18cbd2a72c09952ea1a870da045,47349d2ab624d4504836becdee8f39d1e203b626ab4e40fc8786f0dc4ffe4a3e,e96dd6c9ede39f2fa13d9e44a13e1ff1a6c2d6d0dfcae756aebe419da0546837,7124e9ef4af8cb77385bc7b3a3a0ec866b52549ca9b842e707474bdeb25960f7,9b7c5ea51388b88bf265d78e9b307062e37eeab5c40b62ff955f3885c49de14a,fb96903a0a1cc9ac4aace63704c0344fa1b589780ac554b7a388c272896148aa
"0","0","0","0","0","0","1","0","0","0","0","0"
"1","3","800","0","0","2","11002","0","0","0","0","1"
"1","1","500","0","0","1","12001","0","0","0","0","1"
"1","1","700","0","0","1","12002","0","0","0","0","1"
"1","1","600","0","0","2","13001","0","0","0","0","1"
"1","1","700","0","0","2","13002","0","0","0","0","1"
"1","1","600","0","0","2","14002","0","0","0","0","1"
"1","3","900","0","0","2","21001","0","0","0","0","2"
"2","0","0","0","0","0","22001","0","0","0","0","8000"
"3","99","1","1","0","1","23001","0","0","0","0","5"
"3","99","1","1","0","1","23002","0","0","0","0","7"
"5","0","3","1","0","4","25001","0","0","0","0","0"
"5","0","0","0","0","1","25002","0","1","0","0","0"
"5","0","3","1","0","4","25003","0","0","0","0","1"
"5","0","0","0","0","1","25004","0","1","0","0","1"
"6","0","37","0","0","0","26001","0","40","0","0","76"
"7","0","1","0","0","0","27001","0","1","0","0","2"
"7","0","1","0","0","0","27002","0","1","0","0","3"
"8","0","0","0","0","0","28001","0","0","0","0","0"
