2fc77dfeabed6f6ed0a7748394e71fb0977f7a028b94bd1ebf864dcb361ef546,1ad1b6846e9961057a32d99bae36de10b65401cad57405a3e74afdbcfd13fad1,8bbf6839b9cb8d7d42c7fcd5ff9f0352d04c854b25179390dbbf7aadb1bd5d48,7f7ce6f4b3251f35259bf84aa5d3fccab44ff5ef08e449a0eaef4cf355e62fff,8da649a38b15136af6e1e108b04b4b072863ee76c6dc4275f4caf58dfac1485d,06d351b18ca4b56ee9498a2ceea2e859e0c8d07eacf79b183bc8e6f363085bdd,ca21d551ade0c7386fdb8ca4fea0999aa16164d0421be4d737c8731f7a316180,d198d2d88048351dada78384dda1eec8312c0c7fe4e024c144563f84bd50df4a,623d60257864e61ba3965c840359ffb6d0dbcdd80b439365181951ddc5749705,379613f71209ce2c2d48ff9db1dcf3c3f3a4fbd2324a194870455e5392a3c774,48472969af6fc39780d6ee4f4c2dd176770e0cfa7df3c2bd0cc92f3c7d4d2eb1
"1.3","100","0","1","1","1","130011","1001","0","bsm_idle_yamato","0"
"0.2","0","1","1","130011","3","bsm_drama_arm_crossed","1002","bsm_drama_arm_crossed_loop","","0"
"","0","","1","vo_minigame_1014","21","vo_minigame_1014_top_1000","1003","0","",""
"0","5","0","1","130011","11","弱肉強食、上等だよ\n正面から勝てない時は\n裏をかくことも考えな","1004","1","1","0"
"","","","1","0","91","","1005","","",""
"0.3","1","","1","130011","3","bsm_idle_yamato","1006","","",""
"1.3","100","0","2","1","1","130011","2001","0","bsm_idle_yamato","0"
"0.2","1","","2","130011","3","bsm_drama_thinking","2002","","",""
"","0","","2","vo_minigame_1014","21","vo_minigame_1014_top_1001","2003","0","",""
"0","6","0","2","130011","11","いつかはワカナにも\n教えてやるか\n敵に勝って味わう\nヤシオーリの味をね","2004","1","1","0"
"","","","2","0","91","","2005","","",""
"0.3","1","","2","130011","3","bsm_idle_yamato","2006","","",""
"1.3","100","0","3","1","1","130011","3001","0","bsm_idle_yamato","0"
"0.2","0","1","3","130011","3","bsm_drama_doya","3002","bsm_drama_doya_loop","","0"
"","0","","3","vo_minigame_1014","21","vo_minigame_1014_top_1002","3003","0","",""
"0","7","0","3","130011","11","メカニックとしちゃ、\nフブキの腕は神業さ…\n妹でよかったよ、\nホントにさ","3004","1","1","0"
"","","","3","0","91","","3005","","",""
"0.3","1","","3","130011","3","bsm_idle_yamato","3006","","",""
"1.3","100","0","4","1","1","130111","4001","0","bsm_idle_wakana","0"
"0.2","0","1","4","130111","3","bsm_drama_guts","4002","bsm_drama_guts_loop","","0"
"","0","","4","vo_minigame_1014","21","vo_minigame_1014_top_2000","4003","0","",""
"0","8","0","4","130111","11","参加者のみなさんには\nごめんなさいですが…\nローン返済のためにも\n勝たせてもらいます！","4004","1","1","0"
"","","","4","0","91","","4005","","",""
"0.3","1","","4","130111","3","bsm_idle_wakana","4006","","",""
"1.3","100","0","5","1","1","130111","5001","0","bsm_idle_wakana","0"
"0.2","1","","5","130111","3","bsm_drama_wish","5002","","",""
"","0","","5","vo_minigame_1014","21","vo_minigame_1014_top_2001","5003","0","",""
"0","8","0","5","130111","11","こう言ったら\nなんですけど…\n姉さんが楽しそうで、\nわたしもうれしいです","5004","1","1","0"
"","","","5","0","91","","5005","","",""
"0.3","1","","5","130111","3","bsm_idle_wakana","5006","","",""
"1.3","100","0","6","1","1","130111","6001","0","bsm_idle_wakana","0"
"0.2","1","","6","130111","3","bsm_drama_pazzled","6002","","",""
"","0","","6","vo_minigame_1014","21","vo_minigame_1014_top_2002","6003","0","",""
"0","7","0","6","130111","11","フブキちゃんに\n野菜を食べてもらう\nにはどうしたら…\nも、もっと強引に…？","6004","1","1","0"
"","","","6","0","91","","6005","","",""
"0.3","1","","6","130111","3","bsm_idle_wakana","6006","","",""
"1.3","100","0","7","1","1","130211","7001","0","bsm_idle_fubuki","0"
"0.2","1","","7","130211","3","bsm_drama_smile","7002","","",""
"","0","","7","vo_minigame_1014","21","vo_minigame_1014_top_3000","7003","0","",""
"0","5","0","7","130211","11","対戦相手のお仕事は～\nぼくたちに賞金を\n運んでくるコト♪\nよろしくね～♡","7004","1","1","0"
"","","","7","0","91","","7005","","",""
"0.2","1","","7","130211","3","bsm_idle_fubuki","7006","","",""
"1.3","100","0","8","1","1","130211","8001","0","bsm_idle_fubuki","0"
"0.2","0","1","8","130211","3","bsm_drama_doya","8002","bsm_drama_doya_loop","",""
"","0","","8","vo_minigame_1014","21","vo_minigame_1014_top_3001","8003","0","",""
"0","7","0","8","130211","11","もうヤマ姉優勝で\n決まってっしー♪\n賞金全部もらっといて\nよくねー？","8004","1","1","0"
"","","","8","0","91","","8005","","",""
"0.2","1","","8","130211","3","bsm_idle_fubuki","8006","","",""
"1.3","100","0","9","1","1","130211","9001","0","bsm_idle_fubuki","0"
"0.2","0","1","9","130211","3","bsm_drama_laugh","9002","bsm_drama_laugh_loop","","0"
"","0","","9","vo_minigame_1014","21","vo_minigame_1014_top_3002","9003","0","",""
"0","7","0","9","130211","11","お兄さんを弾にして\n撃つ武器とか、ど～？\nきゃはは、よわそ～♡","9004","1","1","0"
"","","","9","0","91","","9005","","",""
"0.2","1","","9","130211","3","bsm_idle_fubuki","9006","","",""
