b9f9d1238c75c77c065da47eaa05e1205de0a67c0494807cc975aa668d1517f4,252dbc8a3a1b255f6d0f6f36bb188b49b65dc82dac050b55cafb1f30fee67ccd,37bb1b794daa1b6a6bcdba46cb9c3d9cbffe4e06bb7e5cbb0f3074fa038c1285,ae4d8c6433a64f36dd708e87fecbe83ba6b61307cc11129de4e00d24ee43ab6e,95b1569aec582d5b19e9257cfae12d80de0c8334f898c3b43f096ab6a1833e51,0edf81e26f109376dcb96001777a163eba0ed01cd81ae0f550bc901a0025d990
"2114001","1005","212","802100290","1","211"
"2114002","1006","212","802100290","1","211"
"2114003","1007","212","802100290","1","211"
"2114004","1008","212","802100290","1","211"
"2113061","100501","100","802100266","0","104"
"2113062","100502","100","802100266","0","104"
"2113063","100503","102","802100266","0","105"
"2113064","100504","103","802100266","0","106"
"2113065","100505","100","802100266","0","104"
"2113066","100506","100","802100266","0","104"
"2113067","100507","102","802100266","0","105"
"2113068","100508","103","802100266","0","106"
"2113069","100509","100","802100266","0","104"
"2113070","100510","100","802100266","0","104"
"2113071","100511","100","802100267","0","104"
"2113072","100512","100","802100267","0","104"
"2113073","100513","102","802100267","0","105"
"2113074","100514","103","802100267","0","106"
"2113075","100515","100","802100267","0","104"
"2113076","100516","100","802100267","0","104"
"2113077","100517","102","802100267","0","105"
"2113078","100518","103","802100267","0","106"
"2113079","100519","100","802100267","0","104"
"2113080","100520","100","802100267","0","104"
"2113081","100521","100","802100268","0","104"
"2113082","100522","100","802100268","0","104"
"2113083","100523","102","802100268","0","105"
"2113084","100524","103","802100268","0","106"
"2113085","100525","100","802100268","0","104"
"2113086","100526","112","802100268","1","208"
"2113087","100527","110","802100268","1","201"
"2113088","100528","100","802100268","0","104"
"2113089","100529","102","802100268","0","105"
"2113090","100530","103","802100268","0","106"
"2113031","100601","114","802100263","1","203"
"2113032","100602","113","802100263","1","202"
"2113033","100603","102","802100263","0","105"
"2113034","100604","103","802100263","0","106"
"2113035","100605","114","802100263","1","203"
"2113036","100606","113","802100263","1","202"
"2113037","100607","111","802100263","1","204"
"2113038","100608","113","802100263","1","202"
"2113039","100609","113","802100263","1","202"
"2113040","100610","103","802100263","0","106"
"2113041","100611","114","802100264","1","203"
"2113042","100612","113","802100264","1","202"
"2113043","100613","102","802100264","0","105"
"2113044","100614","103","802100264","0","106"
"2113045","100615","114","802100264","1","203"
"2113046","100616","113","802100264","1","202"
"2113047","100617","111","802100264","1","204"
"2113048","100618","113","802100264","1","202"
"2113049","100619","113","802100264","1","202"
"2113050","100620","103","802100264","0","106"
"2113051","100621","102","802100265","0","105"
"2113052","100622","114","802100265","1","203"
"2113053","100623","113","802100265","1","202"
"2113054","100624","111","802100265","1","204"
"2113055","100625","103","802100265","0","106"
"2113056","100626","112","802100265","1","208"
"2113057","100627","110","802100265","1","201"
"2113058","100628","114","802100265","1","203"
"2113059","100629","113","802100265","1","202"
"2113060","100630","103","802100265","0","106"
"2113091","100701","112","802100269","1","205"
"2113092","100702","112","802100269","1","206"
"2113093","100703","117","802100269","0","102"
"2113094","100704","102","802100269","0","105"
"2113095","100705","102","802100269","0","105"
"2113096","100706","113","802100269","1","202"
"2113097","100707","114","802100269","1","203"
"2113098","100708","117","802100269","0","102"
"2113099","100709","102","802100269","0","105"
"2113100","100710","113","802100269","1","202"
"2115001","100711","112","802100270","1","205"
"2115002","100712","117","802100270","0","102"
"2115003","100713","102","802100270","0","105"
"2115004","100714","103","802100270","0","106"
"2115005","100715","114","802100270","1","203"
"2115006","100716","113","802100270","1","202"
"2115007","100717","112","802100270","1","207"
"2115008","100718","102","802100270","0","105"
"2115009","100719","103","802100270","0","106"
"2115010","100720","113","802100270","1","202"
"2115011","100721","112","802100271","1","205"
"2115012","100722","112","802100271","1","208"
"2115013","100723","117","802100271","0","102"
"2115014","100724","102","802100271","0","105"
"2115015","100725","103","802100271","0","106"
"2115016","100726","112","802100271","1","208"
"2115017","100727","110","802100271","1","201"
"2115018","100728","117","802100271","0","102"
"2115019","100729","102","802100271","0","105"
"2115020","100730","103","802100271","0","106"
"2113001","100801","104","802100260","0","103"
"2113002","100802","100","802100260","0","104"
"2113003","100803","100","802100260","0","104"
"2113004","100804","102","802100260","0","105"
"2113005","100805","102","802100260","0","105"
"2113006","100806","100","802100260","0","104"
"2113007","100807","100","802100260","0","104"
"2113008","100808","102","802100260","0","105"
"2113009","100809","102","802100260","0","105"
"2113010","100810","101","802100260","0","107"
"2113011","100811","104","802100261","0","103"
"2113012","100812","100","802100261","0","104"
"2113013","100813","100","802100261","0","104"
"2113014","100814","102","802100261","0","105"
"2113015","100815","103","802100261","0","106"
"2113016","100816","100","802100261","0","104"
"2113017","100817","100","802100261","0","104"
"2113018","100818","102","802100261","0","105"
"2113019","100819","103","802100261","0","106"
"2113020","100820","100","802100261","0","104"
"2113021","100821","104","802100262","0","103"
"2113022","100822","100","802100262","0","104"
"2113023","100823","100","802100262","0","104"
"2113024","100824","102","802100262","0","105"
"2113025","100825","102","802100262","0","105"
"2113026","100826","112","802100262","1","208"
"2113027","100827","110","802100262","1","201"
"2113028","100828","102","802100262","0","105"
"2113029","100829","103","802100262","0","106"
"2113030","100830","104","802100262","0","103"
