bb9b32e806b1606c1cd8dd697b79afc70277605e1fcc40a8e090ec1281985d2e,fd4fa16d4750b866274b1a4e1112250703182e06d52883c9273f87ff69f07145,c74de2ab5da851144a04f8f723a981ca118662502421747021c228ce6ebbd560,31a0c39726c3703f7331c01c35cf31e4ba6eab26dfa0c68635ad1a39ec4163d7,a980b62e731704987f78c5e073d7eb85213cfe6f3630276eddac335f0c75667e,86576b7169cf795ff1361871cd2e37e0b634890ad8011b58d8b7bb459876bcea,43dbf21debbbe4375be0c8aa0cb82f4a62ad5c765f3d02bc1d5b7d0117bf408b,745d44d738dca2e640d45b95a8fdfa531c8d7478cce35abf34b188dd9f3c89e0,460f0fb0bed33fbfe662c63293864b8f433462f0edf93e9f73944081270302d9,77025dd5575221a3132dc9d048e4af770e8cef4fe6f70f773fd361f755358b47,23f4ae8618439a35bc53453a6eef67582e1a281852291b3f3a9c9ddc83f73c9d,7df9f8edadc6c6ceb46418b3526fde4a142909e7879af141f8bd7281957b9e53
"1","4","5154062","0","0","0.8","0","515406201","1","0","0","0"
"2","2","5154062","0","vo_abd","0","0","515406202","0","0","vo_abd_0101","0"
"3","1","5154062","1","0","0","2","515406203","0","0","0","300"
"4","4","5154062","0","0","2.1","0","515406204","1","0","0","0"
"5","2","5154062","0","vo_abd","0","0","515406205","0","0","vo_abd_0102","0"
"6","1","5154062","2","0","0","2.05","515406206","0","0","0","400"
"7","4","5154062","0","0","3.2","0","515406207","1","0","0","0"
"8","2","5154062","0","vo_abd","0","0","515406208","0","0","vo_abd_0103","0"
"9","1","5154062","3","0","0","1","515406209","0","0","0","60"
"10","4","5154062","0","0","1.4","0","515406210","1","0","0","0"
"11","1","5154062","3","0","0","2.5","515406211","0","60","0","430"
"12","4","5154062","0","0","3.3","0","515406212","1","0","0","0"
"13","2","5154062","0","vo_abd","0","0","515406213","0","0","vo_abd_0104","0"
"14","1","5154062","4","0","0","0.2","515406214","0","0","0","27"
"15","4","5154062","0","0","0.5","0","515406215","1","0","0","0"
"16","1","5154062","4","0","0","0.2","515406216","0","27","0","60"
"17","4","5154062","0","0","0.6","0","515406217","1","0","0","0"
"18","1","5154062","4","0","0","0.8","515406218","0","60","0","145"
"19","4","5154062","0","0","1.2","0","515406219","1","0","0","0"
"20","1","5154062","4","0","0","1.8","515406220","0","145","0","400"
"21","4","5154062","0","0","2.2","0","515406221","1","0","0","0"
"22","2","5154062","0","vo_abd","0","0","515406222","0","0","vo_abd_0105","0"
"23","1","5154062","5","0","0","0.6","515406223","0","0","0","95"
"24","4","5154062","0","0","1","0","515406224","1","0","0","0"
"25","1","5154062","5","0","0","0.7","515406225","0","95","0","195"
"26","4","5154062","0","0","1.5","0","515406226","1","0","0","0"
"27","1","5154062","5","0","0","0.8","515406227","0","195","0","315"
"28","4","5154062","0","0","1","0","515406228","1","0","0","0"
"29","1","5154062","5","0","0","0.7","515406229","0","315","0","415"
"30","4","5154062","0","0","2","0","515406230","1","0","0","0"
"31","2","5154062","0","vo_abd","0","0","515406231","0","0","vo_abd_0106","0"
"32","1","5154062","6","0","0","1","515406232","0","0","0","160"
"33","4","5154062","0","0","1.3","0","515406233","1","0","0","0"
"34","1","5154062","6","0","0","1","515406234","0","160","0","415"
"35","4","5154062","0","0","2.3","0","515406235","1","0","0","0"
"36","2","5154062","0","vo_abd","0","0","515406236","0","0","vo_abd_0107","0"
"37","1","5154062","7","0","0","0.7","515406237","0","0","0","85"
"38","4","5154062","0","0","0.8","0","515406238","1","0","0","0"
"39","1","5154062","7","0","0","0.8","515406239","0","85","0","360"
"40","4","5154062","0","0","2","0","515406240","1","0","0","0"
"41","2","5154062","0","vo_abd","0","0","515406241","0","0","vo_abd_0108","0"
"42","1","5154062","8","0","0","2.63","515406242","0","0","0","415"
"43","4","5154062","0","0","2.63","0","515406243","1","0","0","0"
"44","2","5154062","0","vo_abd","0","0","515406244","0","0","vo_abd_0109","0"
"45","1","5154062","9","0","0","1","515406245","0","0","0","200"
"46","4","5154062","0","0","2","0","515406246","1","0","0","0"
"47","1","5154062","9","0","0","0.5","515406247","0","200","0","245"
"48","4","5154062","0","0","1.2","0","515406248","1","0","0","0"
"49","1","5154062","9","0","0","1.5","515406249","0","245","0","415"
"50","4","5154062","0","0","2.5","0","515406250","1","0","0","0"
"51","2","5154062","0","vo_abd","0","0","515406251","0","0","vo_abd_0110","0"
"52","1","5154062","10","0","0","0.2","515406252","0","0","0","35"
"53","4","5154062","0","0","0.6","0","515406253","1","0","0","0"
"54","1","5154062","10","0","0","1.3","515406254","0","35","0","400"
"55","4","5154062","0","0","2.3","0","515406255","1","0","0","0"
"56","2","5154062","0","vo_abd","0","0","515406256","0","0","vo_abd_0111","0"
"57","1","5154062","11","0","0","0.3","515406257","0","0","0","60"
"58","4","5154062","0","0","1.2","0","515406258","1","0","0","0"
"59","1","5154062","11","0","0","1","515406259","0","60","0","315"
"1","4","5154063","0","0","0.8","0","515406301","1","0","0","0"
"2","2","5154063","0","vo_abd","0","0","515406302","0","0","vo_abd_0201","0"
"3","1","5154063","1","0","0","1.5","515406303","0","0","0","350"
"4","4","5154063","0","0","2.25","0","515406304","1","0","0","0"
"5","2","5154063","0","vo_abd","0","0","515406305","0","0","vo_abd_0202","0"
"6","1","5154063","2","0","0","1.8","515406306","0","0","0","350"
"7","4","5154063","0","0","3","0","515406307","1","0","0","0"
"8","2","5154063","0","vo_abd","0","0","515406308","0","0","vo_abd_0203","0"
"9","1","5154063","3","0","0","1.5","515406309","0","0","0","315"
"10","4","5154063","0","0","1.8","0","515406310","1","0","0","0"
"11","2","5154063","0","vo_abd","0","0","515406311","0","0","vo_abd_0204","0"
"12","1","5154063","4","0","0","1.3","515406312","0","0","0","300"
"13","4","5154063","0","0","2.5","0","515406313","1","0","0","0"
"14","2","5154063","0","vo_abd","0","0","515406314","0","0","vo_abd_0205","0"
"15","1","5154063","5","0","0","1.5","515406315","0","0","0","360"
"16","4","5154063","0","0","2","0","515406316","1","0","0","0"
"17","2","5154063","0","vo_abd","0","0","515406317","0","0","vo_abd_0206","0"
"18","1","5154063","6","0","0","1.8","515406318","0","0","0","310"
