61d883862dce7c26b0e85ce901665dbac2aea3fbb5b679eb5d731eeed1b3beb1,69b6142f01ac4e72259e1c9fb0c749cf3d10cec6e97b260d0c90efc1e9f48221,f574aa18702dcfc580ed9bd2041a4324ae8fabfd81c42ffcd4529d14c7614caa,bb214b5d0baef52b77b020cf9211cb2eb1c5c6ea2f284de6a06294cc4e6c3bb9,e27cbd8823cb21ba0aa10ed224531b3a37cbaefa18a42364b28795910781d509,ad161164b957ac0e97a4fd6fe7519d5f9f386db60600ea787d0c75077dbafed7,894e265e19bd5754a61e54171f5490e42d4071352a8bb280a612336084b65fcb
"0","0","料理入手イベント","1","1","3","0"
"0","0","ダイス入手イベント1","2","2","1","0"
"0","0","ダイス入手イベント2","2","3","2","0"
"3","0","ターン数カウントスキップ","3","4","0","1"
"2","1","マイル+100%","4","5","100","0"
"2","1","ミニゲームマイル+100%","5","6","100","0"
"3","1","ショップ割引イベント","6","7","300","0"
"3","1","ショップ割引イベント","6","8","300","0"
"3","0","ターン数カウントスキップ1","3","98001","0","2"
"3","0","ターン数カウントスキップ1","3","98011","0","1"
"3","0","ターン数カウントスキップ2","3","98012","0","2"
