15620865096691779fa97d7cd038809f2a79a247fc51f89252e49680d1cc7547,9417fac0bdc278fe41f923780991ce6443d0d9529f643089924049f1be7ddfe5,d21643815a3ebe1251feed2dfe3e2bbdd86a528a6f22e8537b8f71abcaf3302f,7ab17320ddbdfc2cc5247bddcef41e3ea83ad616c9ca9572fd6470be2b08b7c0
"1","1","101","1"
"1","2","102","1"
"1","3","103","1"
"1","4","104","1"
"1","5","105","3"
"1","6","106","3"
"1","7","107","3"
"1","8","108","3"
"1","9","109","3"
"1","10","110","4"
"1","11","111","4"
"1","12","112","4"
"1","13","113","4"
"1","14","114","4"
"1","15","115","4"
"1","16","116","4"
"1","17","117","4"
"1","18","118","4"
"1","19","119","4"
"1","20","120","6"
"1","21","121","6"
"1","22","122","6"
"1","23","123","6"
"1","24","124","6"
"1","25","125","6"
"1","26","126","6"
"1","27","127","6"
"1","28","128","6"
"1","29","129","6"
"1","30","130","7"
"1","31","131","7"
"1","32","132","7"
"1","33","133","7"
"1","34","134","7"
"1","35","135","7"
"1","36","136","7"
"1","37","137","7"
"1","38","138","7"
"1","39","139","7"
"1","40","140","8"
"1","41","141","8"
"1","42","142","8"
"1","43","143","8"
"1","44","144","8"
"1","45","145","8"
"1","46","146","8"
"1","47","147","8"
"1","48","148","8"
"1","49","149","8"
"1","50","150","8"
"2","0","201","1"
"2","0","202","2"
"2","0","203","3"
"2","0","204","4"
"3","0","301","1"
"3","0","302","2"
"3","0","303","3"
"3","0","304","4"
"4","1","401","0"
"4","2","402","0"
"4","3","403","0"
"4","4","404","0"
"4","5","405","0"
"4","6","406","0"
"4","7","407","0"
"4","8","408","0"
"4","9","409","0"
"4","10","410","0"
"4","11","411","0"
"4","12","412","0"
"4","13","413","0"
"4","14","414","0"
"4","15","415","0"
"4","16","416","0"
"4","17","417","0"
"4","18","418","0"
"4","19","419","0"
"4","20","420","0"
"4","21","421","0"
"4","22","422","0"
"4","23","423","0"
"4","24","424","0"
"4","25","425","0"
"4","26","426","0"
"4","27","427","0"
"4","28","428","0"
"4","29","429","0"
"4","30","430","0"
"4","31","431","0"
"4","32","432","0"
"4","33","433","0"
"4","34","434","0"
"4","35","435","0"
"4","36","436","0"
"4","37","437","0"
"4","38","438","0"
"4","39","439","0"
"4","40","440","0"
"4","41","441","0"
"4","42","442","0"
"4","43","443","0"
"4","44","444","0"
"4","45","445","0"
"4","46","446","0"
"4","47","447","0"
"4","48","448","0"
"4","49","449","0"
"4","50","450","0"
