0028f722b21f2e155da9ad2c841772bab510234910d447a4d87ccf559ca6400c,0d281660aab232f0099775c589badc644f061cef7c116cdfe840c04b093ba686,9500e0bd07591ce77b587295cd19d2a646d419dc840208d01e9ae93f8720ae17,61e19f4f20d3be4810ff13d1b3b930814bcaebd025ea40b45d2dbfa6a934b067,efd40645007ee8f8461388080785994dff49f1a1558421d05f5aa008076e4912,4130c91bb38c72ffe1398c8560e7f5b8841c90eedef8dfd09a54bacd3332aea5
"10009101","10009106","1","1","1","0"
"10009101","10009112","1","1","2","0"
"10010101","10010110","1","1","3","0"
"10019101","1001901","2","1","4","0"
"10021101","10021112","1","1","5","0"
"10025101","10025109","1","1","6","0"
"10025","5025001","3","2","7","500810"
"20009101","20009106","1","1","8","0"
"20009101","20009112","1","1","9","0"
"20010101","20010110","1","1","10","0"
"10042","5042001","3","2","12","501001"
"20015101","2001501","2","1","13","0"
"10044","5044001","3","2","14","501031"
"20016101","20016112","1","1","15","0"
"10046","5046002","3","2","16","501103"
"10049101","10049109","1","1","17","0"
"10066101","10066112","1","1","19","0"
"10066","5066005","3","2","20","501291"
"10069","5042001","3","2","21","501001"
"10071","5044001","3","2","22","501031"
"10068","5068001","3","2","23","501341"
"10070","5070004","3","2","24","501353"
"10070","5070005","3","2","25","500016"
"10072","5072004","3","2","26","501364"
"10072","5072006","3","2","27","501365"
"10073","5046002","3","2","28","501103"
"10074","5074001","3","2","29","501383"
"10076101","10076112","1","1","30","0"
"10076","5076005","3","2","31","505036"
"10078","5078004","3","2","32","501451"
"10080","5080005","3","2","33","501463"
"10082101","10082105","1","1","34","0"
"10082102","10082108","1","1","35","0"
"10082103","10082111","1","1","36","0"
"10082","5082002","3","2","37","501160"
"10082","5082004","3","2","38","501031"
"10082","5082005","3","2","39","501483"
"10084","5084001","3","2","40","500368"
"10084","5084002","3","2","41","510306"
"10084","5084003","3","2","42","500039"
"10085","5085002","3","2","43","500368"
"10085","5085003","3","2","44","510203"
