de4a32a5b3f449948f524e4cce66ce41f2a55b1f112aaeb73142a9a5be4d6df0,b3f03a8d85c6c0f2c3699637fb672ffaf0b2d01083cf2c46030d6839a10f681e,c295767256f9296cb459d7b099732c06c02b27e8c4984b9c89fe28c6ded85655,d3b5c85147c8f9b8e5d962cc47c530fe020b92c57debabd4aec4ab1ccf4dcaa1,3d54bd6157710c5f5f2b9c47ed7053733ae6bd915dba1b40bf125bd7bfa805f1
"91002","1","100","8","30109001"
"20002","2","10","2","30109001"
"91002","3","100","8","30109002"
"94002","4","40000","12","30109002"
"91002","5","300","8","30109003"
"91002","6","500","8","30109004"
"91002","7","500","8","30109005"
"94002","8","1000000","12","30109005"
"91002","9","500","8","30109006"
"94002","10","500000","12","30109006"
"91002","11","600","8","30110001"
"94002","12","200000","12","30110006"
