d15f8cf283619ca023b0be3d721da09587e047a0a0707826da8984908710e085,c5e7a047a5245cb881e987a65f17e03dbbf542971ee496744888badd37c4e697,11e0cbf8a72fb49003d0de1318c541f84610c863ed036d4ca05eb7f0e4d3a29e,48a878a73f1b62b22912c3cb5b1ac90548d43f1058d7fab19481923935c9c658,d8fdfb7c7f389e272f0aaaa7fc5fba1e58e18873fdb523041feebd4e5e1ed0e3
"100101","94002","3000000","12","1"
"100101","20004","300","2","2"
"100102","90008","1000","2","3"
"100103","25001","6","2","4"
"100104","94002","1000000","12","5"
"100104","20004","300","2","6"
"100105","90008","1000","2","7"
"100106","25001","6","2","8"
"100107","91002","40","8","9"
"100107","94002","1000000","12","10"
"100107","20004","300","2","11"
"100108","90008","1000","2","12"
"100109","41000","1","2","13"
"100109","25001","7","2","14"
"100110","94002","1000000","12","15"
"100110","20004","400","2","16"
"100111","90008","1500","2","17"
"100112","91002","40","8","18"
"100112","25001","7","2","19"
"100113","94002","1000000","12","20"
"100113","20004","400","2","21"
"100114","90008","1500","2","22"
"100115","41000","1","2","23"
"100115","25001","7","2","24"
"100116","94002","1000000","12","25"
"100116","20004","500","2","26"
"100117","91002","40","8","27"
"100117","90008","1500","2","28"
"100118","94002","2000000","12","29"
"100118","25001","8","2","30"
"100118","90008","2000","2","31"
"100201","94002","3000000","12","32"
"100201","20004","300","2","33"
"100202","90008","1000","2","34"
"100203","25001","12","2","35"
"100204","94002","1000000","12","36"
"100204","20004","300","2","37"
"100205","90008","1000","2","38"
"100206","25001","10","2","39"
"100207","91002","40","8","40"
"100207","94002","1000000","12","41"
"100207","20004","300","2","42"
"100208","90008","1000","2","43"
"100209","41000","1","2","44"
"100209","25001","10","2","45"
"100210","94002","1000000","12","46"
"100210","20004","400","2","47"
"100211","90008","1500","2","48"
"100212","91002","40","8","49"
"100212","25001","9","2","50"
"100213","94002","1000000","12","51"
"100213","20004","400","2","52"
"100214","90008","1500","2","53"
"100215","41000","1","2","54"
"100216","94002","1000000","12","55"
"100216","20004","500","2","56"
"100217","91002","40","8","57"
"100217","90008","1500","2","58"
"100218","94002","2000000","12","59"
"100218","90008","2000","2","60"
"100301","94002","3000000","12","61"
"100301","20004","300","2","62"
"100302","90008","1000","2","63"
"100303","25001","12","2","64"
"100304","94002","1000000","12","65"
"100304","20004","300","2","66"
"100305","90008","1000","2","67"
"100306","25001","10","2","68"
"100307","91002","40","8","69"
"100307","94002","1000000","12","70"
"100307","20004","300","2","71"
"100308","90008","1000","2","72"
"100309","41000","1","2","73"
"100309","25001","10","2","74"
"100310","94002","1000000","12","75"
"100310","20004","400","2","76"
"100311","90008","1500","2","77"
"100312","91002","40","8","78"
"100312","25001","9","2","79"
"100313","94002","1000000","12","80"
"100313","20004","400","2","81"
"100314","90008","1500","2","82"
"100315","41000","1","2","83"
"100316","94002","1000000","12","84"
"100316","20004","500","2","85"
"100317","91002","40","8","86"
"100317","90008","1500","2","87"
"100318","94002","2000000","12","88"
"100318","90008","2000","2","89"
"100401","94002","3000000","12","90"
"100401","20004","300","2","91"
"100402","90008","1000","2","92"
"100403","25001","12","2","93"
"100404","94002","1000000","12","94"
"100404","20004","300","2","95"
"100405","90008","1000","2","96"
"100406","25001","10","2","97"
"100407","91002","40","8","98"
"100407","94002","1000000","12","99"
"100407","20004","300","2","100"
"100408","90008","1000","2","101"
"100409","41000","1","2","102"
"100409","25001","10","2","103"
"100410","94002","1000000","12","104"
"100410","20004","400","2","105"
"100411","90008","1500","2","106"
"100412","91002","40","8","107"
"100412","25001","9","2","108"
"100413","94002","1000000","12","109"
"100413","20004","400","2","110"
"100414","90008","1500","2","111"
"100415","41000","1","2","112"
"100416","94002","1000000","12","113"
"100416","20004","500","2","114"
"100417","91002","40","8","115"
"100417","90008","1500","2","116"
"100418","94002","2000000","12","117"
"100418","90008","2000","2","118"
"100501","94002","3000000","12","119"
"100501","20004","300","2","120"
"100502","90008","1000","2","121"
"100503","25001","12","2","122"
"100504","94002","1000000","12","123"
"100504","20004","300","2","124"
"100505","90008","1000","2","125"
"100506","25001","10","2","126"
"100507","91002","40","8","127"
"100507","94002","1000000","12","128"
"100507","20004","300","2","129"
"100508","90008","1000","2","130"
"100509","41000","1","2","131"
"100509","25001","10","2","132"
"100510","94002","1000000","12","133"
"100510","20004","400","2","134"
"100511","90008","1500","2","135"
"100512","91002","40","8","136"
"100512","25001","9","2","137"
"100513","94002","1000000","12","138"
"100513","20004","400","2","139"
"100514","90008","1500","2","140"
"100515","41000","1","2","141"
"100516","94002","1000000","12","142"
"100516","20004","500","2","143"
"100517","91002","40","8","144"
"100517","90008","1500","2","145"
"100518","94002","2000000","12","146"
"100518","90008","2000","2","147"
"100601","94002","3000000","12","148"
"100601","20004","300","2","149"
"100602","90008","1000","2","150"
"100603","25001","12","2","151"
"100604","94002","1000000","12","152"
"100604","20004","300","2","153"
"100605","90008","1000","2","154"
"100606","25001","10","2","155"
"100607","91002","40","8","156"
"100607","94002","1000000","12","157"
"100607","20004","300","2","158"
"100608","90008","1000","2","159"
"100609","41000","1","2","160"
"100609","25001","10","2","161"
"100610","94002","1000000","12","162"
"100610","20004","400","2","163"
"100611","90008","1500","2","164"
"100612","91002","40","8","165"
"100612","25001","9","2","166"
"100613","94002","1000000","12","167"
"100613","20004","400","2","168"
"100614","90008","1500","2","169"
"100615","41000","1","2","170"
"100616","94002","1000000","12","171"
"100616","20004","500","2","172"
"100617","91002","40","8","173"
"100617","90008","1500","2","174"
"100618","94002","2000000","12","175"
"100618","90008","2000","2","176"
"100701","94002","3000000","12","177"
"100701","20004","300","2","178"
"100702","90008","1000","2","179"
"100703","25001","12","2","180"
"100704","94002","1000000","12","181"
"100704","20004","300","2","182"
"100705","90008","1000","2","183"
"100706","25001","10","2","184"
"100707","91002","40","8","185"
"100707","94002","1000000","12","186"
"100707","20004","300","2","187"
"100708","90008","1000","2","188"
"100709","41000","1","2","189"
"100709","25001","10","2","190"
"100710","94002","1000000","12","191"
"100710","20004","400","2","192"
"100711","90008","1500","2","193"
"100712","91002","40","8","194"
"100712","25001","9","2","195"
"100713","94002","1000000","12","196"
"100713","20004","400","2","197"
"100714","90008","1500","2","198"
"100715","41000","1","2","199"
"100716","94002","1000000","12","200"
"100716","20004","500","2","201"
"100717","91002","40","8","202"
"100717","90008","1500","2","203"
"100718","94002","2000000","12","204"
"100718","90008","2000","2","205"
"100801","94002","3000000","12","206"
"100801","20004","300","2","207"
"100802","90008","1000","2","208"
"100803","25001","12","2","209"
"100804","94002","1000000","12","210"
"100804","20004","300","2","211"
"100805","90008","1000","2","212"
"100806","25001","10","2","213"
"100807","91002","40","8","214"
"100807","94002","1000000","12","215"
"100807","20004","300","2","216"
"100808","90008","1000","2","217"
"100809","41000","1","2","218"
"100809","25001","10","2","219"
"100810","94002","1000000","12","220"
"100810","20004","400","2","221"
"100811","90008","1500","2","222"
"100812","91002","40","8","223"
"100812","25001","9","2","224"
"100813","94002","1000000","12","225"
"100813","20004","400","2","226"
"100814","90008","1500","2","227"
"100815","41000","1","2","228"
"100816","94002","1000000","12","229"
"100816","20004","500","2","230"
"100817","91002","40","8","231"
"100817","90008","1500","2","232"
"100818","94002","2000000","12","233"
"100818","90008","2000","2","234"
