66d2e5632ff2fc52ca7916ffdfe14fdeecc45c79643abc9a0d8adf572a285f1b,9e123782359a5e5c4ffa10ccc8b1e6c2165ebce6c83cf914a74b39fc7e3632c5,fd74d540a82e1cf1ff24c3fed41e8d9dd70b028d219b1588237aaddd875cceb2,bde82fdf935d119f108f252dc356e02e9458d6fd1e56ee06d38404209d5d71f0,b460feb10fb16f74b16664a5b7d54780e29d3c21eb44e1a0005fbce742e52d6e
"1","1","0","3030100","0"
"1","2","0","3050100","0"
"1","3","0","3040100","0"
"1","4","0","3020100","0"
"1","5","0","2040100","0"
"2","5","0","2040100","0"
"1","6","0","2020100","0"
"2","6","0","2020100","0"
"1","7","314","1030100","0"
"1","8","0","4030100","0"
"1","9","502","1050100","0"
"1","10","0","4020100","0"
"1","11","0","2030100","0"
"2","11","0","2030100","0"
"1","12","0","3040100","10301010"
"1","13","202","1020100","0"
"1","14","406","1040102","20201010"
"1","15","105","1010200","0"
"2","15","0","2010200","0"
"3","15","0","2010200","0"
"1","16","0","3050200","0"
"1","17","0","3040200","0"
"1","18","0","3020200","0"
"1","19","0","2040200","0"
"2","19","0","2040200","0"
"1","20","0","2020200","0"
"2","20","0","2020200","0"
"1","21","315","1030200","0"
"1","22","205","1020200","0"
"1","23","509","1050200","0"
"1","24","0","4020200","0"
"1","25","0","2030200","0"
"2","25","0","2030200","0"
"1","26","0","4030200","0"
"1","27","0","3020200","10101020"
"1","28","408","1040200","20201020"
"1","29","0","3040200","10101020"
"1","30","0","3010200","10101020"
"1","31","102","1010300","0"
"2","31","0","2010300","0"
"3","31","0","2010300","0"
"1","32","0","3050300","0"
"1","33","0","3040300","0"
"1","34","0","3020300","0"
"1","35","0","2040300","0"
"2","35","0","2040300","0"
"1","36","0","2020300","0"
"2","36","0","2020300","0"
"1","37","306","1030300","0"
"1","38","206","1020300","0"
"1","39","502","1050300","0"
"1","40","0","4020300","0"
"1","41","0","2030300","0"
"2","41","0","2030300","0"
"1","42","0","4030300","0"
"1","43","0","3020300","10101030"
"1","44","406","1040300","20201030"
"1","45","0","3010300","10101050"
"1","46","0","3040300","10101050"
"1","47","0","3030300","10101050"
"1","48","0","3010300","10101050"
"1","49","0","3020300","10101050"
"1","50","112","1010300","30102050"
