860318de840bd5e994987afccf1232bb3b8cb60efa05e3a1fdcc2c73233f7a7f,3618fee41f1806c45382d83cd55ea9d65b2ff8d7b3ca7fb970b69283154abb66,ec3e94ab7e40c413dfbbf6a9171129fd91c32061d3d61269f13e0128eae68777,ace1b114af2f7de41af9cc39f24e9789e7269bbe9b62c5db51ce40ecd0f8f05f,516f8be141c4bd616aa6e6ad692963ebbb65cebcc6b8b4923a4536aa150242cb,a4ecaad66290d9856d037ea29fc8c141f347ad9744105c21afc7620d93dba816,3c8fbb7337ffdd6948cb05a00a2b265c5ce493336601ee1f297edad9c3a98474,f4b474ef612539ab88858de1935423e3743bbf154746a5a5a4d8c7569218677e
"1","1","0","0","0","0","0","0"
"2","2","0","0","0","0","0","0"
"3","3","0","0","0","0","0","0"
"4","4","0","0","0","0","0","0"
"5","5","0","0","0","0","0","0"
"6","6","0","0","0","0","0","0"
"7","7","0","0","0","0","0","0"
"8","8","0","0","0","0","0","0"
"9","0","1","0","0","0","0","0"
"10","0","0","1","0","0","0","0"
"11","11","0","0","0","0","0","0"
"12","12","0","0","0","0","0","0"
"13","0","0","0","1","0","0","0"
"14","0","0","0","0","0","0","0"
"15","0","0","0","0","0","0","0"
"16","0","0","0","0","1","0","0"
"17","0","0","0","0","0","10056","0"
"18","0","0","0","0","0","0","0"
"19","19","0","0","0","0","0","0"
"20","0","0","0","0","0","10061","0"
"21","0","0","0","0","0","0","0"
"22","0","0","0","0","0","0","0"
"23","0","0","0","0","0","0","23"
"24","0","0","0","0","0","0","0"
"25","25","0","0","0","0","0","0"
"26","0","0","0","0","0","10088","0"
"27","0","0","0","0","0","10102","0"
"28","28","0","0","0","0","0","0"
"29","0","0","0","0","0","30001","0"
"30","30","0","0","0","0","0","0"
