ba25344b33b751959327342dcd3151a7cb7cec342137c2254af993d4a512f461,c7955fa5c4221b8d8fba283a0ffa3d8dafb181917faf4e788676b76ea1a533b6,bf4dd306079e7087ed3691ac522b1a3ebe92ba955d1630eba2a818fc42c98db0,98ecaeff96eea6b1a4b7dbb70fdb9d198d0bb5128bebd3e4241270206b07e5c0
"1","1","2500","1"
"2","1","2000","2"
"3","1","2000","107"
"4","1","2000","4"
"5","1","1000","3"
"6","1","1000","110"
"7","1","1000","5"
"8","1","2000","6"
"9","1","2000","105"
"10","1","2000","7"
"11","3","0","1000"
"12","1","20","100"
"13","1","1000","108"
"14","1","20","101"
"15","1","5","102"
"16","1","1000","109"
"17","1","5","103"
"18","1","500","1"
"19","2","0","2000"
"20","1","500","1"
"21","5","0","25"
"22","1","3000","2"
"23","1","3000","107"
"24","1","3000","4"
"25","1","1500","3"
"26","1","1500","110"
"27","1","1500","5"
"28","1","3000","6"
"29","1","3000","105"
"30","1","3000","7"
"31","6","0","1"
"32","1","30","100"
"33","1","1500","108"
"34","1","30","101"
"35","1","10","102"
"36","1","1500","109"
"37","1","10","103"
"38","1","500","1"
"39","2","0","3000"
"40","1","500","1"
"41","4","0","50"
"42","1","1000","2"
"43","1","1000","107"
"44","1","1000","4"
"45","1","500","3"
"46","1","500","110"
"47","1","500","5"
"48","1","1000","6"
"49","1","1000","105"
"50","1","1000","7"
"51","1","2500","1"
"52","1","10","100"
"53","1","500","108"
"54","1","10","101"
"55","1","3","102"
"56","1","500","109"
"57","1","3","103"
"58","1","250","1"
"59","2","0","1000"
"60","1","250","1"
"61","7","0","101"
"62","1","2000","2"
"63","1","2000","107"
"64","1","2000","4"
"65","1","1000","3"
"66","1","1000","110"
"67","1","1000","5"
"68","1","2000","6"
"69","1","2000","105"
"70","1","2000","7"
"71","2","0","5000"
"72","1","20","100"
"73","1","1000","108"
"74","1","20","101"
"75","1","5","102"
"76","1","1000","109"
"77","1","5","103"
"78","1","500","1"
"79","2","0","2000"
"80","1","500","1"
"81","3","0","2000"
