81bb08373e0fc3e5730a2d89c9fca080c4ead1e9cad7e5bdb4f983c0e1a3ba5c,32199e2f85e6ed8df4901e20aa0f662052e80bae631b64324fd7fac7658a031b,83ff2705f062260e165adeaf74a0c3d838a987deeac239b241c6ae53d760c737
"1","32025","1"
"1","32046","2"
"1","32048","3"
"1","32016","4"
"1","32060","5"
"2","32078","5"
"1","32031","6"
"1","32007","7"
"1","32050","8"
"1","32033","9"
"1","32058","10"
"2","32075","10"
"1","32042","11"
"1","32021","12"
"1","32023","13"
"1","32027","14"
"1","32049","15"
"1","32011","16"
"1","32045","17"
"1","32030","18"
"1","32013","19"
"1","32040","20"
"1","32018","21"
"1","32028","22"
"1","32043","23"
"1","32017","24"
"1","32010","25"
"1","32036","26"
"1","32004","27"
"1","32020","28"
"1","32059","29"
"2","32076","29"
"1","32014","30"
"1","32038","31"
"1","32003","32"
"2","32089","32"
"1","32071","33"
"1","32029","34"
"1","32044","35"
"1","32056","36"
"1","32012","37"
"1","32047","38"
"1","32054","39"
"1","32006","40"
"1","32022","41"
