c06b5fd5d9cddea752d9bae88c068dae61b503812560c6b51eb34b531b4e7078,7cbdd589606c76ac52a81e75e5b50c525efec2046b50ab5b130cecfb05b858b6,bdb56550e39b22fa345119e5ec7a3894fdfccc248756c7bab9312ca12623a2bc,5db3923a3d1e39e22be19f2406d2d43bd13b4a279a83add1c4357e4363c7de9a,f62162ccb24b1842db7c7c78f2aff203374bb889f1a8b47a918cca43a8c14cf2,67ebf9d49aeb44a2cba51b2f4ede4bb02aebd286e8fb823c70cd1cf84c5166d9,5493681c749ba02254ddef4ce40b52d8dbafaaf8b307530ef1f9f913f8e9b0cb,10f33a3a63ae1f3f4f87485922dcb7e29e2293f2fb7fc6421c115cd7243c840a,e9904d67d4fa5c3bed3cad9251982bfc1e395223d9f4ed956c7933b271d849da,ad97babbc0155ef69c49783b0d9c302ccb77c4f9a75eac07be852dedd9655ff7,a8ef911bbc1b1f23e37c43f698bdbb912348d9bb82235ceda50ceb5d66d8b635,599fcc0a5cc0b5911042d4266c3616895e1f763f913fe07304187861f199a80b,b66e41c4caeb27cd0867baa34f0701c85e63ae554b841b0f3f1d2221b8ba6a53,20d8948f7af1a1cf626dea26e1750a5d3e125b9cf3a5ab245655550e796d64cb,b39f3e6f1ac015a9edbcfd3489b9a6af2ca592026f5cbfce4dcea24a2abe2155,9fadf78fb7e4c529a14fb45893292c0f0f9d9fcec0c965e95fe366507361f5f0,8bc6088111521bddc823aada41f0df9a5a7139b07de5a37763d212f341fca856,5427faf7dc89c840633fbeedd8cbb76e995c74f3e3c58d40366edfcccbd41682
"20003","1","0","5","94002","0","91002","8","0","1","2","20","22003","5","12","150","2","150000"
"20003","2","0","2","94002","0","91002","8","0","6","2","15","22003","9","12","145","2","100000"
"20003","3","0","5","94002","0","91002","8","0","10","2","11","22002","19","12","140","2","80000"
"20003","4","0","5","94002","0","91002","8","0","20","2","10","22002","29","12","130","2","80000"
"20003","5","0","4","94002","0","91002","8","0","30","2","9","22002","39","12","120","2","70000"
"20003","6","0","4","94002","0","91002","8","0","40","2","8","22002","49","12","110","2","70000"
"20003","7","0","3","94002","0","91002","8","0","50","2","7","22002","99","12","100","2","60000"
"20003","8","0","2","94002","0","91002","8","0","100","2","2","22002","499","12","80","2","40000"
"20002","9","0","1","94002","0","91002","8","0","500","2","7","22002","999","12","50","2","20000"
"20002","10","0","3","94002","0","91002","8","0","1000","2","4","22001","4999","12","20","2","16000"
"20002","11","0","2","94002","0","91002","8","0","5000","2","3","22001","9999","12","15","2","9000"
"20001","12","0","1","94002","0","91002","8","0","10000","2","8","22001","11999","12","10","2","4000"
"20001","13","0","1","94002","0","91002","8","0","12000","2","7","22001","13999","12","5","2","3000"
"20001","14","0","1","94002","0","91002","8","0","14000","2","6","22001","14999","12","4","2","2000"
"20001","15","0","1","94002","0","91002","8","0","15000","2","5","22001","30000","12","3","2","1800"
