78825af900348148fbe4f6855f56a52845158e8506c4cab9575e7825ea99c795,7c65c93b824352b4b67c4067c1a775e67568e65b647a2ec5e95eccb736b7d753,1e017107b8194d6dd5d1f0758372dd4266436024954c44b2f99b9da00d2ca740,50b535cca6e0fb63e51a762a574fe18d37045f9e8fe5feac55a6be3f4e5e76e3,fce6b74c0c99d29978da0b9c30b2119c94628a28fee1c3d1808dccb542d4c83e,a5eae0e76b52f77a5859bee700cda280562c1f45a133bb5d99c9687f2c9edce5,a4664b725f8e82b091ec00662b018329e79b590abc11df7c8ab8e16cb1f7f4c7
"0","1","0","1","0","3","料理入手イベント"
"0","2","0","2","0","1","ダイス入手イベント1"
"0","3","0","2","0","2","ダイス入手イベント2"
"0","4","3","3","1","0","ターン数カウントスキップ"
"1","5","2","4","0","100","マイル+100%"
"1","6","2","5","0","100","ミニゲームマイル+100%"
"1","7","3","6","0","300","ショップ割引イベント"
"1","8","3","6","0","300","ショップ割引イベント"
"0","98001","3","3","2","0","ターン数カウントスキップ1"
"0","98011","3","3","1","0","ターン数カウントスキップ1"
"0","98012","3","3","2","0","ターン数カウントスキップ2"
