6e8ba4f992892d2979a891fae6810e6430ef1c1aa04666dbdf61ed7f4aec8c40,3b70ecbcefeba6be9af17fd9fe6f9edd55212831d35b28fef7e16f144c81216f,8b79910e3f661246bc0d125eb477344d6a1f991ca97b2c8f11b5c84faf6ea97b,98880292da224a6da8c5a9a719df24816f742997996a73bbb2a6fe4c6c612b00,ede2c91da696e4c94e2b6f9907315032c34eae1c90ff2a1e593f90348d388662,7e7192fb920809f28e8038e1300dd2019808656fd74aa56dbfc27fa20356f5b9,0b6ff3c1191945e22da7de2871f72e1ad369acd6cbb3447e2bc6740b58f4e1bd,00b182f5262eb6ceabcbaa131f9a1c81f81d9b3b68ce4a18979d7be7ae8a08f4,7333b67ae66a48ac234c4d85fadc9c2f4948fd75adaa9160073239635722584b,943ea186bee100a572c49b5ec0a1d3fb6ef34409257dcb469dc21cb2ae63ba4e,b7ada8a635ceb3d61b7caeed4549645a32814582c57ee7ae2e1595b4d6fc5ba7,8b3cc3628d7c4a4ef9cf95faf98a73c234070a7d338b9beade085e963a43f434,7fc196a5527065f6bd54d5cdf509f82325607d5de093948a0b97831db862427f,2733f1b31dcf419d90058632a0835b5e9ff436ba4e4a7d16d5d4e0a9fb3f62e9,da8d61441ed4e5aafbfc7ca6cdc4522e1578542b39f4dc1fffafde2b5660d153,233bfe18d20092acd286a581247e4fd62e9b35e05a37b903af83454fa0bb6b6e
"1","2","1","2","3","980","215","-110","455","70","401","301","501","201","101","1008201"
"2","2","1","2","3","515","215","-110","230","70","402","302","502","202","102","1008202"
"3","1","1","2","3","515","215","-110","230","70","403","303","503","203","103","1008203"
"4","1","1","2","3","515","215","-110","230","70","404","304","504","204","104","1008204"
"5","2","1","2","3","787","233","-110","355","78","405","305","505","205","105","1008205"
"6","3","1","2","3","787","233","-110","355","78","406","306","506","206","106","1008206"
"7","3","1","2","3","777","233","-110","345","88","407","307","507","207","107","1008207"
"8","1","1","2","3","777","233","-110","345","88","408","308","508","208","108","1008208"
"9","1","1","2","3","777","233","-110","345","88","409","309","509","209","109","1008209"
"10","3","1","2","3","810","233","-110","355","88","410","310","510","210","110","1008210"
"11","2","1","2","3","777","233","-110","345","88","411","311","511","211","111","1008211"
"12","2","1","2","3","515","215","-110","230","70","412","312","512","212","112","1008212"
"13","1","1","2","3","810","233","-110","355","78","413","313","513","213","113","1008213"
"14","1","1","2","3","515","215","-110","230","70","414","314","514","214","114","1008214"
"15","3","1","2","3","515","215","-110","230","70","415","315","515","215","115","1008215"
"16","2","1","2","3","655","215","-110","275","70","416","316","516","216","116","1008216"
"17","3","1","2","3","515","215","-110","230","70","417","317","517","217","117","1008217"
"18","3","1","2","3","777","233","-110","345","88","418","318","518","218","118","1008218"
