460392c9ded3a8b1d32b95c249583f9742ed6228f42cb6ae36d5acd386fc7cf9,899248cd8b53c6718bf678fa0359a3bd0a1336a09ab84ee12de1ee2c3bb69390,6717274bc2ae652cba7bb33061411f231cc8a472197f6388aa01c843dbcf86b6,27605b2076a11c56bf426bd13f5556d92d138c90e69c74560db617aabdaa4ae6
"1.6","938","-354","100101"
"1.6","952","-499","100201"
"1.6","1014","-523","100301"
"1.6","894","-488","100401"
"1.6","980","-628","100601"
"1.6","983","-573","100701"
"1.6","1019","-544","100801"
"1.6","985","-510","100901"
"1.6","1115","-660","101001"
"1.6","1128","-415","101101"
"1.6","1042","-589","101201"
"1.6","1050","-501","101601"
"1.6","1038","-598","101701"
"1.6","985","-356","101801"
"1.6","1114","-494","102001"
"1.6","1003","-392","102101"
"1.6","1057","-407","102201"
"1.6","997","-388","102501"
"1.6","1090","-490","102701"
"1.6","987","-554","102801"
"1.6","976","-526","102901"
"1.6","994","-879","103001"
"1.6","1056","-560","103101"
"1.6","1018","-453","103301"
"1.6","1017","-345","103401"
"1.6","961","-674","103801"
"1.6","1095","-499","104001"
"1.6","955","-521","104201"
"1.6","1079","-581","104301"
"1.6","980","-538","104501"
"1.6","954","-364","104601"
"1.6","1107","-777","104801"
"1.6","973","-795","104901"
"1.6","1122","-492","105001"
"1.6","1035","-607","105201"
"1.6","885","-490","105301"
