8af0fd3ad0e5764cb9ed3a6b651ee539f621a88b053c996c1d343d21be1ca91b,b76f98414d4572f3474e241fc30846a6410312330fff15beaedec3f53097a4a5,6517c52f4305cac688826b7df13def8c1b2313e89b88c5fe77d52d7144ed89db,94942b4e30113ce4eb56aabf0297106a8b0253e413ebcfe3cfe0a8ddd9dba638,62f1ed46dd3ae252919164950bcb003f7ffad4e6f79c958c0c26649e8f11ee66,556e35e4dfad1a3e14a0a27fa93a391e6b42a3afa03f10f26a9ccb302a818540,20d03c000866b054c5be211b92342229ddc04dac8d7e9978f21dc32d98749199,c678b592378c95348036a53e86800ff41b66d9bf75707f1ab821e4b3ca0cc434,c34e65bbac4d9de3f4a770dcf8f093f863aa39238ff173b5de8b1dd66b7fc2f1,179237557bb053ca5418c666a0582f4a13397d245b2a2cc55c138ed119024908,07ec9847cac2bbaec57019fd7057e9e6efc6ca280978b2213f606ebfb5adb4ac,ccb881ac63e889479e8e2f35f7a3a9d786762284b3bd38ce14f057f0a1e69055,beeea9f349fa22664c545a6fc398d4b580ee2b086d8421d00e37e3f7f25ef41e,86b7ff39732ea803b248bca960b660e3fc89a034da7e470671bca07a81c7b38e,973464006d0e0a0ba92cc81124e48e8cfe8a25fd36a5970f98167cb39e77de41,d89d42f64568f83a1ac044cb79a2e497e783b37eb32d78d233a520810b2129db,66a2f24bd1d5fc1b05c41d9ba2ed4fe6d5c9900f0b850890e65b0dbdfa1fd635
"4","5","25202","0","50","0","6","0","25204","0","2","0","50","150001","2","1","0"
"4","20","25202","0","40","0","9","2","25204","0","2","100","50","150001","2","1","25011"
"4","25","25202","0","30","0","12","0","25204","0","2","0","50","150002","2","1","0"
"2","30","25202","500","20","25011","15","4","25204","2","2","50","20","25206","2","1","150002"
"4","5","25202","0","50","0","6","0","25204","0","2","0","50","150001","2","2","0"
"4","20","25202","0","40","0","9","2","25204","0","2","100","50","150001","2","2","25012"
"4","25","25202","0","30","0","12","0","25204","0","2","0","50","150002","2","2","0"
"2","30","25202","500","20","25012","15","4","25204","2","2","50","20","25206","2","2","150002"
"4","5","25202","0","50","0","6","0","25204","0","2","0","50","150001","2","3","0"
"4","20","25202","0","40","0","9","2","25204","0","2","100","50","150001","2","3","25013"
"4","25","25202","0","30","0","12","0","25204","0","2","0","50","150002","2","3","0"
"2","30","25202","500","20","25013","15","4","25204","2","2","50","20","25206","2","3","150002"
"4","5","25202","0","50","0","6","0","25204","0","2","0","50","150001","2","4","0"
"4","20","25202","0","40","0","9","2","25204","0","2","100","50","150001","2","4","25014"
"4","25","25202","0","30","0","12","0","25204","0","2","0","50","150002","2","4","0"
"2","30","25202","500","20","25014","15","4","25204","2","2","50","20","25206","2","4","150002"
"4","5","25202","0","50","0","6","0","25204","0","2","0","50","150001","2","5","0"
"4","20","25202","0","40","0","9","2","25204","0","2","100","50","150001","2","5","25015"
"4","25","25202","0","30","0","12","0","25204","0","2","0","50","150002","2","5","0"
"2","30","25202","500","20","25015","15","4","25204","2","2","50","20","25206","2","5","150002"
