cdff843e48c6110ebb2b5ee8cdcb34135a03afa2dbdccd72cca111645058cad7,e633fae8cd6666a692a129e11fb3af563665fb0a90890ee633c30cd6f50b1f94,eb4b32dc0e61d0e812bbb60191c4d24ee8d6d0ddf45625872f695f1d0ca1aae4,ab1ebdd7628ae1bb1657dacdb53e1d314605e5da85fcffc444a8d01c804aa937
"53001","1","22","1"
"99007","500","21","2"
"99008","1","21","3"
"99007","800","21","4"
"99007","2000","21","5"
"99007","1000","21","6"
"53001","2","22","7"
"99008","2","21","8"
"99008","3","21","9"
"53002","1","22","10"
"53001","3","22","11"
