4f8e722e92bc9747b0059657d2b3628ef08c480f4663da33a2e72995fea86cdf,7e71628b0b391e19533a0cac66fe11ca4ddd2376c580003f017b8bcfe6ce7921,f9ce7ac591e4d3816d196dada353f16ff0d9ce675b711480c9a56c07d1172199,72d59073a0d04b75f7d0ff47e4fb423b8ece834a9e5b172533ff22ab29ef8363,e95edc60629569f1a95ee71110e1846143d62e687dde0dce77864057969baed8,44a9e74cd35846339585ac0335e074cb1900eaaebc5eacdbbc468dae84c855d6
"50000","26202","2","1","50000","1"
"10","90013","2","2","10","1"
"1","26203","2","3","0","1"
"55000","26202","2","4","55000","2"
"10","90013","2","5","10","2"
"1","26203","2","6","0","2"
"60000","26202","2","7","60000","3"
"10","90013","2","8","10","3"
"1","26203","2","9","0","3"
"65000","26202","2","10","65000","4"
"10","90013","2","11","10","4"
"1","26203","2","12","0","4"
"70000","26202","2","13","70000","5"
"10","90013","2","14","10","5"
"1","26203","2","15","0","5"
"75000","26202","2","16","75000","6"
"10","90013","2","17","10","6"
"1","26203","2","18","0","6"
"80000","26202","2","19","80000","7"
"10","90013","2","20","10","7"
"1","26203","2","21","0","7"
"85000","26202","2","22","85000","8"
"10","90013","2","23","10","8"
"1","26203","2","24","0","8"
"90000","26202","2","25","90000","9"
"20","90013","2","26","20","9"
"1","26203","2","27","0","9"
"95000","26202","2","28","95000","10"
"20","90013","2","29","20","10"
"1","26203","2","30","0","10"
"100000","26202","2","31","100000","11"
"20","90013","2","32","20","11"
"1","26203","2","33","0","11"
"105000","26202","2","34","105000","12"
"20","90013","2","35","20","12"
"1","26203","2","36","0","12"
