e61fc97a788687a3292e3f42c1c9f92bf7e394ccf4ae404f50b454dc994310fe,3e063e272af1c86905bc24587b04f906a29952f53e9e3c5faa50b54242b7122f,800e9d05514074e6df13402bef8346823e8623711879585373fa27736d6402bd,f142a9b88cb66bef8e08e3bdc425c96489495e237a2a70e63262b89674a9b053,c089da5f07514100c8673943e1563aacf44cc93ca4ed058545e207ff99c7ed6a
"1","add_shadow","シャドウ1体追加","ジータのシャドウが追加される。","74001102"
"2","add_shadow","シャドウ3体追加","ジータ、サレン（サマー）、アメスのシャドウが追加される。","74001103"
"3","star6_shadow","シャドウ★6化","ノゾミのシャドウが★6になる。","74001104"
"4","add_shadow","シャドウ3体追加","ジータ、サレン（サマー）、アメスのシャドウが追加される。","74001104"
"5","star6_shadow","シャドウ★6化","ノゾミ、ジータ、キョウカのシャドウが★6にな\nる。","74001105"
"6","add_shadow","シャドウ3体追加","ジータ、サレン（サマー）、アメスのシャドウが追加される。","74001105"
"7","add_shadow","シャドウ1体追加","ユカリのシャドウが追加される。","74001202"
"8","add_shadow","シャドウ3体追加","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","74001203"
"9","star6_shadow","シャドウ★6化","ユカリとユイのシャドウが★6になる。","74001204"
"10","add_shadow","シャドウ3体追加","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","74001204"
"11","star6_shadow","シャドウ★6化","ミヤコ、ユカリ、マホ、ユイのシャドウが★6になる。","74001205"
"12","add_shadow","シャドウ3体追加","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","74001205"
"13","boss_magic_cut","ボス魔法ダメージカット","バトル開始時、ボスモンスターが魔法ダメージ20％カット状態になる。","74001301"
"14","boss_magic_cut","ボス魔法ダメージカット","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","74001302"
"15","add_shadow","シャドウ1体追加","シズル（サマー）のシャドウが追加される。","74001302"
"16","energy_recover","開始時TP回復","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001303"
"17","boss_magic_cut","ボス魔法ダメージカット","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","74001303"
"18","add_shadow","シャドウ2体追加","シズル（サマー）とクリスティーナのシャドウが追加される。","74001303"
"19","boss_ub_enhance","ボスUB強化","ボスモンスターのユニオンバーストが強化される。","74001304"
"20","energy_recover","開始時TP回復","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001304"
"21","boss_magic_cut","ボス魔法ダメージカット","バトル開始時、ボスモンスターが魔法ダメージ70％カット状態になる。","74001304"
"22","add_shadow","シャドウ2体追加","シズル（サマー）とクリスティーナのシャドウが追加される。","74001304"
"23","limit_time","バトル時間制限","バトル時間が60秒になる。","74001305"
"24","boss_ub_enhance","ボスUB強化","ボスモンスターのユニオンバーストが強化される。","74001305"
"25","energy_recover","開始時TP回復","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001305"
"26","boss_magic_cut","ボス魔法ダメージカット","バトル開始時、ボスモンスターが魔法ダメージ100％カット状態になる。","74001305"
"27","add_shadow","シャドウ2体追加","シズル（サマー）とクリスティーナのシャドウが追加される。","74001305"
"28","boss_physics_cut","ボス物理ダメージカット","バトル開始時、ボスモンスターが物理ダメージ20％カット状態になる。","74001401"
"29","boss_physics_cut","ボス物理ダメージカット","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","74001402"
"30","add_shadow","シャドウ1体追加","クウカ（オーエド）のシャドウが追加される。","74001402"
"31","energy_recover","開始時TP回復","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001403"
"32","boss_physics_cut","ボス物理ダメージカット","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","74001403"
"33","add_shadow","シャドウ2体追加","クウカ（オーエド）とネネカのシャドウが追加される。","74001403"
"34","boss_ub_enhance","ボスUB強化","ボスモンスターのユニオンバーストが強化される。","74001404"
"35","energy_recover","開始時TP回復","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001404"
"36","boss_physics_cut","ボス物理ダメージカット","バトル開始時、ボスモンスターが物理ダメージ70％カット状態になる。","74001404"
"37","add_shadow","シャドウ2体追加","クウカ（オーエド）とネネカのシャドウが追加される。","74001404"
"38","limit_time","バトル時間制限","バトル時間が60秒になる。","74001405"
"39","boss_ub_enhance","ボスUB強化","ボスモンスターのユニオンバーストが強化される。","74001405"
"40","energy_recover","開始時TP回復","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001405"
"41","boss_physics_cut","ボス物理ダメージカット","バトル開始時、ボスモンスターが物理ダメージ100％カット状態になる。","74001405"
"42","add_shadow","シャドウ2体追加","クウカ（オーエド）とネネカのシャドウが追加される。","74001405"
"43","boss_atk_up","開始時攻撃力アップ","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","74001502"
"44","limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74001503"
