0224e1fbd52d5d9e2ac01fb005cd337ac6054222a70b2ec74b1a85583881d630,b743e07b1174a429e479ffd84447a3eea7a03562c24100d5332dde477b899eee,59a763c2c93a3baac7ddcb559e217a2185ab0c3697849a8ace6f76ed09d88298,74668f98e171fb5fd880d5c40643fbdb398d6752626396924063352b957b421e,bd5de69a26c72fa06e521edf388beafad2b39fcfdcd50b467568601503f56c74,583ab4d32e9b575f6b0af1af3dc7a987acb7e3581f9e677ecfd5cbeffef0f077,be386479a6a9014c363ab654899b998989e69b1d35650c3e9b1bb4bcde342f19,830cde09a495c81630d349e478b309bf6c65ab5da38d6c6320ba6d39db9e5216,e1681f28a6a7e25fd90e066c910b21c2d0a78aac555e66b6ce3575bcd03bcdc1,7c99ae73669d4a3ac3033704437d0b33bc4946f9166ef915dc25956db4b15400,f7357335d87b5fb1fd7ff36ad1e818e4aaabffc8db5a876164cb1044d29f8a64
"1","284001001","8","91002","10","2","25021","8","2","25014","31"
"2","284001002","8","91002","10","2","25021","8","2","25014","31"
"3","284001003","8","91002","10","2","25021","8","2","25014","32"
"4","284001004","8","91002","10","2","25021","8","2","25014","32"
"5","284001005","8","91002","10","2","25021","8","2","25014","33"
"6","284001006","8","91002","10","2","25021","9","2","25014","33"
"7","284001007","8","91002","10","2","25021","9","2","25014","34"
"8","284001008","8","91002","10","2","25021","9","2","25014","35"
"9","284001009","8","91002","10","2","25021","9","2","25014","35"
"10","284001010","8","91002","30","2","25021","10","2","25014","37"
"11","284001011","8","91002","10","2","25021","10","2","25014","41"
"12","284001012","8","91002","10","2","25021","11","2","25014","43"
"13","284001013","8","91002","10","2","25021","11","2","25014","46"
"14","284001014","8","91002","10","2","25021","12","2","25014","48"
"15","284001015","8","91002","10","2","25021","12","2","25014","50"
"16","284001016","8","91002","10","2","25021","13","2","25014","53"
"17","284001017","8","91002","10","2","25021","14","2","25014","55"
"18","284001018","8","91002","10","2","25021","14","2","25014","58"
"19","284001019","8","91002","10","2","25021","15","2","25014","60"
"20","284001020","8","91002","30","2","25021","15","2","25014","62"
"21","284001021","8","91002","10","2","25021","16","2","25014","68"
"22","284001022","8","91002","10","2","25021","16","2","25014","70"
"23","284001023","8","91002","10","2","25021","16","2","25014","72"
"24","284001024","8","91002","10","2","25021","17","2","25014","75"
"25","284001025","8","91002","10","2","25021","18","2","25014","77"
"26","284001026","8","91002","10","2","25021","18","2","25014","79"
"27","284001027","8","91002","10","2","25021","19","2","25014","82"
"28","284001028","8","91002","10","2","25021","19","2","25014","84"
"29","284001029","8","91002","10","2","25021","19","2","25014","86"
"30","284001030","8","91002","30","2","25021","20","2","25014","89"
"31","284001031","8","91002","10","2","25021","20","2","25014","94"
"32","284001032","8","91002","10","2","25021","21","2","25014","96"
"33","284001033","8","91002","10","2","25021","21","2","25014","99"
"34","284001034","8","91002","10","2","25021","22","2","25014","101"
"35","284001035","8","91002","10","2","25021","22","2","25014","103"
"36","284001036","8","91002","10","2","25021","23","2","25014","106"
"37","284001037","8","91002","10","2","25021","23","2","25014","108"
"38","284001038","8","91002","10","2","25021","24","2","25014","111"
"39","284001039","8","91002","10","2","25021","25","2","25014","113"
"40","284001040","8","91002","30","2","25021","25","2","25014","115"
"41","284001041","8","91002","10","2","25021","26","2","25014","121"
"42","284001042","8","91002","10","2","25021","27","2","25014","123"
"43","284001043","8","91002","10","2","25021","28","2","25014","125"
"44","284001044","8","91002","10","2","25021","28","2","25014","128"
"45","284001045","8","91002","10","2","25021","29","2","25014","130"
"46","284001046","8","91002","10","2","25021","30","2","25014","132"
"47","284001047","8","91002","10","2","25021","30","2","25014","135"
"48","284001048","8","91002","10","2","25021","31","2","25014","137"
"49","284001049","8","91002","10","2","25021","31","2","25014","139"
"50","284001050","8","91002","30","2","25021","31","2","25014","142"
