5e774f34b6eb0d1775a16052173258678dfe8f9df738dc4f69ddb28568605d6a,36d0ed5e992237aa181449346ae704a1a427a1e6132456bd2f40c9e4c37ed08c,159639da14371d1fbe000084da9d5a38c2d12f42d07158a11ef99f3a39725515,844d98174cb17bd1be24526e4726d4979888bf7958579f398b3119f445148b60,cd38a8889f977db7a009817f3ac077dfb61c590cc333f53af2326cc093758c69,0a9e125fe421b22aea6da09633434bfb14d4ea26642a8bbe005c5fe73f985489
"1","0","10008","10008001","1","10008103"
"2","0","10008","10008002","1","10008104"
"3","0","10008","10008003","1","10008105"
"4","0","10008","10008004","1","10008107"
"5","0","10008","10008005","1","10008111"
"201","0","10008","10008006","2","0"
"101","0","10008","10008201","201","10008105"
"102","0","10008","10008202","201","10008107"
"103","0","10008","10008203","201","10008111"
"111","0","10008","10008204","202","10008115"
"105601","0","10008","10008301","101","0"
"100901","0","10008","10008302","101","10008103"
"101301","0","10008","10008303","101","10008104"
"105601","0","10008","10008304","101","10008105"
"101301","0","10008","10008305","101","10008107"
"100901","0","10008","10008306","101","10008111"
"105601","0","10008","10008307","102","0"
"201","0","10010","10010001","2","0"
"2","0","10010","10010002","1","10010112"
"3","0","10010","10010003","1","10010115"
"4","0","10010","10010004","1","10010103"
"5","0","10010","10010005","1","10010105"
"6","0","10010","10010006","1","10010107"
"7","0","10010","10010007","1","10010109"
"101","0","10010","10010201","211","10010112"
"0","0","10010","10010202","211","10010115"
"101461","101471","10010","10010501","501","10010110"
"101462","101472","10010","10010502","501","10010110"
"101463","101473","10010","10010503","501","10010110"
"211","0","10010","10010531","3","1001004"
"1","0","10012","10012001","4","1001201"
"2","0","10012","10012002","4","1001202"
"3","0","10012","10012003","4","1001203"
"4","0","10012","10012004","4","1001204"
"101","0","10012","10012301","5","1001201"
"101","0","10012","10012302","5","1001202"
"101","0","10012","10012303","5","1001203"
"501","0","10012","10012401","6","0"
"211","0","10012","10012531","3","1001204"
"211","0","10013","10013531","3","1001304"
"211","0","10015","10015531","3","1001504"
"1","0","10017","10017001","1","10017102"
"2","0","10017","10017002","1","10017108"
"3","0","10017","10017003","1","10017115"
"105801","0","10017","10017301","101","0"
"109901","0","10017","10017302","101","10017102"
"109901","0","10017","10017303","102","0"
"211","0","10017","10017531","3","1001704"
"101921","101931","10021","10021001","501","10021112"
"101922","101932","10021","10021002","501","10021112"
"101923","101933","10021","10021003","501","10021112"
"100011","100351","10021","10021004","501","10021112"
