b1c27def9b43f331849a7a20f253baffbed38d1f1778fecfe94e86ac6328f3a4,e5f664ff0ba8a66138edc5ac9ebb2d08b502f3296e0ccb20f31df4d2845a852b,dd484f40b1013cd79eb7e16e30fa3bec8f9439e03b3426a7ca7061bc0036d7d7,575a6602622a838d4f7af728b677fe5d84b34df0682a63f7df70501650405f8e,e6396292141f606c23a09f89cee32928059ee48cf6e83bcfc6e47f6ec981dfaa,5c3a9fc9a4735e9fec7c4a938f17616718e6fdd5906bf9c6ef36921691e4029b,46c551a832c004f5719b818d2b19ab19403502e124f1b4393639c8d34ce89e54
"105","105","105","2","1","3","1"
"105","120","120","2","1","3","2"
"100","100","120","2","1","3","3"
"105","120","120","2","1","3","4"
"105","105","120","2","1","3","5"
"100","100","105","2","1","3","6"
"120","100","105","2","1","3","7"
"100","100","105","2","1","3","8"
"105","120","120","2","1","3","9"
"120","100","105","2","1","3","10"
"100","105","100","2","1","3","11"
"105","120","120","2","1","3","12"
"105","105","105","2","1","3","13"
"105","120","105","2","1","3","14"
"120","120","120","2","1","3","15"
"100","100","100","2","1","3","16"
"120","105","120","2","1","3","17"
"120","120","105","2","1","3","18"
"105","105","100","2","1","3","19"
"100","105","105","2","1","3","20"
"100","105","100","2","1","3","21"
"120","120","120","2","1","3","22"
"105","100","100","2","1","3","23"
"120","120","120","2","1","3","24"
"105","105","120","2","1","3","25"
"100","100","100","2","1","3","26"
"100","100","100","2","1","3","27"
"100","100","100","2","1","3","28"
"120","120","120","2","1","3","29"
"105","120","105","2","1","3","30"
