c6d6fc333af151ebe3ab89898c7a291fde39563b483a0fe11080818268c513f8,9c8f01bf548a4b201746250b394aca3a58ca54947d975896f389a2519a652abd,cdb7b0fe2ca4a842fd45b01319bc15f98c87b90d5b07224388ab05aec200b6c9,4476ae20608935a29bdf5e2280ace0c8986ef53958f075be006e5c431c3d1d5f,082751f2fd281ae172f99c62ce0946bd939e423bf76b34b876eafd10276c6b86,c47960d9ac19836a2c03b8b23ff94f76c322770bb002eb923e91bb9324d0673b,b9d5ae1df235a1068b285a72617a1fbf02c6fc92126a11d6dd7a0633e293b0a3,305e38911875fe815867ff96aa92a5cc166f995b8561e5f38a8b57f54d6030fa,f38490322ba6643b9533be558ad43636baae448654d8a57650c2bcca371c3f2c,5e7602ad2a42f9842a866038a9a8e9d04a43a0ad6957b1f7aa47a0ec63f790b9,46b4a280ea08f0c82c5f007a2bfc2da8a73b6745ee156482bab07d3da28b4255
"0","10001","2","10001001","0.65","50","0","2","5","-622","empty"
"0","10001","1","10001002","0.65","51","0","1","5","-622","empty"
"1","10001","1","10001003","0","1","0","2","6","0",""
"1","10001","1","10001004","0","1","0","1","6","0",""
"0","10001","10001","10001005","0","0","","10001","31","1",""
"","10001","0","10001006","","","","0","91","",""
"1","10001","1","10001007","0.2","1","0","2","6","1",""
"1","10001","1","10001008","0.2","1","0","1","6","1",""
"0.3","10001","0","10001009","","-472","0","2","2","14",""
"0.3","10001","0","10001010","","-472","0","1","2","14",""
"","10001","limitedMission_congratulations","10001011","0","0","","2","3","",""
"","10001","limitedMission_congratulations","10001012","0","0","","1","3","",""
"","10001","1","10001013","","","","10001","32","",""
"","10001","0","10001014","","","","3","93","",""
"1","10001","1","10001015","0.2","1","0","2","6","0",""
"1","10001","1","10001016","0.2","1","0","1","6","0",""
"","10001","0","10001017","","","","0.2","93","",""
