86b520461386041ba9e22a98d5065901c58fecab3b0b5a3ceaaddb925f29b943,60f1db1e4a5d1d4960760048c8a711749e9c685ed8a23ce34e093775a632d142,6fe49bc99ea315e5ac6ea394df976f5bd69fb8ed6404548dac5d076e948dacce,3befab1213a15bc1ffaa863c8c4ae31f07aa526eae9618b87e1c494716d3ef50,87efc92be23a40d6d02c6a846091e2cf241834711cd5679fe6b73ae6a81ea019,0467220ad06827b4cd6443b944ae3ce4d685f3e6e51c799cc03c955d6b3c6f9f,ae5f09bb5da7732ac8cf0e556712cfae7fbb59922efe3624a8cf7c026971f305,3092f5177fdbad5ed68597359e070a9b06264d98cb35145c4b18c4ec95b011c3,0028531ad830dd6d58186abd823d583dca76ccd162122c2c87bcc247adb19dd0,eadc9877899807a2b64242078f4998e90afa295459df34e89843d20334fa7a27,27dbf1ee9ba2d7f436e59d33590e5af3ce94ba5c2274392a44481cab9e20f0d7,4bfd1f587aab2098616eec83fafb80bfba4da242d88f717412ac4fe5e6157dde
"0","2","3","0","3001","3001","-1","0","3001","1","バトル開始時、味方のＴＰが250アップ","TP250アップ"
"0","2","3","0","3002","3002","-1","0","3002","1","バトル開始時、味方のＴＰが250アップ","TP250アップ"
"0","2","3","0","3003","3003","-1","0","3003","1","バトル開始時、味方のＴＰが250アップ","TP250アップ"
"0","2","3","0","3004","3004","-1","0","3004","1","バトル開始時、味方のＴＰが250アップ","TP250アップ"
"0","2","3","0","3006","3006","-1","0","3006","3","バトル開始時、味方のＴＰが1000アップ","TP1000アップ"
"0","2","3","0","3007","3007","-1","0","3007","3","バトル開始時、味方のＴＰが1000アップ","TP1000アップ"
"13125000000000","3","3","0","30011","3001","25200","9006503","30011","1","バトル開始から90秒間、味方の物理攻撃力がアップ","物理攻撃アップ90秒"
"9000000000000","3","3","0","30012","3001","72000","9006504","30012","1","バトル開始から90秒間、敵の物理防御力がダウン","物理防御ダウン90秒"
"9000000000000","3","3","0","30021","3002","39600","9006506","30021","1","バトル開始から90秒間、味方のＨＰが毎秒回復","毎秒ＨＰ回復90秒"
"4500000000000","3","3","0","30022","3002","72000","9006507","30022","1","バトル開始から90秒間、味方のＴＰが毎秒アップ","毎秒ＴＰアップ90秒"
"8700000000000","3","3","0","30031","3003","43200","9006509","30031","1","バトル開始から15秒間、味方が無敵状態になる","無敵15秒"
"6000000000000","3","3","0","30032","3003","72000","9006510","30032","1","バトル開始から90秒間、敵の魔法攻撃力がダウン","魔法攻撃ダウン90秒"
"12600000000000","3","3","0","30041","3004","32400","9006512","30041","1","バトル開始から15秒間、敵がスタン状態になる","スタン15秒"
"9000000000000","3","3","0","30042","3004","43200","9006513","30042","1","バトル開始から90秒間、敵の物理防御力がダウン","物理防御ダウン90秒"
"38280000000000","3","3","0","30051","3005","43200","9006516","30051","2","バトル開始から90秒間、味方の魔法攻撃力がアップ","魔法攻撃アップ90秒"
