434729ae3ba73e739b06f872d03530dc9b89a6cd36fb05f1fe29aa764d4e6bb9,f057d66c7dd9897facdbd3b59b661cfebe4b503fca1658fa449f62d717c84755,1583aea0890c8ee673e0844fe78f835488690b86206b2c6952eef6b99dc11c9f,a0c440acad8292f5b78fbf6860276031e8c0d8b09d056363e709316e17c19b5b,26487edfd223916104b7d9c2296b31f94b0834af24e806495da6b1430ba6b648,af892aac10650802a89009cb697585f7e07e8cad33e580158686e779f0835a63
"0","5035005","5035004","10036","0","0"
"0","5058005","5058004","10059","0","0"
"10062115","0","0","10063","10062","1006201"
"10084115","0","0","10085","10084","1008401"
"10086115","0","0","10087","10086","1008601"
"10110115","0","0","10111","10110","1011001"
"10112115","0","0","10113","10112","1011201"
"10136110","0","0","10137","10136","1013601"
"10138115","0","0","10139","10138","1013801"
"20033115","0","0","20034","20033","2003301"
"20046115","0","0","20047","20046","2004601"
