59fcb0fb6e1ddaeb4b64e1c4e9e515d194480fd105952f431824435eb7a3a39a,a034d1865d1b9ace56aa7246313494cf190f931456cd2a693f001e88fbda7ffc,2f7285b7a2df4cbe8760c79a4582a61735aaa06171b89fc9e60a4957ae2d2b44,571c3b21f66fb160064a19fd99648c8eb70df4da07cb517479a28f9a7e4b1208,d18a84499ce5c03bc81ed6618e3aea3c67293caedfc5e260c412a51727055db9,fb229c8b61e92d5a0809fd9dbe0dba4bf46c149fdf5a286ab2c5ed30ceb18d1f,2e63b1c492e30921dcfffdafa8192aaedcd79a34cf6eec4d2c33753174211c64,7e9ecbf7ecdf3d419c2225f820f28504e93ba5686abae36141ad8d127b3a5cc7,3eaaa3be3855ae99c765b264b3661d5a2ee31354788ae387ab6e73828a53c18b,ccf04b495879c8133d6694621a6f88cf8f0eadc9a51e2a9474f12e81764b93a0,ffcdfdf445149c884e3745ff61168b5102f11231a72dce48ab57dab04c191dc2,1b0ab9bd6c273c24afe0cee4be409839c133897a953342f2ce71d82b4242089e,2dc89b4d1cf11ca83ad438b192c0a7480ee717ecb397b538541ee2029043a317,6cc48a9fe7ff937069bff62352b0612b6442eee08f686e7d8568c54208161475,825c57409f8e8321b0ca80b1e90249eb9cae1f42f28bf93e7287d81c9501688b,d117680f9cd1f1dc7e768341f64d5bf87df541a5204d1b4f31560d3758d163a0,389e9ef8bc15861e3c5f60a8a18b87d8e6dc27f548ea8f056599bf6b8d69798d,4b1950d9867bd0d869cbc517ffa4d284ea37e5466a8407d99d141427eff9c1d6,327834a5262e5a72ad1a131a92ecd547cd874ba8e8061d6b4824adaec8a44690,f43a2f58a55d549a834763f42b28cb88681e8b04fa285b62117f4eec886e7f35,df2d4944cb7ac7ed8a437cfdd0bb8f3e707336deb31dcba2a8e3a20e648166fd
"3","30","0","0","1","-1","1","1","1","0","敵単体に{0}の物理ダメージ","0","100100101","1","2.4","0","0","1","30","0","単体物理ダメージ+{0}"
"3","0","0","0","1","-1","99","3","3","0","","0","100100102","1","500","0","0","1","50","0",""
"3","13.5","0","0","2","400","99","1","1","0","範囲内の敵に{0}の物理ダメージ","0","100100103","1","1.08","0","0","1","13.5","0","範囲物理ダメージ+{0}"
"3","20","0","0","1","-1","1","1","1","0","敵単体に{0}の物理ダメージ","0","100100201","1","1.6","0","0","1","20","0","物理ダメージ+{0}"
"1","8","0","0","1","0","1","1","1","0","敵単体に{0}の物理ダメージ","0","100100301","1","0.6","0","0","1","8","0","物理ダメージ+{0}"
"7","11","0","1","1","0","1","10","10","0","自分の物理攻撃力を{0}アップ","12","100100302","2","11","0","0","1","1","1","物理攻撃力アップ+{0}"
"3","60","0","0","1","-1","1","1","1","0","敵単体に{0}の物理ダメージ","0","100101101","1","4.8","0","0","1","60","0","単体物理ダメージ+{0}"
"3","45","0","0","2","600","99","1","1","0","範囲内の敵に{0}の物理ダメージ","0","100101102","1","3.6","0","0","1","45","0","範囲物理ダメージ+{0}"
"3","20","0","0","1","-1","1","1","1","0","敵単体に{0}の物理ダメージ","0","100101201","1","1.6","0","0","1","20","0","単体物理ダメージ+{0}"
"3","9","0","0","2","400","99","1","1","0","範囲内の敵に{0}の物理ダメージ","0","100101202","1","0.72","0","0","1","9","0","範囲物理ダメージ+{0}"
"0","15","0","0","0","0","0","2","90","0","自分の物理攻撃力を{0}アップ","1","100150101","0","15","0","0","1","1","0","物理攻撃力アップ+{0}"
"0","240","0","0","0","0","0","2","90","0","自分の物理攻撃力を{0}アップ","1","100151101","0","15","0","0","1","1","0","物理攻撃力アップ+{0}"
