edde89b995a87344ba6039845a3e342ae979591c8898795a36b6cb65d1ca9733,deb3ebb6b48a0be68b16e53a2e3f4a716235bbfaccfceb799410fa8ac3fb1969,2d0f485944c8c778119b36be658b1889d1a96b491c2ebfc350bec8d3cedb9059,f36bf50d9ba42df8984e0d776808ab877cd5be549df64833ac724d2b01cc0183,a23737751348de3f10582c10a87a0437de1263746b3bc8aac017eb91fe9d903c,7eaf074d0a0f47e0e11ab4f8e547b80d1b90c1db1fb7f9b4ca316c6345a8e62b,6e6c167c78a4182d7ba4445a01e2eb212b64578640cf2b945a864fb13025a48d,b426e725bf3d0cfb2c9faa3556525467c9349c770198d089778934f74af10d8d
"1","1","1","0","0","52001","【料理】ダイスが2個に増える","1"
"1","1","1","0","0","52002","【料理】ダイスの目が必ず「1」になる","2"
"2","3","1","0","0","52002","【料理】次のターン数のカウントをスキップする","3"
"1","1","1","0","0","52004","【料理】ダイスの目が必ず「4」になる","4"
"1","1","1","0","0","52006","【料理】ダイスの目が\n「4・5・6」のみになる","5"
"1","1","1","0","0","52007","【料理】ダイスの目が1回目は必ず「3」に、2回目は必ず「6」になる","6"
"1","1","1","0","0","52003","【料理】ダイスの目が必ず「5」になる","7"
"7","2","1","0","0","52008","【料理】マイルマスの獲得マイルが200%アップする","8"
"2","3","2","0","0","4","【イベント】次のターン数のカウントをスキップする","9"
"3","2","2","0","0","5","【イベント】マイルマスの獲得マイルが100%アップする","10"
"5","2","2","0","0","6","【イベント】ミニゲームの獲得マイルが100%アップする","11"
"4","3","2","0","0","7","【イベント】マイルショップの全商品が20%以上割引される","12"
"1","1","1","0","0","52009","【料理】ダイスの目が1回目は必ず「8」に、2回目は必ず「1」になる","13"
"6","2","1","0","0","52010","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","14"
"1","1","1","0","0","52011","【料理】ダイスの目が1回目は必ず「2」に、2回目は必ず「7」になる","15"
"1","1","1","0","0","52012","【料理】ダイスの目が\n「1・2・3」のみになる","16"
"2","3","1","0","0","52012","【料理】次のターン数のカウントをスキップする","17"
"8","1","1","0","0","52014","【料理】移動時にマイルマスをスキップできる","18"
"1","1","1","0","0","52005","【料理】次回移動時に1マス分多く進める","19"
"1","1","1","2","2","52014","【料理】次回移動時に1マス分多く進める","20"
"1","1","1","0","0","52015","【料理】ダイスが2個に増える","21"
"1","1","1","0","0","52015","【料理】次回移動時に1マス分多く進める","22"
"1","1","1","0","0","52016","【料理】ダイスの目が必ず「6」になる","23"
"9","1","1","0","0","52017","【料理】移動系カテゴリーの料理が食べられなくなる","24"
"1","1","1","0","0","52018","【料理】ダイスの目が必ず「3」になる","25"
"1","1","1","0","0","52019","【料理】ダイスの目が必ず「8」になる","26"
"2","3","2","0","0","98011","【イベント】次のターン数のカウントをスキップする","27"
"2","3","2","0","0","98012","【イベント】次のターン数のカウントをスキップする","28"
"10","2","1","0","0","52020","【料理】移動時にマイルマスをスキップできる","29"
"1","1","1","2","2","52020","【料理】次回移動時に1マス分多く進める","30"
"10","2","1","0","0","52021","【料理】移動時にトレジャーマスをスキップできる","31"
"1","1","1","0","0","52022","【料理】ダイスの「5と6」の\n目が出る確率が3倍になる","32"
"1","1","1","0","0","52023","【料理】ダイスの目が1回目は必ず「6」に、2回目は必ず「3」になる","33"
"1","1","1","0","0","52024","【料理】次回移動時に3マス分多く進める","34"
"10","2","1","0","0","52025","【料理】移動時に「マイルマス」「トレジャーマス」をスキップできる","35"
"1","1","1","0","0","52027","【料理】ダイスの目が必ず「5」になる","36"
"1","1","1","0","0","52028","【料理】ダイスの目が\n「1・2」のみになる","37"
"1","1","1","0","0","52029","【料理】ダイスの目が必ず「2」になる","38"
"2","3","1","0","0","52029","【料理】次のターン数のカウントをスキップする","39"
"4","3","2","0","0","8","【イベント】マイルショップの全商品が20%以上割引される","40"
"11","3","1","0","0","52030","【料理】「マイルマス」を「トレジャーマス」に変化させる","41"
"1","1","1","0","0","52031","【料理】ダイスの目が\n「1・6・6・6・8・8」になる","42"
"99","1","3","0","0","1","最大ｎマイルを入手する","1001"
"99","1","3","0","0","2","ダイスを1回振りなおせる","1002"
"99","1","3","0","0","3","ダイスを1回振りなおせる_有効ターン2","1003"
"126501","1","3","0","0","1001","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","11001"
"105301","1","3","0","0","1002","【仲間】最大1000マイルを入手する","11002"
"126401","1","3","0","0","1003","【仲間】料理を1つ入手する","11003"
"100501","1","3","0","0","1004","【仲間】ダイスの目を1回振りなおせる","11004"
"101301","1","3","0","0","1005","【仲間】ダイスの目を2回振りなおせる","11005"
"104301","1","3","0","0","1006","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","11006"
"102701","1","3","0","0","1007","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","11007"
"100901","1","3","0","0","1008","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","11008"
"105101","1","3","0","0","1009","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","11009"
"101801","1","3","0","0","1010","【仲間】最大1000マイルを入手する","11010"
"129701","1","3","0","0","1011","【仲間】ダイスの表と裏どちらを適用するか選択できる","11011"
"101601","1","3","0","0","1012","【仲間】ダイスの目を1回振りなおせる","11012"
"105601","1","3","0","0","1013","【仲間】ダイスの目を2回振りなおせる","11013"
"102001","1","3","0","0","1014","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","11014"
"129601","1","3","0","0","1015","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","11015"
"100401","1","3","0","0","1016","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","11016"
"127701","1","3","0","0","1017","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","11017"
"127801","1","3","0","0","1018","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","11018"
"104801","1","3","0","0","1019","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","11019"
"104701","1","3","0","0","1020","【仲間】ダイスの目を2回振りなおせる","11020"
"105001","1","3","0","0","1021","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","11021"
"103201","1","3","0","0","1022","【仲間】最大2000マイルを入手する","11022"
"130901","1","3","0","0","1023","【仲間】福引券を1枚入手する","11023"
"102501","1","3","0","0","1024","【仲間】料理を1つ入手する","11024"
"100801","1","3","0","0","1025","【仲間】ダイスの表と裏どちらを適用するか選択できる","11025"
"123301","1","3","0","0","1026","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","11026"
"104601","1","3","0","0","1027","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","11027"
"118101","1","3","0","0","1028","【仲間】ダイスの目を2回振りなおせる","11028"
"103401","1","3","0","0","1029","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","11029"
"118001","1","3","0","0","1030","【仲間】最大2000マイルを入手する","11030"
"102801","1","3","0","0","1031","【仲間】福引券を1枚入手する","11031"
"100201","1","3","0","0","1032","【仲間】料理を1つ入手する","11032"
