984ffe35d2d50b786bc6867fec7b32159d433535d0feece88ce97584959befff,5cd7401abfeeac2872299a0b6911b767766610f90ab1be243dda1f98492a9d00,451955ebc8975f4d2778cda7e201c3d57e363cbe0037db80a27f5418622332ee,a848f14f1224580a7b9e4a6153f68fa319e52aa0e56bfe9ab06a380549376cc9,c36f24d47067743d762aa2ac33f989d7b54c9729dc2c328be06bf468f9a60c37,f62c8674f174c78ec53ea45b41f1ea710737b811e666ed8a95a0380266634c71,696a423ece9b435f2effa484cb703bd7f3a3f57ceedc3dc16d7cad131e0cf665,106174e050707a16648d803d36394891489d4007fe421b5233e2fe15f2c221ff,907886a4809385368d71c9878f81a4cd797be7dad2ed45d285c54788366b1a73,4119d278f8c2a937478309ebc682b7bb396a806bf8c8b05fb5e2bd38dcf2132e,8befdda3106fc7aa72eae6066881414452609f525dc45dfac100c6afe3ec5c2b,d3874766dfd5c2f7d8323f671394c1f2a4b39c6e06033113b5e836707de37000
"5154062","0","0","0","0.8","4","1","1","0","0","0","515406201"
"5154062","0","0","0","0","2","2","0","vo_abd_0101","vo_abd","0","515406202"
"5154062","1","2","0","0","1","3","0","0","0","300","515406203"
"5154062","0","0","0","2.1","4","4","1","0","0","0","515406204"
"5154062","0","0","0","0","2","5","0","vo_abd_0102","vo_abd","0","515406205"
"5154062","2","2.05","0","0","1","6","0","0","0","400","515406206"
"5154062","0","0","0","3.2","4","7","1","0","0","0","515406207"
"5154062","0","0","0","0","2","8","0","vo_abd_0103","vo_abd","0","515406208"
"5154062","3","1","0","0","1","9","0","0","0","60","515406209"
"5154062","0","0","0","1.4","4","10","1","0","0","0","515406210"
"5154062","3","2.5","60","0","1","11","0","0","0","430","515406211"
"5154062","0","0","0","3.3","4","12","1","0","0","0","515406212"
"5154062","0","0","0","0","2","13","0","vo_abd_0104","vo_abd","0","515406213"
"5154062","4","0.2","0","0","1","14","0","0","0","27","515406214"
"5154062","0","0","0","0.5","4","15","1","0","0","0","515406215"
"5154062","4","0.2","27","0","1","16","0","0","0","60","515406216"
"5154062","0","0","0","0.6","4","17","1","0","0","0","515406217"
"5154062","4","0.8","60","0","1","18","0","0","0","145","515406218"
"5154062","0","0","0","1.2","4","19","1","0","0","0","515406219"
"5154062","4","1.8","145","0","1","20","0","0","0","400","515406220"
"5154062","0","0","0","2.2","4","21","1","0","0","0","515406221"
"5154062","0","0","0","0","2","22","0","vo_abd_0105","vo_abd","0","515406222"
"5154062","5","0.6","0","0","1","23","0","0","0","95","515406223"
"5154062","0","0","0","1","4","24","1","0","0","0","515406224"
"5154062","5","0.7","95","0","1","25","0","0","0","195","515406225"
"5154062","0","0","0","1.5","4","26","1","0","0","0","515406226"
"5154062","5","0.8","195","0","1","27","0","0","0","315","515406227"
"5154062","0","0","0","1","4","28","1","0","0","0","515406228"
"5154062","5","0.7","315","0","1","29","0","0","0","415","515406229"
"5154062","0","0","0","2","4","30","1","0","0","0","515406230"
"5154062","0","0","0","0","2","31","0","vo_abd_0106","vo_abd","0","515406231"
"5154062","6","1","0","0","1","32","0","0","0","160","515406232"
"5154062","0","0","0","1.3","4","33","1","0","0","0","515406233"
"5154062","6","1","160","0","1","34","0","0","0","415","515406234"
"5154062","0","0","0","2.3","4","35","1","0","0","0","515406235"
"5154062","0","0","0","0","2","36","0","vo_abd_0107","vo_abd","0","515406236"
"5154062","7","0.7","0","0","1","37","0","0","0","85","515406237"
"5154062","0","0","0","0.8","4","38","1","0","0","0","515406238"
"5154062","7","0.8","85","0","1","39","0","0","0","360","515406239"
