040811f62afd53ab5a73ff03deb1137fecdc8719bea8c3ef08ddee3a3a081a68,5e589494f40d55b5e97d458647e469edec847ecf2ecfaa8efe8cd1da7963165e,97419cbe130a93e3e3b0152c9fe3b38ecf9cc3c3c7f025e1661ccd3dcabcf1cc,0789ae1ef33d35842fd79bf0462cd045715e955e51d6d4908df726226eded837,3d1dbd11a83c9ee1a01d7a78367f2df08231dd6f12e5a12525138538f1a6db8b,86543d064047e038aa3398150388076051ec00276e35407d16141908d6995bf7,3414766be5ae4c1e0696336f5b66a53372ff7ce4015bb038d79faf6c711f6f84,eb3d44209b9ca7a62f033bc256fd5f40eea8f396de4e8aff066b29703bad0c47,7f53f2310030643b9bb49a2198fe1489fb4c40c5298f6c5e31731fbfcc88ee18,08895b0274687ea18b568d9e0092a94daffffc83d43f4358e86810238e6f5998,3a3cc1c1d4eeaa5fc05cca18c2ec802f5608ccdca9c32e45a05dd8f0481ca35f,ac092d9bea65ec9cbf380b7ce082a5886f6cdc79722cc1aabc4c1aa23b094053
"610201102","5.5","0","1","0","1","0","5201322","5201321","5","10201201","70"
"610201103","1.5","600","2","3","3","15","5201323","0","5","10201201","0"
"610201104","1.5","0","3","0","1","0","0","0","5","10201201","0"
"610201105","5.5","0","1","0","1","0","0","0","5","10201501","70"
"610201106","1.5","600","2","3","3","15","0","0","5","10201501","0"
"610201107","1.5","0","3","0","1","0","0","0","5","10201501","0"
"610201152","5.5","600","1","3","2","0","5201332","5201331","5","10201251","0"
"610201153","1.5","0","2","0","1","0","5201333","0","5","10201251","65"
"610201154","1.5","0","3","0","1","0","0","0","5","10201251","0"
"610201155","5.5","600","1","3","2","0","0","0","5","10201551","0"
"610201156","1.5","0","2","0","1","0","0","0","5","10201551","65"
"610201157","1.5","0","3","0","1","0","0","0","5","10201551","0"
"610202102","5.5","600","1","3","2","0","5202322","5202321","5","10202201","0"
"610202103","1.5","0","2","0","1","0","5202323","0","5","10202201","70"
"610202104","1.5","0","3","0","1","0","0","0","5","10202201","0"
"610202105","5.5","600","1","3","2","0","0","0","5","10202501","0"
"610202106","1.5","0","2","0","1","0","0","0","5","10202501","70"
"610202107","1.5","0","3","0","1","0","0","0","5","10202501","0"
"610203102","5.5","600","1","3","2","0","5203322","5203321","5","10203201","0"
"610203103","1.5","0","2","0","1","0","5203323","0","5","10203201","66"
"610203104","1.5","0","3","0","1","0","0","0","5","10203201","0"
"610203105","5.5","600","1","3","2","0","0","0","5","10203501","0"
"610203106","1.5","0","2","0","1","0","0","0","5","10203501","66"
"610203107","1.5","0","3","0","1","0","0","0","5","10203501","0"
"610204102","5.5","600","1","3","2","0","5204322","5204321","5","10204201","0"
"610204103","1.5","0","2","0","1","0","5204323","0","5","10204201","60"
"610204104","1.5","0","3","0","1","0","0","0","5","10204201","0"
"610204105","5.5","600","1","3","2","0","0","0","5","10204501","0"
"610204106","1.5","0","2","0","1","0","0","0","5","10204501","80"
"610204107","1.5","0","3","0","1","0","0","0","5","10204501","0"
