f10397f41003facb680ad2d12953efba1c3139a277f830f262ffd434106f486c,9027c7dec44db4e2b8f3335cf17587efec2663606097bfc072b30832fda7ef4a,ce7029be5d43e6f74bdabaef6891bca61e182cf3b3f4006a19e977a2e7edfb68
"1","1","114601"
"2","2","114701"
"3","3","115601"
"4","5","115801"
"5","6","116801"
"6","7","117401"
"7","8","117801"
"8","9","119201"
"9","10","120801"
"10","12","121201"
"11","13","122101"
"12","14","122401"
"13","15","122801"
"14","16","123501"
"15","17","124101"
"16","20","124701"
"17","21","124901"
"18","22","125701"
"19","24","126701"
"20","25","127001"
"21","27","128301"
"22","28","128801"
