5124d27a5798411f4327b45ec2004b13b545617a840a8cea8bf21c6e244ba8d4,fbf33d12b683bb33dbb8815143233b02f7ed0422a5a290b5a853b887bd1f6c89,d0232740b9edbc9debe52bac833344678ca6ecfa1cf12222ef84cffff5a578b5,7699d553927376fb7a6a94d0e24fed31f255535cc67d8b467a6cffc495f26cd2,a71d3ffd7e1f0416d22c5b5136e058c1727efa692b90e98cb809a3f314123a93,2002e1611e9dd0c0bfb0fc4a3d4d59d48645d4f678937db66d49e5e15229e57c,2489512fef906253b614f8bca5a0742817d4574b575da7545507adc2d8769f17,6b69a2310528fe8ea7e62706528aa8542df024368b8c1c97afc990e3ddd501c5
"70000","110001","ガーゴイル（EASY）をクリアしよう","111","0","90110001","1","110001"
"70000","110001","ガーゴイル（NORMAL）をクリアしよう","112","0","90110002","1","110002"
"70000","110001","ガーゴイル（HARD）をクリアしよう","113","0","90110003","1","110003"
"70000","110001","ガーゴイル（VERY HARD）をクリアしよう","114","0","90110004","1","110004"
"70000","110001","ガーゴイル（EXTREME）をクリアしよう","115","0","90110005","1","110005"
"70000","110001","マグスガーゴイル（EASY）をクリアしよう","121","0","90120001","1","120001"
"70000","110001","マグスガーゴイル（NORMAL）をクリアしよう","122","0","90120002","1","120002"
"70000","110001","マグスガーゴイル（HARD）をクリアしよう","123","0","90120003","1","120003"
"70000","110001","マグスガーゴイル（VERY HARD）をクリアしよう","124","0","90120004","1","120004"
"70000","110001","マグスガーゴイル（EXTREME）をクリアしよう","125","0","90120005","1","120005"
"70000","110001","ガードガーゴイル（EASY）をクリアしよう","131","0","90130001","1","130001"
"70000","110001","ガードガーゴイル（NORMAL）をクリアしよう","132","0","90130002","1","130002"
"70000","110001","ガードガーゴイル（HARD）をクリアしよう","133","0","90130003","1","130003"
"70000","110001","ガードガーゴイル（VERY HARD）をクリアしよう","134","0","90130004","1","130004"
"70000","110001","ガードガーゴイル（EXTREME）をクリアしよう","135","0","90130005","1","130005"
"70000","110001","ガーゴイル・バースト（EASY）をクリアしよう","141","0","90140001","1","140001"
"70000","110001","ガーゴイル・バースト（NORMAL）をクリアしよう","142","0","90140002","1","140002"
"70000","110001","ガーゴイル・バースト（HARD）をクリアしよう","143","0","90140003","1","140003"
"70000","110001","ガーゴイル・バースト（VERY HARD）をクリアしよう","144","0","90140004","1","140004"
"70000","110001","ガーゴイル・バースト（EXTREME）をクリアしよう","145","0","90140005","1","140005"
"70000","110001","ガーゴイル・マギ（EASY）をクリアしよう","151","0","90150001","1","150001"
"70000","110001","ガーゴイル・マギ（NORMAL）をクリアしよう","152","0","90150002","1","150002"
"70000","110001","ガーゴイル・マギ（HARD）をクリアしよう","153","0","90150003","1","150003"
"70000","110001","ガーゴイル・マギ（VERY HARD）をクリアしよう","154","0","90150004","1","150004"
"70000","110001","ガーゴイル・マギ（EXTREME）をクリアしよう","155","0","90150005","1","150005"
