11e2bb45bcc2dfbff455d350f71cc27b92855626f8ef5864ced467552a207661,dbeac3930356b32f0b3063d0dfcc07c83b809f5718f287d3b047f4199762ffdb,453496937bae5f2ce92a5a26db37e69fe32ec9780974c7fd5c60daba62234972,47726a5b935e937e59006ed4900219b541ccbf9cbc60e424815e4e5ef94a097f,1344969a54b7c3f88e9e7b6bbb44cd92382b43c96517c9c681c6a2ec6d817600,8de3e6e9cfe84bec9d75efcd81a2ca183c4a38c1cf831f85832732df0c1ec5e0,0ff3c2adb3934f6e0b91bab2c8b792aa7e4704ce32d3ea079000105e4464825c,2f8574ffa2f8f257919da51b317432da4db11b197b009c428e324b12067f9c6a
"11011","21_role_tank","タンクロールの\nランダムサイン×2\n＋アルファルピ×200","192801","タンクを\n仲間にしたい！","11011","0","0"
"11012","22_role_healer","ヒーラーロールの\nランダムサイン×2\n＋アルファルピ×200","192801","ヒーラーを\n仲間にしたい！","11012","0","0"
"11021","23_role_booster","ブースターロールの\nランダムサイン×2\n＋アルファルピ×200","192801","ブースターを\n仲間にしたい！","11021","0","0"
"11022","24_role_buffer","バッファーロールの\nランダムサイン×2\n＋アルファルピ×200","192801","バッファーを\n仲間にしたい！","11022","0","0"
"11031","25_role_debuffer","デバッファーロールの\nランダムサイン×2\n＋アルファルピ×200","192901","デバッファーを\n仲間にしたい！","11031","0","0"
"11032","26_role_jammer","ジャマーロールの\nランダムサイン×2\n＋アルファルピ×200","192901","ジャマーを\n仲間にしたい！","11032","0","0"
"11041","27_role_attacker","アタッカーロールの\nランダムサイン×2\n＋アルファルピ×200","192901","アタッカーを\n仲間にしたい！","11041","0","0"
"11042","28_role_breaker","ブレイカーロールの\nランダムサイン×2\n＋アルファルピ×200","192901","ブレイカーを\n仲間にしたい！","11042","0","0"
"11051","41_matsuri_guts","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×200","100501","腕試しッス！","11051","0","0"
"11052","42_chris_cool","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×300","107101","強敵との戦いは心躍る！","11052","0","0"
"11071","71_suzume_sad","50％で★2迷宮遺物×1\n50％で★3迷宮遺物×1","102501","用心して近づきましょう","11071","2000","1"
"11072","72_ayane_handsup","50％でランダムなロールの\nセレクトサイン×1\n50％でオールセレクトサイン×1","102301","ぷうきち\nフルスイ～ング☆","11072","2000","1"
"11073","73_kurumi_wish","50％でアルファルピ×1500\n50％でアルファルピ×2000","102101","触っても\n大丈夫かな……？","11073","0","0"
"11081","82_akino_pointing","50％で★1迷宮遺物×1\n50％でランダムなロールの\nランダムサイン×2","103201","右に決まっていますわ！","11081","0","0"
"11082","81_saren_pointing","アルファルピ×1000","102801","左じゃないかしら？","11082","0","0"
"11091","41_matsuri_guts","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×300","100501","腕試しッス！","11091","0","0"
"11092","42_chris_cool","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×450","107101","強敵との戦いは心躍る！","11092","0","0"
"11101","31_hiyori_gu","勝つとアルファルピ×3000\n負けるとアルファルピ×1000","100101","グー！！！","11101","0","0"
"11102","32_rei_choki","勝つとアルファルピ×3000\n負けるとアルファルピ×1000","100301","チョキにしよう","11102","0","0"
"11103","33_yui_pa","勝つとアルファルピ×3000\n負けるとアルファルピ×1000","100201","パーにしようかな","11103","0","0"
"11111","101_chest_shizuru","アルファルピ×2000","193001","弟くん\nこっちこっち♪","11111","0","0"
"11112","102_chest_rino","★1～3迷宮遺物×１","193001","お兄ちゃん\nこっちですよ♪","11112","0","0"
"11121","111_tomo_run","アルファルピ×2000","103701","ミクマ流の\n剣技にかけて！","11121","0","0"
"11122","112_jun_run","ジュンが仲間になる\n＋オールランダムサイン×2～4","104701","ここは私たちに\n任せて！","11122","0","0"
