0b9a15848cdf88e057d16f571cbc71eece60868cb41e12ded737098ae07d1883,83cdb3f083cc44bef38e1db32a2621e7a571a580ab553ed1499d075004695730,3e2db7bf282b2732111a1cc0e72e473fde56e8cc271df030b2eb481b85144a75,fdc04f2f8c551a3d07c02dbefc207f609afd779b834eec898792e319af4dbdc5,2669eb5a32e6e81084b45b87ac4458177af423d643439865d818cfe66fc10091,3e10b75ba4efec7ee93df2a8f1cc954614d4b986a78c5c5187ef7177475cc83d
"301","10201","102013011","5201087","1","1"
"402","10201","102014021","5201081","1","1"
"402","10201","102014022","5201082","0","101"
"501","10201","102015011","5201066","1","1"
"501","10201","102015012","5201067","2","1"
"501","10201","102015013","5201068","3","1"
"501","10201","102015014","5201069","4","1"
"501","10201","102015015","5201070","5","1"
"501","10201","102015016","5201071","6","1"
"501","10201","102015017","5201072","7","1"
"501","10201","102015018","5201073","8","1"
