b3c14c119ac4b1b42d968ea62edc5616a9dba65490d66c5cf00a312d3d590b80,fbc73f03c69090192b22095d9ee86ba33713dd647fc123c6b8585a27aee018de,05964a787ade9ac173c1558587def8e746cf7ad507f990f3f881343b27a139df,e278afbe0c490c19f002b9721d786072cd338feba6e7050451d4422ac011cee6,fb1040b65eb8ea1df740a69b8b1d9933c71a9a15b709584a4c4ebf067d410a6b
"10001","1","22","10001001","53001"
"10001","1","22","10001002","53004"
"10001","1","22","10001003","53007"
"10001","1","22","10001004","53010"
"10001","1","22","10001005","53013"
"10001","1","22","10001006","53016"
"10001","1","22","10001007","53019"
"10001","1","22","10001008","53022"
"10001","1","22","10001009","53002"
"10001","1","22","10001010","53005"
"10001","1","22","10001011","53008"
"10001","1","22","10001012","53011"
"10001","1","22","10001013","53014"
"10001","1","22","10001014","53017"
"10001","1","22","10001015","53020"
"10001","1","22","10001016","53023"
"10002","1","22","10002001","53001"
"10002","1","22","10002002","53002"
"10002","1","22","10002003","53005"
"10002","1","22","10002004","53008"
"10002","1","22","10002005","53011"
"10002","1","22","10002006","53014"
"10002","1","22","10002007","53017"
"10002","1","22","10002008","53020"
"10002","1","22","10002009","53023"
"10002","1","22","10002010","53003"
"10002","1","22","10002011","53006"
"10002","1","22","10002012","53009"
"10002","1","22","10002013","53012"
"10002","1","22","10002014","53015"
"10002","1","22","10002015","53018"
"10002","1","22","10002016","53021"
"10002","1","22","10002017","53024"
"10003","1","22","10003001","53002"
"10003","2","22","10003002","53002"
"10003","1","22","10003003","53003"
"10003","2","22","10003004","53003"
"10003","3","22","10003005","53003"
"10003","1","22","10003006","53006"
"10003","1","22","10003007","53009"
"10003","1","22","10003008","53012"
"10003","1","22","10003009","53015"
"10003","1","22","10003010","53018"
"10003","1","22","10003011","53021"
"10003","1","22","10003012","53024"
"10003","2","22","10003013","53006"
"10003","2","22","10003014","53009"
"10003","2","22","10003015","53012"
"10003","2","22","10003016","53015"
"10003","2","22","10003017","53018"
"10003","2","22","10003018","53021"
"10003","2","22","10003019","53024"
"10003","3","22","10003020","53006"
"10003","3","22","10003021","53009"
"10003","3","22","10003022","53012"
"10003","3","22","10003023","53015"
"10003","3","22","10003024","53018"
"10003","3","22","10003025","53021"
"10003","3","22","10003026","53024"
