7c9ec30318ba6a11b2119c12210e8058dcc834ce4f1b776055fd5015656b7e85,60e35c0e8f76424ada89b82ea20d605604a22cada47c4b3b19d20d50c2f65e04,11d62763f4814a375678c18a526899becbfc907e16cad381aceabb4726fe0764,a8121b1daa7fee680902d429bfa633e7ea78bd69ede069a4ddf7a3dc3e4054b7,c0e5a9f1257a7d106a666e525a9f9263a017051d3117e95ca0b432343fc20603,44a3361b7b9c32803cbb32bb6aeaec878faabd1c9f9b21430d9ef477eeb42b5b,7c6e7fe8efdea6ea2b8e24102207dde9d386f97f98168682704f51547ee553ed,d5369aa0250325b0904f76bf93e851907c51287023804cc8c8600d05632ad9cd
"0","1001201","0","0","10012","10012103","0","1"
"0","1001202","0","0","10012","10012107","0","2"
"0","1001203","0","0","10012","10012109","0","3"
"0","1001204","0","1001201","10012","10012114","0","4"
"0","1001204","0","1001202","10012","10012114","0","5"
"0","1001204","0","1001203","10012","10012114","0","6"
"0","2001201","0","0","20012","20012103","0","7"
"0","2001202","0","0","20012","20012107","0","8"
"0","2001203","0","0","20012","20012109","0","9"
"0","2001204","0","2001201","20012","20012114","0","10"
"0","2001204","0","2001202","20012","20012114","0","11"
"0","2001204","0","2001203","20012","20012114","0","12"
