039a0780d2322ac0fa2a63dcd41dfee320cafb4d2d05ba958f6b064252e9ecea,61ffd4f5fb8d14784789764e58bf1248582821d0d0761599d40ec4ee03302e20,515b275cff8a56fc9208c5e5d7d86e050a6bd174c8dc492dc6f7b79478bab24b,f4e1d4a31f78fb1ce1abe1b515e43418061f2dfbe75322e6f2f1f043a270bac9,1b231de514dc71b4f0b2a25d95b9529dfe1911edb531752e6b4322325d412023
"2","3","1","1","10201"
"2","3","2","2","10202"
"2","3","3","3","10203"
"2","10","4","4","10301"
"2","10","5","5","10302"
"2","10","6","6","10303"
"2","10","7","7","10304"
"2","20","8","8","10401"
"2","20","9","9","10402"
"2","20","10","10","10403"
"2","20","11","11","10404"
"2","20","12","12","10405"
"2","20","13","13","10406"
"2","20","14","14","10407"
"2","20","15","15","10408"
"2","20","16","16","10409"
"1","3","17","1","10701"
"1","3","18","2","10601"
"1","3","19","3","10602"
"1","3","20","4","10603"
"1","3","21","5","10604"
"1","10","22","6","11301"
"1","10","23","7","11302"
"1","10","24","8","11303"
"1","20","25","9","11401"
"1","20","26","10","11402"
"1","20","27","11","11403"
"1","20","28","12","11601"
"1","20","29","13","11602"
"1","20","30","14","11603"
"1","20","31","15","11604"
"1","20","32","16","11605"
"1","20","33","17","11606"
"1","20","34","18","11101"
"1","20","35","19","11102"
"1","20","36","20","11103"
"1","20","37","21","11701"
"1","20","38","22","11702"
"1","20","39","23","11703"
"3","3","40","1","10501"
"3","3","41","2","10502"
"3","3","42","3","10503"
"3","10","43","4","11201"
"3","10","44","5","10801"
"3","10","45","6","10802"
"3","10","46","7","10803"
"3","10","47","8","10804"
"3","20","48","9","10901"
"3","20","49","10","10902"
"3","20","50","11","10903"
"3","20","51","12","10904"
"3","20","52","13","11001"
"3","20","53","14","11002"
"3","20","54","15","11003"
"3","20","55","16","11501"
"3","20","56","17","11502"
"3","20","57","18","11503"
"3","20","58","19","11504"
"3","20","59","20","11505"
"3","20","60","21","11506"
