f259ed679ec14da65ce5c05d2d21a29e4e07459d2639fc0aacf4bacce6b4072f,081a83c992da04e2f203df4fbba2e4bf550fc106e20a8fba3cab8bcbe65ee10d,75cd808e6b023a9ac09db4d4550a821441c5f70a3cd8ac782cafbb453daf33e9,a66957d17720719f8e78c47a5a0b1098d9c3c05e1f6179a1744d461840c2201c,5f987c8fbf1d0179f3eb54898086cb161dde22c1b1c9eab2ed6b72be5ef4d1be,79e03a4fe37360763a359e24de4294fa71ae6802715222e9a9738fc9a5fe75d7,736982f23a8e04f795f89e579527999fda778e39c70abe00e7ec4402cd2d8481,7047c9c4d088686d0da5a34e2f8dff0d49e55a5172b9e1968f6144bc53e1216c,f762aa8f59d22e838b87ec5675ed5390745894a22c9d1b9a333badab9016a7bc,9614107f2bc071853bc942a7dc5e8f1904f184bb1031c85d5c90ac9d2c1c5d66,73ba4a507e538324ee3dec15e7b18d858b7bcf877c399ccee4a90f00a9520106,25376953c031461c9b27add16bd44fa00b1ad7f0da8aee23f3efbed333d1d9e1,f3aa4b7eae0866012d8fd82e1cc4ebef6eddbd9305d7b1d576350534e3d398bf,bee895d88a5c906f3189d478b9235bcc037d2efc5e91d8e986c3fff00f331760,5118996934ec5e018eaed01d8355a73805136faf01f6c1de25b859b191ff6f41,85bc66180087545c89be1af9beeb5c895452fd2d21589eb5942c32214de8825b
"2","101","455","2","1008201","3","980","-110","1","401","1","215","70","501","301","201"
"2","102","230","2","1008202","3","515","-110","2","402","1","215","70","502","302","202"
"2","103","230","1","1008203","3","515","-110","3","403","1","215","70","503","303","203"
"2","104","230","1","1008204","3","515","-110","4","404","1","215","70","504","304","204"
"2","105","355","2","1008205","3","787","-110","5","405","1","233","78","505","305","205"
"2","106","355","3","1008206","3","787","-110","6","406","1","233","78","506","306","206"
"2","107","345","3","1008207","3","777","-110","7","407","1","233","88","507","307","207"
"2","108","345","1","1008208","3","777","-110","8","408","1","233","88","508","308","208"
"2","109","345","1","1008209","3","777","-110","9","409","1","233","88","509","309","209"
"2","110","355","3","1008210","3","810","-110","10","410","1","233","88","510","310","210"
"2","111","345","2","1008211","3","777","-110","11","411","1","233","88","511","311","211"
"2","112","230","2","1008212","3","515","-110","12","412","1","215","70","512","312","212"
"2","113","355","1","1008213","3","810","-110","13","413","1","233","78","513","313","213"
"2","114","230","1","1008214","3","515","-110","14","414","1","215","70","514","314","214"
"2","115","230","3","1008215","3","515","-110","15","415","1","215","70","515","315","215"
"2","116","275","2","1008216","3","655","-110","16","416","1","215","70","516","316","216"
"2","117","230","3","1008217","3","515","-110","17","417","1","215","70","517","317","217"
"2","118","345","3","1008218","3","777","-110","18","418","1","233","88","518","318","218"
