89e6a5765ee7290b4c6c9c4c255985b213e3a8d5dfa9ac4db49745488809b3be,bc77362ea7ee49ddfb27ab021f9bfa85079989d0664cbb98c635fda7dccb87b0,dfce479d35a44ba00972cb5652aabef363ebc4577931812ed349a81a4907aaa7,83eab14684240463ef6e6ec77135c8de940ecd4e8f3badd403e9553364b1b968,a8a5cd4f09656409ee4f7ae66f6b1e3ef816edcd8eb8f134b59ddfecc9dea611,0484c9c2d6acbf3e370e6a5faf38976fe66f2524265b61c333340507e9129721,f73f96e11e0e6d59cc83f2a515766b20028768f29a5cddd9a01fd946050b31d1,cb2407237ac92b0d3178d84476d1c5671c7af588473d778b3b7cf42ae65a04e1,70211e6506568be22960f31ba2391eb9a61e00ade165c21972c0d5d6921d5035,926eaade3ef6103388a74070ab41e61236f6be875eefc5e5d89b5eea9946396e,49895d82858d428c404a12fd37e139d6ec81bbecbd848f7d7e9f5a2c1e3af8f1
"284001001","31","25021","25014","2","91002","10","8","2","8","1"
"284001002","31","25021","25014","2","91002","10","8","2","8","2"
"284001003","32","25021","25014","2","91002","10","8","2","8","3"
"284001004","32","25021","25014","2","91002","10","8","2","8","4"
"284001005","33","25021","25014","2","91002","10","8","2","8","5"
"284001006","33","25021","25014","2","91002","10","9","2","8","6"
"284001007","34","25021","25014","2","91002","10","9","2","8","7"
"284001008","35","25021","25014","2","91002","10","9","2","8","8"
"284001009","35","25021","25014","2","91002","10","9","2","8","9"
"284001010","37","25021","25014","2","91002","30","10","2","8","10"
"284001011","41","25021","25014","2","91002","10","10","2","8","11"
"284001012","43","25021","25014","2","91002","10","11","2","8","12"
"284001013","46","25021","25014","2","91002","10","11","2","8","13"
"284001014","48","25021","25014","2","91002","10","12","2","8","14"
"284001015","50","25021","25014","2","91002","10","12","2","8","15"
"284001016","53","25021","25014","2","91002","10","13","2","8","16"
"284001017","55","25021","25014","2","91002","10","14","2","8","17"
"284001018","58","25021","25014","2","91002","10","14","2","8","18"
"284001019","60","25021","25014","2","91002","10","15","2","8","19"
"284001020","62","25021","25014","2","91002","30","15","2","8","20"
"284001021","68","25021","25014","2","91002","10","16","2","8","21"
"284001022","70","25021","25014","2","91002","10","16","2","8","22"
"284001023","72","25021","25014","2","91002","10","16","2","8","23"
"284001024","75","25021","25014","2","91002","10","17","2","8","24"
"284001025","77","25021","25014","2","91002","10","18","2","8","25"
"284001026","79","25021","25014","2","91002","10","18","2","8","26"
"284001027","82","25021","25014","2","91002","10","19","2","8","27"
"284001028","84","25021","25014","2","91002","10","19","2","8","28"
"284001029","86","25021","25014","2","91002","10","19","2","8","29"
"284001030","89","25021","25014","2","91002","30","20","2","8","30"
"284001031","94","25021","25014","2","91002","10","20","2","8","31"
"284001032","96","25021","25014","2","91002","10","21","2","8","32"
"284001033","99","25021","25014","2","91002","10","21","2","8","33"
"284001034","101","25021","25014","2","91002","10","22","2","8","34"
"284001035","103","25021","25014","2","91002","10","22","2","8","35"
"284001036","106","25021","25014","2","91002","10","23","2","8","36"
"284001037","108","25021","25014","2","91002","10","23","2","8","37"
"284001038","111","25021","25014","2","91002","10","24","2","8","38"
"284001039","113","25021","25014","2","91002","10","25","2","8","39"
"284001040","115","25021","25014","2","91002","30","25","2","8","40"
"284001041","121","25021","25014","2","91002","10","26","2","8","41"
"284001042","123","25021","25014","2","91002","10","27","2","8","42"
"284001043","125","25021","25014","2","91002","10","28","2","8","43"
"284001044","128","25021","25014","2","91002","10","28","2","8","44"
"284001045","130","25021","25014","2","91002","10","29","2","8","45"
"284001046","132","25021","25014","2","91002","10","30","2","8","46"
"284001047","135","25021","25014","2","91002","10","30","2","8","47"
"284001048","137","25021","25014","2","91002","10","31","2","8","48"
"284001049","139","25021","25014","2","91002","10","31","2","8","49"
"284001050","142","25021","25014","2","91002","30","31","2","8","50"
"284001051","144","25021","25014","2","91002","10","32","2","8","51"
"284001052","146","25021","25014","2","91002","10","32","2","8","52"
"284001053","149","25021","25014","2","91002","10","32","2","8","53"
"284001054","152","25021","25014","2","91002","10","33","2","8","54"
"284001055","155","25021","25014","2","91002","10","33","2","8","55"
"284001056","157","25021","25014","2","91002","10","33","2","8","56"
"284001057","160","25021","25014","2","91002","10","34","2","8","57"
"284001058","163","25021","25014","2","91002","10","34","2","8","58"
"284001059","166","25021","25014","2","91002","10","34","2","8","59"
"284001060","169","25021","25014","2","91002","30","35","2","8","60"
"284001061","171","25021","25014","2","91002","10","35","2","8","61"
"284001062","174","25021","25014","2","91002","10","35","2","8","62"
"284001063","177","25021","25014","2","91002","10","36","2","8","63"
"284001064","180","25021","25014","2","91002","10","36","2","8","64"
"284001065","182","25021","25014","2","91002","10","36","2","8","65"
"284001066","185","25021","25014","2","91002","10","37","2","8","66"
"284001067","187","25021","25014","2","91002","10","37","2","8","67"
"284001068","190","25021","25014","2","91002","10","37","2","8","68"
"284001069","193","25021","25014","2","91002","10","38","2","8","69"
"284001070","196","25021","25014","2","91002","30","38","2","8","70"
