cafd940f32167cce8bebdc56d4dfdd987bd6f4c2eb25acc34854c314d01f5c45,8ec1830f33cd1bc723c61fc6ab8cc75c74c05ce887192988a39e44da1d75467f,d966f68c645c5ba841291dfc4359b5fd6245b2f8f764820b6ce88b3d9f52c0a8,9558593f754a6d97c86c8dfefa2c60c295b8d72165a4303f52b19930f4f9249f,9f7e5ef71786999d333c0575ba9cdab0cd840a82796a41b955d061407ea6e781,0d83b103bbf4b09d071f060d380b85c524e6e1b9acfc72cbc1e3fa856f81280e,91b0c6c5a7eb8dda91e5c9b1b2a105cfefb90f951dd5756dc74804d436150dd0
"250","100","150","1","200","50","1004"
"400","160","240","2","320","80","1004"
"250","100","150","3","200","50","1004"
"250","100","150","5","200","50","1004"
"400","160","240","6","320","80","1004"
"3","1","1","12","2","1","1004"
"250","100","150","1","200","50","1005"
"250","100","150","3","200","50","1005"
"400","160","240","4","320","80","1005"
"250","100","150","5","200","50","1005"
"400","160","240","7","320","80","1005"
"3","1","1","13","2","1","1005"
"125","50","75","1","100","25","1010"
"200","80","120","2","160","40","1010"
"125","50","75","3","100","25","1010"
"125","50","75","5","100","25","1010"
"200","80","120","6","160","40","1010"
"125","50","75","1","100","25","1011"
"125","50","75","3","100","25","1011"
"200","80","120","4","160","40","1011"
"125","50","75","5","100","25","1011"
"200","80","120","7","160","40","1011"
"500","200","300","1","400","100","1006"
"250","100","150","2","200","50","1006"
"500","200","300","3","400","100","1006"
"500","200","300","5","400","100","1006"
"250","100","150","6","200","50","1006"
"3","1","1","12","2","1","1006"
"500","200","300","1","400","100","1007"
"500","200","300","3","400","100","1007"
"250","100","150","4","200","50","1007"
"500","200","300","5","400","100","1007"
"250","100","150","7","200","50","1007"
"3","1","1","13","2","1","1007"
"125","50","75","1","100","25","1008"
"200","80","120","2","160","40","1008"
"125","50","75","3","100","25","1008"
"125","50","75","5","100","25","1008"
"200","80","120","6","160","40","1008"
"3","1","1","14","2","1","1008"
"125","50","75","1","100","25","1009"
"125","50","75","3","100","25","1009"
"200","80","120","4","160","40","1009"
"125","50","75","5","100","25","1009"
"200","80","120","7","160","40","1009"
"3","1","1","14","2","1","1009"
"250","100","150","1","200","50","1012"
"400","160","240","2","320","80","1012"
"250","100","150","3","200","50","1012"
"250","100","150","5","200","50","1012"
"400","160","240","6","320","80","1012"
"5","2","3","12","4","1","1012"
"250","100","150","1","200","50","1013"
"400","160","240","3","320","80","1013"
"250","100","150","4","200","50","1013"
"250","100","150","5","200","50","1013"
"400","160","240","7","320","80","1013"
"5","2","3","13","4","1","1013"
