99bd056c24ef329fa0686fc655cd72537deec024d7b8072345f0577b5c6c518e,04f5c6ebdd5308a2dfb768cc193a7baf6f3fdefcc6344083bc627cbc35fd12c1,8ecc38a3c1b7dc97b787d62d13902b6121d67ab2df31c39786f72b4ea05b969e,5fe0dea8ac6f6c6adc9e53de4cc15a0380afad600b28842f9cfaf85447cc6a0d,ba3e7ec608a6f6ddeb043d13a4b409c6137970a608c59148c94bf238e1755db0,b453b37697fe3fe86465723debee1f16d11954542965039d2baa24e1c68e4b45,f2ed1cefc41f4658bafa50dc7b496ab04f90f5c8c137ca05c3fecd7642a9e42a,d0656655aa319e43e841bb4251b34b0ee50ce7239f9541ea3d062e80452b5af2,ffcd044e6b003de624e51f5e51c5654e5239969c1a645322cb209c1a46e401b2,043b0acfb609e5a2e846cd505f5857f72de5b1d6cb6540c75686d2ac156ce8b2,f9c073d34f41ad0588033d4d2a85b787ac3dc3d857a4e166157395905bab16b3,c886598bd013d0ff8dfb818d092bc55bd933109463dd921cb7cdc94f2f4bdfa6
"0","306","0.05","0.025","0","1","0","0","0","33","29","25"
"0","297","0.05","0.025","0","2","0","0","0","32","28","24"
"0","288","0.05","0.025","0","3","0","0","0","31","27","23"
"0","279","0.05","0.025","0","4","0","0","0","30","26","22"
"0","270","0.05","0.025","0","5","0","0","0","29","25","21"
"0","261","0.05","0.025","0","6","0","0","0","28","24","20"
"0","252","0.05","0.025","0","7","0","0","0","27","23","19"
"0","243","0.05","0.025","0","8","0","0","0","26","22","18"
"0","234","0.05","0.025","0","9","0","0","0","25","21","17"
"0","225","0.05","0.025","0","10","0","0","0","24","20","16"
"0","216","0.05","0.025","0","11","0","0","0","23","19","15"
"0","207","0.05","0.025","0","12","0","0","0","22","18","14"
"0","198","0.05","0.025","0","13","0","0","0","21","17","13"
"0","189","0.05","0.025","0","14","0","0","0","20","16","12"
"0","180","0.05","0.025","0","15","0","0","0","19","15","11"
"0","171","0.05","0.025","0","16","0","0","0","18","14","10"
"0","161","0.05","0.025","0","17","0","0","0","17","13","9"
"0","152","0.05","0.025","0","18","0","0","0","16","12","8"
"0","143","0.05","0.025","0","19","0","0","0","15","11","7"
"0","134","0.05","0.025","0","20","0","0","0","14","10","6"
"0","125","0.05","0.025","0","21","0","0","0","13","9","5"
"0","116","0.05","0.025","0","22","0","0","0","12","8","4"
"0","107","0.05","0.025","0","23","0","0","0","11","7","3"
"0","101","0.05","0.025","0","24","0","0","0","10","6","2"
"0","1","0","0","0","25","0","0","0","0","0","0"
