7a02fc45544d02b386fe6fb44884f1b787227d94b4ae4d3f31244fc2125b42ec,7e4da85668feef5e0dac465480c367bc0bee8a169627add11468203f0f18e5cf,9e32ce690099f5f0a1f248c85c5f7016946432c8b4c5b33b8ae9fc84b8f69370,bf67ae33216984764d2d7e9775c8696a7d4342591fa495f9d618a2daaf67cf6f,580377ba8fb4d11c498d4d3d9963379a3d08f6dcf9b0056eec6c028c9be41cf9,7c9dfe6eaab1f2bfa56d3d7158055075eb3adfcb78b7cdf16a006560239299d7,641a813dfd3fd1ce7317f2bf5b763a909cf9442fcf762d9fbed1b2d5b233c2fe,285ca12227488843260502a2c8a0faa2a47516e4cbae130d2f3880ff81a14960,22112645ed6665ce738d92f3b3d35bc98bd4de16f3e71cdc8cd8ebcb19b049de,b46ec4a3832a87081aeea33e22554d202b41ec4173899c7300190c2370d38c09,b1ca9a0a1e627922ecb4dc829ca8337add5857df55580051f4b051a4d7ce1ffc,4fd8484e0c221218dd74de57a240f506171b9b1c777008d811bcf4c5e70207a5,465d6c77769978caa98ac7672ec6b3c29a29b5d57becaa1a2c07430018c8f94a,23814ca29c52cb35ab7c7371559551cb2e4e571854413fee843dc42bda44d038,b81c50b6605b42144c9158b9496398049561935538a24239dca08d5b9cf15a64
"112","111","2816","2022/02/15 5:00:00","113","1","540","100","1","0","11","0","0","0","0"
"212","211","2816","2022/02/16 5:00:00","213","2","493","100","1","0","21","0","0","0","0"
"312","311","2816","2022/02/17 5:00:00","313","3","458","100","1","0","31","0","0","0","0"
"412","411","2816","2022/02/18 5:00:00","413","4","420","100","1","0","41","0","0","0","0"
"512","511","2816","2022/02/19 5:00:00","513","5","380","100","1","0","51","0","0","0","0"
"612","611","2816","2022/02/20 5:00:00","613","6","340","100","1","0","61","0","0","0","0"
"712","711","2816","2022/02/21 5:00:00","713","7","430","100","1","1","71","0","0","0","0"
"812","811","2816","2022/02/22 5:00:00","813","8","402","100","1","1","81","0","0","0","0"
"912","911","2816","2022/02/23 5:00:00","913","9","302","100","1","1","91","0","0","0","0"
"1012","1011","2816","2022/02/24 5:00:00","1013","10","264","100","1","1","101","0","0","0","0"
"1112","1111","2816","2022/02/25 5:00:00","1113","11","225","100","1","1","111","0","0","0","0"
"1212","1211","2816","2022/02/26 5:00:00","1213","12","328","100","1","1","121","0","0","0","0"
"1312","1311","2816","2022/02/27 5:00:00","1313","13","280","100","1","1","131","0","0","0","0"
"1412","1411","2816","2022/02/28 5:00:00","1413","14","269","100","1","1","141","0","0","0","0"
"1512","1511","2816","2022/03/01 5:00:00","1513","15","180","100","1","1","151","0","0","0","0"
"1612","1611","2816","2022/03/02 5:00:00","1613","16","138","100","1","1","161","0","0","0","0"
"1712","1711","2816","2022/03/03 5:00:00","1713","17","97","100","1","1","171","0","0","0","0"
"1812","1811","2816","2022/03/04 5:00:00","1813","18","56","100","1","1","181","0","0","0","0"
"1912","1911","2816","2022/03/05 5:00:00","1913","19","150","100","1","1","191","0","0","0","0"
"2012","2011","2816","2022/03/06 5:00:00","2013","20","100","100","1","1","201","0","0","0","0"
"2112","2111","2816","2022/03/07 5:00:00","2113","21","15","100","1","1","211","0","0","0","0"
"2212","2211","2816","2022/03/08 5:00:00","2213","22","-25","100","1","1","221","0","0","0","0"
"2312","2311","2816","2022/03/09 5:00:00","2313","23","-66","100","1","1","231","0","0","0","0"
"2412","2411","2816","2022/03/10 5:00:00","2413","24","-107","100","1","1","241","0","0","0","0"
"2512","2511","2816","2022/03/11 5:00:00","2513","25","-149","100","1","1","251","0","0","0","0"
"2612","2611","2816","2022/03/12 5:00:00","2613","26","-188","100","1","1","261","0","0","0","0"
"2712","2711","2816","2022/03/13 5:00:00","2713","27","-96","100","1","1","271","0","0","0","0"
"2812","2811","2816","2022/03/14 5:00:00","2813","28","-133","100","1","1","281","0","0","0","0"
"2912","2911","2816","2022/03/15 5:00:00","2913","29","-174","100","1","1","291","0","0","0","0"
"3012","3011","2816","2022/03/16 5:00:00","3013","30","-230","100","1","1","301","0","0","0","0"
"3112","3111","2816","2022/03/17 5:00:00","3113","31","-272","100","1","1","311","0","0","0","0"
"3212","3211","2816","2022/03/18 5:00:00","3213","32","-313","100","1","1","321","0","0","0","0"
"3312","3311","2816","2022/03/19 5:00:00","3313","33","-240","100","1","1","331","0","0","0","0"
"3412","3411","2816","2022/03/20 5:00:00","3413","34","-260","100","1","1","341","0","0","0","0"
"3512","3511","2816","2022/03/21 5:00:00","3513","35","-280","100","1","1","351","0","0","0","0"
"3612","3611","2816","2022/03/22 5:00:00","3613","36","-354","100","1","1","361","0","0","0","0"
"3712","3711","2816","2022/03/23 5:00:00","3713","37","-395","100","1","1","371","0","0","0","0"
"3812","3811","2816","2022/03/24 5:00:00","3813","38","-436","100","1","1","381","0","0","0","0"
"3912","3911","2816","2022/03/25 5:00:00","3913","39","-477","100","1","1","391","0","0","0","0"
"4012","4011","2816","2022/03/26 5:00:00","4013","40","-400","100","1","1","401","0","0","0","0"
"4112","4111","2816","2022/03/27 5:00:00","4113","41","-438","100","1","1","411","0","0","0","0"
"4212","4211","2816","2022/03/28 5:00:00","4213","42","0","100","1","1","421","0","0","0","0"
"4312","4311","2816","2022/03/29 5:00:00","4313","43","371","200","2","2","431","0","0","0","0"
"4412","4411","2816","2022/03/30 5:00:00","4413","44","343","200","2","2","441","0","0","0","0"
"4512","4511","2816","2022/03/31 5:00:00","4513","45","260","200","2","2","451","0","9105803","0","105801"
"4612","4611","2816","2022/04/01 5:00:00","4613","46","313","200","2","2","461","0","0","0","0"
"4712","4711","2816","2022/04/02 5:00:00","4713","47","285","200","2","2","471","0","0","0","0"
"4812","4811","2816","2022/04/03 5:00:00","4813","48","260","200","2","2","481","0","9102003","0","102001"
"4912","4911","2816","2022/04/04 5:00:00","4913","49","257","200","2","2","491","0","0","0","0"
"5012","5011","2816","2022/04/05 5:00:00","5013","50","173","200","2","2","501","0","9100203","0","100201"
"5112","5111","2816","2022/04/06 5:00:00","5113","51","227","200","2","2","511","0","0","0","0"
"5212","5211","2816","2022/04/07 5:00:00","5213","52","57","200","2","2","521","0","9105503","0","105501"
"5312","5311","2816","2022/04/08 5:00:00","5313","53","197","200","2","2","531","0","0","0","0"
"5412","5411","2816","2022/04/09 5:00:00","5413","54","169","200","2","2","541","0","0","0","0"
"5512","5511","2816","2022/04/10 5:00:00","5513","55","-55","200","2","2","551","0","9101603","0","101601"
"5612","5611","2816","2022/04/11 5:00:00","5613","56","141","200","2","2","561","0","0","0","0"
"5712","5711","2816","2022/04/12 5:00:00","5713","57","111","200","2","2","571","0","0","0","0"
"5812","5811","2816","2022/04/13 5:00:00","5813","58","81","200","2","2","581","0","0","0","0"
"5912","5911","2816","2022/04/14 5:00:00","5913","59","53","200","2","2","591","0","0","0","0"
"6012","6011","2816","2022/04/15 5:00:00","6013","60","-180","200","2","2","601","0","0","0","0"
"6112","6111","2816","2022/04/16 5:00:00","6113","61","-210","200","2","2","611","0","0","0","0"
"6212","6211","2816","2022/04/17 5:00:00","6213","62","-221","200","2","2","621","0","9106703","0","106701"
"6312","6311","2816","2022/04/18 5:00:00","6313","63","24","200","2","2","631","0","0","0","0"
"6412","6411","2816","2022/04/19 5:00:00","6413","64","-6","200","2","2","641","0","0","0","0"
"6512","6511","2816","2022/04/20 5:00:00","6513","65","-33","200","2","2","651","0","0","0","0"
"6612","6611","2816","2022/04/21 5:00:00","6613","66","-63","200","2","2","661","0","0","0","0"
"6712","6711","2816","2022/04/22 5:00:00","6713","67","-91","200","2","2","671","0","0","0","0"
"6812","6811","2816","2022/04/23 5:00:00","6813","68","-121","200","2","2","681","0","0","0","0"
"6912","6911","2816","2022/04/24 5:00:00","6913","69","-150","200","2","2","691","0","0","0","0"
"7012","7011","2816","2022/04/25 5:00:00","7013","70","-180","200","2","2","701","0","0","0","0"
"7112","7111","2816","2022/04/26 5:00:00","7113","71","-208","200","2","2","711","0","0","0","0"
"7212","7211","2816","2022/04/27 5:00:00","7213","72","-236","200","2","2","721","0","0","0","0"
"7312","7311","2816","2022/04/28 5:00:00","7313","73","-266","200","2","2","731","0","0","0","0"
"7412","7411","2816","2022/04/29 5:00:00","7413","74","-295","200","2","2","741","0","0","0","0"
"7512","7511","2816","2022/04/30 5:00:00","7513","75","-360","200","2","2","751","0","0","1","0"
